opener	openers
vesicatory	vesicatories
sagittary	sagittaries
dishonesty	dishonesties
viva	vivas
ovule	ovules
seismogram	seismograms
minder	minders
plunker	plunkers
homologize	homologized|homologizing
integrate	integrated|integrating|integrates
gestate	gestating|gestated|gestates
administered	administers|administer|administering
shambles	shambled|shambling|shamble
adumbration	adumbrations
claptrap	claptraps
twelfth	twelfths
monetise	monetises|monetising|monetised
karat	karats
presenter	presenters
pyre	pyres
moorage	moorages
pyrography	pyrographies
crusted	crusts|crust|crusting
effigy	effigies
surprising	surprise|surprises|surprised
vastity	vastities
vortex	vortices|vortexes
muezzin	muezzins
ecdysone	ecdysones
turkey	turkeys
herpetologist	herpetologists
ague	agues
gerontologist	gerontologists
description	descriptions
tain	tains
ambassador	ambassadors
inference	inferences
dangle	dangled|dangling|dangles
decompensate	decompensating|decompensated|decompensates
itch	itches|itched|itching
midsummer	midsummers
sexagesimal	sexagesimals
twine	twining|twines|twined
percuss	percusses|percussed|percussing
camouflager	camouflagers
fluoridation	fluoridations
consecrate	consecrated|consecrates|consecrating
contracture	contractured
haste	hasted|hastes|hasting
mumps	mumped|mumping|mump
obbligato	obbligatos
done	did|doing|doesn't|do|don't|didn't|does
fighter	fighters
catgut	catguts
malaise	malaises
weekly	weeklies
marry	marrying|marries|married
fine	fines|fined|fining
been	am|weren't|were|was|wasn't|aren't|are|isn't|is|being|be
adenoids	adenoid
robin	robins
seascape	seascapes
freckled	freckling|freckles|freckle
sachem	sachems
rashness	rashnesses
honorary	honoraries
headstall	headstalls
phonemics	phonemic
spectroscope	spectroscopes
rectory	rectories
scintilla	scintillas
headsail	headsails
notability	notabilities
sigh	sighs|sighing|sighed
trictrac	trictracs
dutch	dutching|dutched
monorhyme	monorhymed
miscarry	miscarries|miscarried|miscarrying
curtailment	curtailments
peahen	peahens
unexcelled	unexcelling
cerumen	cerumens
esteem	esteemed|esteems|esteeming
epidemiology	epidemiologies
mortify	mortified|mortifying|mortifies
geek	geeks
durra	durras
hurrah	hurrahs|hurrahing|hurrahed
naught	naughts
koruna	korunas
gloriole	glorioles
mateship	mateships
turncoat	turncoats
sennet	sennets
kiln	kilning|kilns|kilned
unmentionables	unmentionable
re-tread	retrod|retrodden
hurricane	hurricanes
transept	transepts
decennial	decennials
avouch	avouching|avouches|avouched
understate	understates|understating|understated
rebury	reburied|reburying|reburies
unplastered	unplaster
oceanariums	oceanarium
uncompleted	uncomplete
amice	amices|amiced
pore	poring|pored|pores
quickie	quickies
horned	horning|horn|horns
flinders	flinder
sw	swing
materialization	materializations
guaranteed	guarantee|guarantees|guaranteeing
