abeceda	abecedám|abecedy|abecedu|abecedách|abecedě|abeced|abecedou|abecedo|abecedami
ablativ	ablativů|ablative|ablativech|ablativu|ablativům|ablativem|ablativy
absces	abscesem|abscesům|abscesů|abscesech|abscesy|abscesu|abscese
absence	absencí|absencích|absenci|absencemi|absencím
absolutní	absolutního|absolutnímu|absolutními|absolutních|absolutním
absolvent	absolventech|absolventové|absolventy|absolventovi|absolventů|absolventům|absolventa|absolvente|absolventem
absolvovat	absolvující|absolvován|absolvování|absolvujíce|absolvovali|absolvována|absolvovalo|absolvují|absolvovány|absolvuje|absolvováno|absolvoval|absolvujete|absolvujeme|absolvováni|absolvovavši|absolvujíc|absolvovala|absolvuj|absolvujte|absolvovaly|absolvovav|absolvujme|absolvuješ|absolvovavše|absolvuji
absurdita	absurditám|absurditou|absurdit|absurditami|absurditě|absurdity|absurdito|absurditu|absurditách
absurdnost	absurdnostmi|absurdnosti|absurdnostech|absurdností|absurdnostem
achát	acháte|achátech|acháty|achátu|achátům|achátů|achátem
acidóza	acidózami|acidózy|acidózou|acidóz|acidózo|acidóze|acidózám|acidózu|acidózách
adaptace	adaptacemi|adaptaci|adaptac|adaptací|adaptacím|adaptacích
adaptér	adaptéry|adaptérům|adaptérů|adaptéru|adaptérem|adaptérech|adaptére
adekvátní	adekvátních|adekvátnímu|adekvátními|adekvátním|adekvátního
adheze	adhezím|adhezích|adhezí|adhezi|adhezemi
adjektivní	adjektivními|adjektivnímu|adjektivního|adjektivních|adjektivním
administrativa	administrativách|administrativě|administrativy|administrativu|administrativo|administrativou|administrativám|administrativami|administrativ
admirál	admirálů|admirále|admirála|admirály|admirálům|admirálovi|admirálech|admirálem|admirálové
adopce	adopcí|adopcemi|adopcích|adopcím|adopc|adopci
adoptovat	adoptovány|adoptování|adoptováni|adoptoval|adoptován|adoptujíce|adoptovavše|adoptujme|adoptováno|adoptující|adoptujte|adoptovalo|adoptujíc|adoptuj|adoptujeme|adoptují|adoptuješ|adoptovavši|adoptovala|adoptována|adoptuje|adoptovav|adoptuji|adoptovaly|adoptovali|adoptujete
adrenalin	adrenalinu|adrenaliny|adrenaline|adrenalinů|adrenalinům|adrenalinech|adrenalinem
adresa	adresám|adresami|adresách|adrese|adresou|adres|adreso|adresu|adresy
adresovat	adresováno|adresovavši|adresování|adresoval|adresujíc|adresuj|adresovala|adresovány|adresujte|adresovaly|adresující|adresujeme|adresuje|adresujíce|adresuješ|adresovavše|adresován|adresovalo|adresována|adresovali|adresujete|adresovav|adresují|adresuji|adresujme|adresováni
adresát	adresátů|adresátech|adresátem|adresáte|adresátu|adresáti|adresáty|adresáta|adresátům
adresář	adresáře|adresářem|adresáři|adresářům|adresářů|adresářích
advokát	advokátech|advokátů|advokátové|advokáte|advokátem|advokáty|advokátovi|advokátům|advokáta
aerodynamický	aerodynamickém|aerodynamickému|aerodynamickou|aerodynamickými|aerodynamických|aerodynamickým|aerodynamická|aerodynamického|aerodynamičtí|aerodynamické
aerodynamika	aerodynamikou|aerodynamiku|aerodynamikám|aerodynamikách|aerodynamikami|aerodynamiky|aerodynamiko|aerodynamik|aerodynamice
afgánský	afgánská|afgánském|afgánským|afgánské|afgánští|afgánskou|afgánských|afgánskému|afgánskými|afgánského
aforismus	aforsismusy|aforsismusům|aforsismusů|aforsismusech|aforsismus|aforsismusu|aforsismusem|aforsismuse
aforistický	aforistickém|aforistická|aforistickými|aforistickým|aforistickému|aforistické|aforistickou|aforistického|aforističtí|aforistických
africký	afrických|africkými|africkým|africkému|africké|africkou|africká|afrického|afričtí|africkém
afroamerický	afroamerická|afroamerickým|afroamerickou|afroamerických|afroameričtí|afroamerickém|afroamerickému|afroamerické|afroamerickými|afroamerického
agentura	agentury|agenturami|agenturou|agentur|agenturo|agenturu|agenturách|agentuře|agenturám
agrese	agresím|agresi|agresích|agresemi|agresí
agresivita	agresivity|agresivitám|agresivito|agresivitami|agresivitách|agresivitě|agresivit|agresivitou|agresivitu
akademický	akademická|akademickém|akademičtí|akademickému|akademickou|akademických|akademickým|akademické|akademického|akademickými
akademie	akademií|akademiemi|akademii|akademiích|akademiím
akademik	akademicích|akademika|akademikům|akademiku|akademiky|akademici|akademiků|akademikovi|akademikem
akcie	akciích|akcii|akciím|akcií|akciemi
akcionář	akcionářů|akcionářovi|akcionáři|akcionářem|akcionáře|akcionářích|akcionářům
akciový	akciová|akciových|akciovým|akcioví|akciovém|akciovému|akciovou|akciového|akciovými|akciové
aklimatizace	aklimatizacím|aklimatizací|aklimatizacemi|aklimatizaci|aklimatizac|aklimatizacích
aklimatizovaný	aklimatizovanou|aklimatizovaným|aklimatizovanými|aklimatizovaných|aklimatizované|aklimatizovanému|aklimatizovaní|aklimatizovaná|aklimatizovaného|aklimatizovaném
aklimatizovat	aklimatizujíce|aklimatizovalo|aklimatizujíc|aklimatizovav|aklimatizuji|aklimatizuješ|aklimatizoval|aklimatizována|aklimatizující|aklimatizuje|aklimatizuj|aklimatizován|aklimatizovavše|aklimatizujte|aklimatizovavši|aklimatizovala|aklimatizujeme|aklimatizují|aklimatizování|aklimatizovány|aklimatizujete|aklimatizovaly|aklimatizováno|aklimatizujme|aklimatizovali|aklimatizováni
akrobatický	akrobatickým|akrobatickou|akrobatických|akrobatického|akrobatickými|akrobatická|akrobatickému|akrobatičtí|akrobatické|akrobatickém
akronym	akronymech|akronyme|akronymům|akronymů|akronymy|akronymu|akronymem
