A	As
Aal	Aale|Aalen|Aals|Aales
aalglatt	aalglatte|aalglattes|aalglatter|aalglatten|aalglattem
Aas	Aases|Äsern|Aasen|Äser|Aase
Aasfresser	Aasfressers|Aasfressern
abarbeiten	abarbeitend|abzuarbeiten|abgearbeitet
abartig	abartigen|abartige|abartiges|abartigem|abartiger
Abartigkeit	Abartigkeiten
Abbau	Abbaue|Abbaues|Abbauen|Abbaus
abbauen	abbauend|abgebaut|abzubauen
abbeißen	abzubeißen|abgebissen|abbeißend
abberufen	abberufend|abzuberufen
abbestellen	abzubestellen|abbestellt|abbestellend
Abbestellung	Abbestellungen
abbezahlen	abbezahlt|abzubezahlen|abbezahlend
abbiegen	abgebogen|abbiegend|abzubiegen
Abbild	Abbilde|Abbilder|Abbilds|Abbildes|Abbildern
Abbilden	Abbildens
abbilden	abbildend|abzubilden|abgebildet
Abbildung	Abbildungen
Abbildungsfehler	Abbildungsfehlern|Abbildungsfehlers
Abbinden	Abbindens
abbinden	abgebunden|abzubinden|abbindend
Abbitte	Abbitten
abblasen	abzublasen|abgeblasen|abblasend
abblenden	abgeblendet|abblendend|abzublenden
Abblendlicht	Abblendlichter|Abblendlichte|Abblendlichts|Abblendlichtes|Abblendlichtern
abblitzen	abgeblitzt|abblitzend
abblättern	abblätternd|abzublättern|abgeblättert
abbremsen	abbremsend|abgebremst
Abbrennen	Abbrennens
abbrennen	abgebrannt|abbrennend|abzubrennen
Abbringen	Abbringens
abbringen	abgebracht|abzubringen|abbringend
Abbruch	Abbruchs|Abbruches|Abbrüche|Abbrüchen|Abbruche
abbröckeln	abbröckelnd|abgebröckelt|abzubröckeln
abbuchen	abzubuchen|abgebucht|abbuchend
Abdampf	Abdampfe|Abdampfs|Abdämpfen|Abdämpfe|Abdampfes
abdampfen	abgedampft|abdampfend|abzudampfen
Abdankung	Abdankungen
abdecken	abdeckend|abgedeckt|abzudecken
Abdecker	Abdeckers|Abdeckern
Abdeckung	Abdeckungen
Abdichten	Abdichtens
abdichten	abzudichten|abgedichtet|abdichtend
abdrehen	abzudrehen|abgedreht|abdrehend
Abenddämmerung	Abenddämmerungen
Abendessen	Abendessens
Abendkasse	Abendkassen
Abendkleid	Abendkleide|Abendkleidern|Abendkleids|Abendkleider|Abendkleides
Abendland	Abendlandes|Abendlands|Abendlande
Abendmahl	Abendmahle|Abendmahles|Abendmahlen|Abendmahls
Abendstern	Abendsternes|Abendsterne|Abendsterns|Abendsternen
Abendvorstellung	Abendvorstellungen
Abenteuer	Abenteuers|Abenteuern
abenteuerlich	abenteuerlicher|abenteuerlichem|abenteuerliches|abenteuerlichen|abenteuerliche
abenteuerlustig	abenteuerlustige|abenteuerlustigem|abenteuerlustiges|abenteuerlustiger|abenteuerlustigen
Abenteurer	Abenteurers|Abenteurern
Abenteurerin	Abenteurerinnen
Aber	Abern|Abers
Aberglaube	Aberglauben
abergläubisch	abergläubische|abergläubischem|abergläubischer|abergläubisches|abergläubischen
aberkennen	aberkennend|aberkannt|abzuerkennen
Aberwitz	Aberwitzes|Aberwitze
aberwitzig	aberwitzigen|aberwitzige|aberwitziger|aberwitziges|aberwitzigem
abfahren	abfahrend|abzufahren|abgefahren
Abfahrt	Abfahrten
Abfahrtszeit	Abfahrtszeiten
Abfall	Abfälle|Abfällen|Abfalls
Abfallbehälter	Abfallbehältern|Abfallbehälters
Abfalleimer	Abfalleimers|Abfalleimern
abfallen	abzufallen|abgefallen|abfallend
Abfallprodukt	Abfallprodukten|Abfallprodukte|Abfallprodukts
Abfalltonne	Abfalltonnen
abfangen	abgefangen|abfangend|abzufangen
abfassen	abgefasst|abzufassen|abfassend
Abfassung	Abfassungen
abfertigen	abgefertigt|abfertigend|abzufertigen
Abfertigung	Abfertigungen
Abfeuern	Abfeuerns
abfeuern	abzufeuern|abgefeuert|abfeuernd
Abfindung	Abfindungen
abflachen	abflachend|abzuflachen|abgeflacht
abflauen	abgeflaut|abzuflauen|abflauend
abfliegen	abfliegend|abzufliegen|abgeflogen
Abfließen	Abfließens
Abflug	Abflüge|Abfluges|Abfluge|Abflügen|Abflugs
Abfrage	Abfragen
abfragen	abfragend|abgefragt|abzufragen
Abfuhr	Abfuhren
abfällig	abfälligem|abfälliger|abfälligen|abfälliges|abfällige
abfärben	abzufärben|abfärbend|abgefärbt
abführen	abgeführt|abführend|abzuführen
Abführmittel	Abführmitteln|Abführmittels
abfüllen	abzufüllen|abfüllend|abgefüllt
Abgabe	Abgaben
Abgang	Abgänge|Abgangs|Abganges|Abgängen|Abgange
Abgas	Abgases|Abgasen|Abgase
abgeben	abgegeben|abzugeben|abgebend
abgebrüht	abgebrühte|abgebrühten|abgebrühter|abgebrühtem|abgebrühtes
abgedroschen	abgedroschene|abgedroschener|abgedroschenem|abgedroschner|abgedroschenen|abgedroschenes
abgehackt	abgehackte|abgehacktes|abgehackten|abgehacktem|abgehackter
abgehen	abgegangen|abgehend|abzugehen
abgehärtet	abgehärteter|abgehärtetes|abgehärtete|abgehärtetem|abgehärteten
abgeklärt	abgeklärtes|abgeklärte|abgeklärtem|abgeklärter|abgeklärten
