aardvark	aardvarks
aasvogel	aasvogels
ab	abbed|abbing|abs
abac	abacs
abacist	abacists
aback	abacks
abaddon	abaddons
abalienate	abalienates|abalienated|abalienating
abampere	abamperes
abandonee	abandonees
abandoner	abandoners
abase	abases|abased|abasing
abash	abashing|abashed|abashes
abate	abating|abates|abated
abater	abaters
abattoir	abattoirs
abaya	abayas
abb	abbs
abbacy	abbacies
abbess	abbesses
abbey	abbeys
abbot	abbots
abbr	abbrs
abbreviate	abbreviated|abbreviates|abbreviating
abbreviator	abbreviators
abcoulomb	abcoulombs
abdicant	abdicants
abdicate	abdicates|abdicated|abdicating
abdicator	abdicators
abdominal	abdominals
abdominohysterectomy	abdominohysterectomies
abdominohysterotomy	abdominohysterotomies
abducent	abducents
abductor	abductors
abecedarian	abecedarians
abele	abeles
abend	abended|abending|abends
aberrant	aberrants
aberrometer	aberrometers
abet	abetted|abetting|abets
abettal	abettals
abetter	abetters
abettor	abettors
abfarad	abfarads
abhor	abhorring|abhors|abhorred
abhorrer	abhorrers
abidance	abidances
abide	abides|abode|abiding
abider	abiders
abiding	abidings
abience	abiences
abietene	abietenes
abigail	abigails
abiogenist	abiogenists
abioseston	abiosestons
abiotrophy	abiotrophies
abirritant	abirritants
abirritate	abirritates|abirritating|abirritated
abirritation	abirritations
abject	abjected|abjects|abjecting
abjectness	abjectnesses
abjudicate	abjudicates|abjudicating|abjudicated
abjure	abjured|abjures|abjuring
abjurer	abjurers
ablate	ablating|ablates|ablated
ablative	ablatives
able	abled|ables|abler|ablest|abling
ablegate	ablegates|ablegating|ablegated
ablen	ablens
ablet	ablets
abluent	abluents
abnegate	abnegating|abnegates|abnegated
abnegator	abnegators
abnormal	abnormals
abo	abos
abocclusion	abocclusions
abode	abodes
abohm	abohms
abolish	abolished|abolishing|abolishes
abolisher	abolishers
abolition	abolitions
abolitionise	abolitionises|abolitionising|abolitionised
abolitionist	abolitionists
abolitionize	abolitionizes|abolitionizing|abolitionized
abominate	abominating|abominated|abominates
abominator	abominators
abord	abords|aborded|abording
aboriginal	aboriginals
abort	aborted|aborts|aborting
abortifacient	abortifacients
abortin	abortins
abortionist	abortionists
abortive	abortiving|abortived|abortives
abounding	aboundings
abracadabra	abracadabras
abradant	abradants
abrade	abraded|abrading|abrades
abranchiate	abranchiates
abrase	abrasing|abrases|abrased
abrasive	abrasives
abrasivity	abrasivities
abrasor	abrasors
abreaction	abreactions
abreuvoir	abreuvoirs
abridge	abridging|abridged|abridges
abridger	abridgers
abroach	abroaching|abroaches|abroached
abrogate	abrogates|abrogated|abrogating
abrupt	abrupts|abrupted|abrupting
abruption	abruptions
abscess	abscesses|abscessing|abscessed
absciss	abscissed|abscissing|abscisses
absconder	absconders
abseil	abseils
absent	absented|absenting|absents
absentation	absentations
absentee	absentees
absolute	absolutes
absolutist	absolutists
absolve	absolves|absolved|absolving
absolver	absolvers
absorb	absorbing|absorbed|absorbs
absorbefacient	absorbefacients
absorbent	absorbents
absorptance	absorptances
absorptiometer	absorptiometers
absorptive	absorptives
absorptivity	absorptivities
absquatulate	absquatulating|absquatulated|absquatulates
abstainer	abstainers
absterge	absterged|absterges|absterging
abstergent	abstergents
abstersive	abstersives
abstinent	abstinents
abstract	abstracted|abstracting|abstracts
abstracter	abstracters
abstractionist	abstractionists
absurd	absurds
abura	aburas
abuse	abuses|abusing|abused
abuser	abusers
abut	abuts|abutted|abutting
abutilon	abutilons
abuttal	abuttals
abutter	abutters
abutting	abuttings
abvolt	abvolts
abysm	abysms
abyss	abysses
ac	acs
academe	academes
academic	academics
academical	academicals
academician	academicians
academism	academisms
academy	academies
acaleph	acalephs
acantha	acanthas
acanthocephalan	acanthocephalans
acanthocyte	acanthocytes
acanthopore	acanthopores
acapu	acapus
acaricide	acaricides
acarid	acarids
acatalectic	acatalectics
accede	acceded|acceding|accedes
acceder	acceders
accelerando	accelerandos
accelerant	accelerants
accelerate	accelerates|accelerated|accelerating
accelerating	acceleratings
accelerator	accelerators
accelerogram	accelerograms
accelerograph	accelerographs
accelerometer	accelerometers
accentor	accentors
accentuate	accentuates|accentuated|accentuating
accentuator	accentuators
acceptor	acceptors
access	accessing|accesses|accessed
accessary	accessaries
accessor	accessors
accessorial	accessorials
accessory	accessories
accessway	accessways
accidental	accidentals
accipiter	accipiters
accipitrine	accipitrines
acclaimer	acclaimers
acclimate	acclimating|acclimates|acclimated
acclimatise	acclimatises|acclimatising|acclimatised
acclimatize	acclimatizing|acclimatizes|acclimatized
acclimatizer	acclimatizers
acclivity	acclivities
accolade	accoladed|accolading|accolades
accommodate	accommodating|accommodated|accommodates
accommodator	accommodators
accommode	accommoded|accommodes|accommoding
accompanist	accompanists
accompany	accompanied|accompanying|accompanies
accomplish	accomplishing|accomplished|accomplishes
accomplisher	accomplishers
accordion	accordioned|accordioning|accordions
accordionist	accordionists
accost	accosting|accosts|accosted
accoucheur	accoucheurs
accoucheuse	accoucheuses
account	accounting|accounted|accounts
accountantship	accountantships
accouterment	accouterments
accoutre	accoutres|accoutred|accoutring
accoutrement	accoutrements
accrete	accreted|accreting|accretes
accrue	accrued|accrues|accruing
accruement	accruements
acculturate	acculturated|acculturates|acculturating
accumbent	accumbents
accumulate	accumulates|accumulating|accumulated
accumulator	accumulators
accusative	accusatives
accuse	accused|accusing|accuses
accuser	accusers
accustom	accustoms|accustoming|accustomed
ace	aced|acing|aces
acephalocyst	acephalocysts
acerate	acerates
acerbate	acerbated|acerbating|acerbates
acervate	acervating|acervates|acervated
acescent	acescents
acetabuloplasty	acetabuloplasties
acetal	acetals
acetate	acetates
aceticoceptor	aceticoceptors
acetifier	acetifiers
acetify	acetifies|acetifying|acetified
acetimeter	acetimeters
acetobacter	acetobacters
acetometer	acetometers
acetonitrile	acetonitriles
acetyl	acetyls
acetylate	acetylates|acetylating|acetylated
acetylation	acetylations
acetylide	acetylides
ache	aches|aching|ached
achene	achenes
achieve	achieved|achieving|achieves
achiever	achievers
achillotenotomy	achillotenotomies
aching	achings
achromacyte	achromacytes
achromat	achromats
achromatize	achromatizes|achromatized|achromatizing
achromatocyte	achromatocytes
achromocyte	achromocytes
achy	achiest|achier
acidifier	acidifiers
acidify	acidifying|acidifies|acidified
acidimeter	acidimeters
acidize	acidizing|acidizes|acidized
acidometer	acidometers
acidophil	acidophils
acidophyte	acidophytes
acidulate	acidulating|acidulates|acidulated
acierate	acierates|acierated|acierating
aciniform	aciniforms
acknowledge	acknowledging|acknowledges|acknowledged
acme	acmes
acnode	acnodes
acolyte	acolytes
aconitum	aconitums
acorn	acorns
acotyledon	acotyledons
acoumeter	acoumeters
acoustic	acoustics
acoustician	acousticians
acquiesce	acquiesced|acquiesces|acquiescing
acquire	acquired|acquires|acquiring
acquirer	acquirers
acquisitor	acquisitors
acquit	acquits|acquitted|acquitting
acquittance	acquittances|acquittancing|acquittanced
acquitter	acquitters
acre	acres
acrobat	acrobats
acroblast	acroblasts
acrocentric	acrocentrics
acrochordon	acrochordons
acrocontracture	acrocontractures
acrodont	acrodonts
acromegalic	acromegalics
acromegaly	acromegalies
acronym	acronyms|acronyming|acronymed
acrosome	acrosomes
acrospire	acrospiring|acrospires|acrospired
acrospore	acrospores
across	acrosses
acrylate	acrylates
acrylic	acrylics
actinide	actinides
actinograph	actinographs
actinometer	actinometers
actinon	actinons
actinospore	actinospores
activate	activated|activates|activating
activator	activators
active	actives
activist	activists
actual	actuals
actualisation	actualisations
actualise	actualises|actualising|actualised
actualize	actualizing|actualized|actualizes
actuary	actuaries
actuate	actuates|actuating|actuated
acuate	acuating|acuates|acuated
acuity	acuities
aculeate	aculeates
