europeanize	europeanized|europeanizing|europeanizes
eurus	euruses
eutectic	eutectics
eutectoid	eutectoids
euthenist	euthenists
eutherian	eutherians
euthyroid	euthyroids
eutrophic	eutrophics
eutrophy	eutrophies|eutrophied|eutrophying
evacuant	evacuants
evacuate	evacuates|evacuating|evacuated
evacuator	evacuators
evacuee	evacuees
evade	evaded|evades|evading
evader	evaders
evaginate	evaginating|evaginated|evaginates
evagination	evaginations
evaluate	evaluating|evaluated|evaluates
evaluator	evaluators
evanesce	evanesces|evanesced|evanescing
evangel	evangels
evangelic	evangelics
evangelical	evangelicals
evangelise	evangelises|evangelising|evangelised
evangelism	evangelisms
evangelist	evangelists
evangelize	evangelized|evangelizes|evangelizing
evangelizer	evangelizers
evanish	evanishes|evanishing|evanished
evanishment	evanishments
evaporate	evaporated|evaporating|evaporates
evaporator	evaporators
evaporimeter	evaporimeters
evaporometer	evaporometers
eve	eves
even	evening|evens|evened
evener	eveners
evensong	evensongs
event	events|eventing|evented
eventide	eventides
eventration	eventrations
eventuate	eventuates|eventuating|eventuated
everglade	everglades
evergreen	evergreened|evergreening|evergreens
everlasting	everlastings
evictee	evictees
evictor	evictors
evidence	evidences|evidenced|evidencing
evildoer	evildoers
evince	evinced|evinces|evincing
evirate	evirates|evirated|evirating
eviscerate	eviscerating|eviscerates|eviscerated
evocator	evocators
evoke	evokes|evoked|evoking
evolute	evolutes
evolutionist	evolutionists
evolve	evolving|evolves|evolved
evolvent	evolvents
ewe	ewes
ewer	ewers
ex	exes|exed|exing
exabyte	exabytes
exacerbate	exacerbates|exacerbated|exacerbating
exacter	exacters
exactor	exactors
exaggerate	exaggerated|exaggerating|exaggerates
exaggerator	exaggerators
exalter	exalters
exam	exammed|exams|examming
examen	examens
examinant	examinants
examine	examined|examines|examining
examinee	examinees
examiner	examiners
example	exampling|examples|exampled
exanimate	exanimating|exanimates|exanimated
exarate	exarating|exarates|exarated
exarchate	exarchates
exasperate	exasperating|exasperated|exasperates
exasperater	exasperaters
excardination	excardinations
excavate	excavates|excavating|excavated
exceeding	exceedings
excel	excelled|excels|excelling
excenter	excenters
excentric	excentrics
exceptional	exceptionals
excerpt	excerpting|excerpts|excerpted
excess	excesses|excessing|excessed
excessiveness	excessivenesses
exchange	exchanges|exchanging|exchanged
exchangeable	exchangeables
exchanger	exchangers
exchequer	exchequered|exchequers|exchequering
exciple	exciples
excircle	excircles
excise	excises|excising|excised
excitant	excitants
excite	excited|exciting|excites
exciter	exciters
exciting	excitings
exciton	excitons
excitor	excitors
excitron	excitrons
exclaim	exclaiming|exclaims|exclaimed
exclaimer	exclaimers
exclave	exclaves
excludable	excludables
exclude	excluding|excludes|excluded
excluder	excluders
exclusive	exclusives
exclusivity	exclusivities
excogitate	excogitating|excogitates|excogitated
excommunicate	excommunicates|excommunicating|excommunicated
excommunicator	excommunicators
excoriate	excoriated|excoriating|excoriates
excoriation	excoriations
excoriator	excoriators
excorticate	excorticating|excorticates|excorticated
excrescence	excrescences
excrescent	excrescents
excrete	excreted|excreting|excretes
excretory	excretories
excruciate	excruciates|excruciating|excruciated
exculpate	exculpating|exculpates|exculpated
excurse	excurses|excursing|excursed
excursion	excursions|excursioned|excursioning
excursionist	excursionists
excuse	excuses|excused|excusing
excuser	excusers
exeat	exeats
exec	execed|execing|execs
execrate	execrated|execrates|execrating
execrative	execratives
execrator	execrators
executable	executables
executant	executants
execute	executed|executes|executing
executer	executers
executioner	executioners
executive	executives
executor	executors
executress	executresses
exegete	exegeted|exegetes|exegeting
exegetist	exegetists
exemplar	exemplars
exemplary	exemplaries
exemplifier	exemplifiers
exemplify	exemplifies|exemplifying|exemplified
exempt	exempts|exempted|exempting
exenterate	exenterating|exenterates|exenterated
exequatur	exequaturs
exercise	exercising|exercised|exercises
exerciser	exercisers
exergue	exergues
exeunt	exeunting|exeunts|exeunted
exfoliate	exfoliating|exfoliates|exfoliated
exfoliator	exfoliators
exhale	exhales|exhaling|exhaled
exhaust	exhausts|exhausted|exhausting
exhauster	exhausters
exhibit	exhibiting|exhibited|exhibits
exhibiter	exhibiters
exhibitioner	exhibitioners
exhibitionist	exhibitionists
exhibitor	exhibitors
exhilarant	exhilarants
exhilarate	exhilarating|exhilarated|exhilarates
exhilarator	exhilarators
exhortative	exhortatives
exhorter	exhorters
exhume	exhumes|exhumed|exhuming
exhumer	exhumers
exigent	exigents
exile	exiles|exiled|exiling
exine	exines
existent	existents
existential	existentials
existentialist	existentialists
exit	exits|exiting|exited
exobiologist	exobiologists
exocarp	exocarps
exocrine	exocrines
exode	exodes
exoderm	exoderms
exodontist	exodontists
exodus	exoduses|exodusing|exodused
exoenzyme	exoenzymes
exon	exons
