aardvark	aardvarks
aasvogel	aasvogels
ab	abs|abbed|abed|abbing
abac	abacs
abacist	abacists
aback	abacks
abaddon	abaddons
abalienate	abalienating|abalienates|abalienated
abampere	abamperes
abandonee	abandonees
abandoner	abandoners
abase	abased|abases|abasing
abash	abashing|abashed|abashes
abate	abates|abating|abated
abater	abaters
abattoir	abattoirs
abaya	abayas
abb	abbs
abbacy	abbacies
abbess	abbesses|abbes
abbey	abbeys
abbot	abbots
abbr	abbrs
abbreviate	abbreviated|abbreviates|abbreviating
abbreviator	abbreviators
abcoulomb	abcoulombs
abdicant	abdicants
abdicate	abdicated|abdicates|abdicating
abdicator	abdicators
abdominal	abdominals
abdominohysterectomy	abdominohysterectomies
abdominohysterotomy	abdominohysterotomies
abducent	abducents
abductor	abductors
abecedarian	abecedarians
abele	abeles
abend	abending|abended|abends
aberrant	aberrants
aberrometer	aberrometers
abet	abets|abetted|abetting
abettal	abettals
abetter	abetters
abettor	abettors
abfarad	abfarads
abhor	abhorring|abhors|abhorred
abhorrer	abhorrers
abidance	abidances
abide	abides|abiding|abode
abider	abiders
abiding	abidings|abode|abides|abide
abience	abiences
abietene	abietenes
abigail	abigails
abiogenist	abiogenists
abioseston	abiosestons
abiotrophy	abiotrophies
abirritant	abirritants
abirritate	abirritates|abirritating|abirritated
abirritation	abirritations
abject	abjected|abjects|abjecting
abjectness	abjectnesses
abjudicate	abjudicates|abjudicating|abjudicated
abjure	abjuring|abjures|abjured
abjurer	abjurers
ablate	ablating|ablated|ablates
ablative	ablatives
able	ablest|abling|abled|abler|ables
ablegate	ablegating|ablegates|ablegated
ablen	ablens
ablet	ablets
abluent	abluents
abnegate	abnegated|abnegating|abnegates
abnegator	abnegators
abnormal	abnormals
abo	abos
abocclusion	abocclusions
abode	abodes|abides|abiding|abide
abohm	abohms
abolish	abolishes|abolishing|abolished
abolisher	abolishers
abolition	abolitions
abolitionise	abolitionising|abolitionises|abolitionised
abolitionist	abolitionists
abolitionize	abolitionizing|abolitionizes|abolitionized
abominate	abominating|abominated|abominates
abominator	abominators
abord	abording|aborded|abords
aboriginal	aboriginals
abort	aborts|aborted|aborting
abortifacient	abortifacients
abortin	abortins
abortionist	abortionists
abortive	abortiving|abortived|abortives
abounding	abound|aboundings|abounded|abounds
abracadabra	abracadabras
abradant	abradants
abrade	abrades|abrading|abraded
abranchiate	abranchiates
abrase	abrased|abrasing|abrases
abrasive	abrasives
abrasivity	abrasivities
abrasor	abrasors
abreaction	abreactions
abreuvoir	abreuvoirs
abridge	abridged|abridges|abridging
abridger	abridgers
abroach	abroaching|abroaches|abroached
abrogate	abrogating|abrogates|abrogated
abrupt	abrupted|abrupting|abrupts
abruption	abruptions
abscess	abscesses|abscessing|abscessed
absciss	abscissed|abscisses|abscissing
absconder	absconders
abseil	abseiled|abseiling|abseils
absent	absenting|absented|absents
absentation	absentations
absentee	absentees
absolute	absolutes
absolutist	absolutists
absolve	absolved|absolves|absolving
absolver	absolvers
absorb	absorbs|absorbing|absorbed
absorbefacient	absorbefacients
absorbent	absorbents
absorptance	absorptances
absorptiometer	absorptiometers
absorptive	absorptives
absorptivity	absorptivities
absquatulate	absquatulates|absquatulated|absquatulating
