abaisser	abaisses|abaissez|abaissions|abaisse|abaisserait|abaissera|abaisseriez|abaisserez|abaissa|abaissiez|abaissas|abaisserions|abaissent|abaissassent|abaissât|abaissait|abaisserai|abaissaient|abaissasses|abaisserons|abaisseront|abaissasse|abaissâtes|abaissant|abaisseraient|abaissâmes|abaissassiez|abaissons|abaissai|abaissais|abaissassions|abaissé|abaissèrent|abaisseras|abaisserais
abandonner	abandonnèrent|abandonnai|abandonnerai|abandonnerez|abandonnassiez|abandonnes|abandonneriez|abandonnâtes|abandonnerons|abandonnassent|abandonna|abandonneront|abandonné|abandonnera|abandonnât|abandonnant|abandonneraient|abandonnasse|abandonnaient|abandonnâmes|abandonniez|abandonneras|abandonnais|abandonnerions|abandonnerais|abandonnerait|abandonnas|abandonnassions|abandonnions|abandonnasses|abandonnent|abandonnez|abandonnons|abandonnait|abandonne
abasourdir	abasourdirions|abasourdissions|abasourdirait|abasourdissant|abasourdirez|abasourdissent|abasourdît|abasourdissez|abasourdissais|abasourdira|abasourdîtes|abasourdit|abasourdiraient|abasourdissait|abasourdirai|abasourdiront|abasourdirons|abasourdisse|abasourdirais|abasourdis|abasourdirent|abasourdiras|abasourdissaient|abasourdîmes|abasourdissiez|abasourdissons|abasourdisses|abasourdi|abasourdiriez
abcéder	abcédassions|abcèderaient|abcèderas|abcèdera|abcèderont|abcèderais|abcédasses|abcédèrent|abcédaient|abcédâtes|abcèderiez|abcédions|abcède|abcédait|abcèdent|abcédai|abcédais|abcèderait|abcèderions|abcèderez|abcèdes|abcédassiez|abcédas|abcédasse|abcédât|abcédiez|abcédons|abcédâmes|abcèderons|abcédé|abcédassent|abcéda|abcédez|abcèderai|abcédant
abdiquer	abdiquera|abdiqueras|abdiqua|abdiquerais|abdiquait|abdiquiez|abdiquas|abdiqueriez|abdiquerez|abdiquerions|abdiquions|abdiquais|abdiquaient|abdiquerai|abdiques|abdiquât|abdiquai|abdiquassent|abdiquassiez|abdiquant|abdiquasse|abdiquassions|abdiquèrent|abdiquâtes|abdiqueraient|abdiquerons|abdiqué|abdiquâmes|abdiquasses|abdiquent|abdiqueront|abdique|abdiquez|abdiquerait|abdiquons
aberrer	aberrez|aberreront|aberrant|aberres|aberriez|aberrerez|aberras|aberrais|aberreras|aberrerait|aberrât|aberrera|aberrassions|aberre|aberrons|aberrions|aberrerais|aberrasse|aberrasses|aberreraient|aberrâtes|aberrassent|aberrait|aberrassiez|aberreriez|aberrerons|aberrerai|aberrèrent|aberré|aberrerions|aberrâmes|aberrai|aberrent|aberraient|aberra
abhorrer	abhorrions|abhorrant|abhorrent|abhorrassiez|abhorreront|abhorrerez|abhorriez|abhorreras|abhorrassent|abhorrons|abhorrasses|abhorrasse|abhorrerait|abhorrait|abhorre|abhorré|abhorrâmes|abhorra|abhorres|abhorrera|abhorrez|abhorrassions|abhorrerai|abhorrâtes|abhorrât|abhorrèrent|abhorrerons|abhorrerions|abhorrais|abhorreraient|abhorraient|abhorreriez|abhorras|abhorrai|abhorrerais
abjurer	abjurassiez|abjureraient|abjurant|abjurons|abjurions|abjurerai|abjurassions|abjuraient|abjurâmes|abjureront|abjurerait|abjureriez|abjurasses|abjureras|abjurerons|abjurerez|abjurerais|abjuré|abjurent|abjurâtes|abjurât|abjure|abjurera|abjurassent|abjurasse|abjuriez|abjuras|abjures|abjurez|abjurait|abjurai|abjura|abjurerions|abjurais|abjurèrent
ablater	ablateras|ablaté|ablatât|ablatas|ablatait|ablatasses|ablaterais|ablatera|ablatant|ablatâtes|ablatez|ablate|ablatassent|ablatassions|ablaterions|ablatent|ablatassiez|ablata|ablaterait|ablatons|ablatai|ablatasse|ablatèrent|ablatâmes|ablatais|ablaterez|ablateront|ablateraient|ablates|ablatiez|ablaterons|ablataient|ablaterai|ablateriez|ablations
abolir	abolissons|abolissant|abolirait|abolirions|abolissez|abolisses|abolirez|aboli|abolirent|abolissions|abolîtes|aboliriez|abolirai|abolissiez|abolit|abolîmes|aboliront|abolissait|abolissaient|abolît|abolis|abolira|abolissais|aboliraient|abolirais|abolisse|aboliras|abolissent|abolirons
abominer	abominasse|abominais|abominât|abominez|abominerait|abominâtes|abominiez|abominaient|abominait|abominerais|abominerons|abomineront|abominassions|abominé|abominâmes|abominasses|abomina|abomineras|abomine|abominerions|abominerai|abominons|abominassent|abomineriez|abomineraient|abominions|abominerez|abominera|abominas|abomines|abominassiez|abominent|abominai|abominèrent|abominant
abonder	abondé|abondons|abondèrent|abondes|abonderiez|abonderait|abondiez|abondez|abondassent|abondions|abondera|abonde|abondâmes|abondas|abondaient|abonderons|abonderions|abondai|abonderont|abonderai|abondasses|abondent|abondasse|abondassiez|abonderez|abondais|abondait|abonderais|abonderas|abondassions|abonda|abonderaient|abondant|abondâtes|abondât
abonner	abonna|abonnas|abonneront|abonneriez|abonnerais|abonnez|abonnons|abonné|abonneras|abonnât|abonnâmes|abonne|abonneraient|abonnait|abonnera|abonnaient|abonnant|abonnassent|abonnions|abonnai|abonnerait|abonniez|abonnent|abonnâtes|abonnerai|abonnerez|abonnerions|abonnassions|abonnasses|abonnèrent|abonnassiez|abonnes|abonnerons|abonnasse|abonnais
abonnir	abonnisses|abonnisse|abonnissiez|abonnîmes|abonnît|abonnirions|abonnissait|abonnissant|abonnirait|abonnit|abonnirez|abonnirais|abonniras|abonnissions|abonniriez|abonnissez|abonniraient|abonniront|abonnirent|abonnira|abonnîtes|abonnirons|abonnissais|abonnissent|abonnissaient|abonnis|abonni|abonnirai|abonnissons
aborder	aborderait|abordasses|aborderas|aborderiez|aborde|abordent|abordassions|abordèrent|abordant|abordas|abordez|abordassent|abordait|abordai|aborderions|abordiez|abordassiez|abordasse|aborderons|aborderont|aborderais|aborda|abordâtes|aborderai|abordaient|aborderaient|abordé|abordais|abordons|abordâmes|abordera|aborderez|abordes|abordions|abordât
aboucher	aboucherait|abouchassent|aboucha|aboucheriez|abouchas|abouchassions|abouchait|abouchons|abouchât|abouchasse|aboucherez|abouchai|abouchaient|abouchasses|abouches|abouchez|abouchera|aboucherions|abouchais|abouchions|aboucherais|abouchent|abouchâtes|abouchèrent|aboucherai|aboucheraient|aboucheras|aboucheront|abouché|abouchiez|abouchassiez|abouche|abouchant|abouchâmes|aboucherons
abouler	aboulez|aboulions|aboulâmes|aboulas|abouliez|aboulant|aboulassiez|aboulerait|aboulait|aboulai|aboulèrent|abouleraient|abouleront|aboulera|aboula|abouleras|aboulât|aboulerez|aboulasses|aboulent|aboules|aboulâtes|aboulaient|aboulassent|abouleriez|aboulerions|aboulais|aboulé|aboulerais|aboulassions|aboule|aboulerons|aboulons|aboulerai|aboulasse
abouter	abouteront|aboutaient|aboutera|abouterez|aboutais|aboutèrent|aboutiez|abouterons|aboutent|aboutes|aboutions|aboutâtes|aboutassiez|abouta|aboutant|aboutasse|aboutassent|aboutassions|abouteriez|abouterai|abouterais|aboutât|abouterions|abouteras|aboute|aboutas|abouterait|aboutâmes|abouteraient|aboutez|aboutai|aboutait|abouté|aboutons|aboutasses
aboutir	aboutisse|aboutissais|aboutissez|aboutiraient|aboutiras|aboutîmes|aboutirais|aboutissait|aboutirent|aboutirions|aboutirez|aboutissons|aboutirait|aboutirons|aboutisses|aboutirai|aboutiriez|aboutis|aboutissent|aboutîtes|aboutissiez|aboutira|aboutissions|abouti|aboutît|aboutit|aboutiront|aboutissaient|aboutissant
aboyer	aboiera|aboieriez|aboierions|aboyions|aboyant|aboyasses|aboyèrent|aboies|aboyait|aboyassiez|aboyassent|aboieront|aboyasse|aboyas|aboyez|aboyassions|aboierons|aboya|aboyiez|aboyâmes|aboierez|aboieraient|aboierai|aboient|aboyâtes|aboyai|aboyé|aboierait|aboieras|aboierais|aboyât|aboyais|aboyons|aboyaient|aboie
abraser	abrasât|abrasera|abrasâmes|abraserais|abrasaient|abrasé|abrasas|abraserai|abrasèrent|abrasasses|abraserons|abraseriez|abraserions|abrasassiez|abrasasse|abrase|abrasai|abrasassent|abraseraient|abrasassions|abrasions|abrasez|abrases|abrasant|abrasâtes|abrasiez|abraserez|abrasons|abrasent|abraseras|abrasa|abraseront|abrasais|abrasait|abraserait
abreuver	abreuvé|abreuvent|abreuveraient|abreuvasses|abreuviez|abreuvèrent|abreuvions|abreuvait|abreuvas|abreuverait|abreuva|abreuverez|abreuvez|abreuverons|abreuvassiez|abreuvassions|abreuveras|abreuve|abreuvera|abreuvais|abreuvassent|abreuves|abreuvant|abreuverai|abreuverions|abreuveront|abreuvât|abreuvasse|abreuvâtes|abreuvaient|abreuvai|abreuverais|abreuvons|abreuvâmes|abreuveriez
abricoter	abricotât|abricotassent|abricotais|abricotant|abricotai|abricotassions|abricotâtes|abricotasses|abricotèrent|abricotiez|abricoteriez|abricoterions|abricoterai|abricoterait|abricotasse|abricotâmes|abricoteront|abricoté|abricota|abricotions|abricoterez|abricoteraient|abricoterais|abricotes|abricotera|abricotons|abricotaient|abricotent|abricotez|abricotait|abricotas|abricote|abricoterons|abricotassiez|abricoteras
