abbacinare	abbacinerete|abbacinassi|abbacinammo|abbacinassimo|abbacineresti|abbacineremmo|abbacinai|abbacinino|abbacinerai|abbacinano|abbacinassero|abbacinaste|abbacinerebbe|abbacino|abbacina|abbacinerò|abbacinando|abbacineremo|abbacinavi|abbacinereste|abbacinò|abbacinate|abbacinerei|abbacinato|abbacinarono|abbacini|abbacinavate|abbacinasti|abbacinava|abbacinavo|abbacineranno|abbacinerà|abbaciniate|abbacinante|abbacinavamo|abbacinerebbero|abbacinasse|abbacinavano|abbaciniamo
abballottare	abballottando|abballottassimo|abballottavano|abballottava|abballotta|abballotterete|abballottasti|abballotteremo|abballotti|abballottereste|abballottato|abballottiate|abballotterà|abballottiamo|abballottavo|abballottano|abballottai|abballottammo|abballottò|abballotteranno|abballotteresti|abballotterebbe|abballottante|abballottaste|abballotteremmo|abballotterai|abballottate|abballottavamo|abballottasse|abballottavi|abballottarono|abballottino|abballotterei|abballotterebbero|abballotterò|abballotto|abballottassero|abballottassi|abballottavate
abbandonarsi	abbandoniamoci|abbandonato|abbandonati|abbandonantesi|abbandonatevi|abbandonandosi
abbarbagliare	abbarbagliato|abbarbaglia|abbarbaglierebbe|abbarbaglierei|abbarbagliai|abbarbagliasse|abbarbagliate|abbarbagliante|abbarbagliava|abbarbagliano|abbarbaglierete|abbarbaglieranno|abbarbaglio|abbarbaglieremo|abbarbaglino|abbarbagliassero|abbarbagliassi|abbarbagliò|abbarbaglierebbero|abbarbagliavo|abbarbaglieremmo|abbarbagliasti|abbarbagli|abbarbagliaste|abbarbagliavano|abbarbaglieresti|abbarbagliammo|abbarbaglierai|abbarbaglierà|abbarbagliarono|abbarbagliavi|abbarbagliavamo|abbarbagliavate|abbarbaglierò|abbarbagliamo|abbarbagliando|abbarbagliassimo|abbarbagliereste
abbarbicare	abbarbicavano|abbarbichiamo|abbarbicherò|abbarbicherebbe|abbarbicato|abbarbichiate|abbarbicando|abbarbicassi|abbarbicherei|abbarbicai|abbarbicammo|abbarbicherete|abbarbicavo|abbarbicava|abbarbicavi|abbarbichereste|abbarbicano|abbarbicheremmo|abbarbicasti|abbarbicaste|abbarbicassero|abbarbicheresti|abbarbicherai|abbarbicate|abbarbicheranno|abbarbicherà|abbarbicarono|abbarbicherebbero|abbarbica|abbarbichi|abbarbico|abbarbicavamo|abbarbicante|abbarbicasse|abbarbicheremo|abbarbichino|abbarbicò|abbarbicavate|abbarbicassimo
abbarbicarsi	abbarbicantesi|abbarbicato|abbarbicandosi|abbarbicatevi|abbarbicati|abbarbichiamoci
abbaruffare	abbarufferemo|abbaruffammo|abbaruffereste|abbaruffassero|abbaruffavi|abbarufferebbe|abbarufferesti|abbarufferà|abbaruffate|abbarufferebbero|abbaruffato|abbarufferei|abbaruffino|abbaruffasti|abbaruffiate|abbaruffavo|abbaruffi|abbaruffò|abbaruffava|abbaruffavano|abbaruffo|abbaruffando|abbaruffaste|abbarufferai|abbaruffiamo|abbaruffassi|abbaruffassimo|abbarufferemmo|abbaruffasse|abbaruffano|abbaruffarono|abbarufferò|abbarufferanno|abbaruffa|abbaruffai|abbaruffavamo|abbarufferete|abbaruffante|abbaruffavate
abbassare	abbassano|abbassassero|abbassavo|abbassava|abbasseremmo|abbassavate|abbassavamo|abbassando|abbassavano|abbasserete|abbassassi|abbassò|abbassa|abbasserebbe|abbasserò|abbassasse|abbassereste|abbasserei|abbasseranno|abbasseremo|abbasserai|abbassasti|abbassarono|abbasseresti|abbassavi|abbassante|abbassaste|abbassato|abbassate|abbasserà|abbassai|abbasserebbero|abbassammo|abbassino|abbassi|abbassassimo|abbassiamo|abbassiate|abbasso
abbassarsi	abbassandosi|abbassato|abbassati|abbassiamoci|abbassatevi|abbassantesi
abbatacchiare	abbatacchi|abbatacchiavamo|abbatacchiante|abbatacchierebbe|abbatacchiamo|abbatacchieremmo|abbatacchiando|abbatacchiano|abbatacchieranno|abbatacchiavate|abbatacchiavo|abbatacchierebbero|abbatacchiato|abbatacchiarono|abbatacchierete|abbatacchiereste|abbatacchio|abbatacchiasse|abbatacchiò|abbatacchiaste|abbatacchiasti|abbatacchieremo|abbatacchiassi|abbatacchieresti|abbatacchino|abbatacchiate|abbatacchierai|abbatacchierò|abbatacchiai|abbatacchiassero|abbatacchiassimo|abbatacchiavi|abbatacchiava|abbatacchia|abbatacchiammo|abbatacchiavano|abbatacchierà|abbatacchierei
abbattere	abbatte|abbattevi|abbatteresti|abbattuto|abbatterai|abbatteranno|abbatterebbero|abbatteremmo|abbattereste|abbatterei|abbattessero|abbattessi|abbatterò|abbattevamo|abbatteste|abbattevo|abbattette|abbatta|abbattono|abbatterà|abbatteremo|abbattesti|abbatti|abbattemmo|abbattendo|abbattente|abbattevate|abbattettero|abbattiamo|abbattesse|abbatteva|abbattei|abbatterete|abbattessimo|abbattano|abbattete|abbatto|abbatterebbe|abbattevano|abbattiate
abbattersi	abbattiti|abbattiamoci|abbattuto|abbattentesi|abbattendosi|abbattetevi
abbatuffolare	abbatuffoleremmo|abbatuffolavamo|abbatuffoleremo|abbatuffolavano|abbatuffolava|abbatuffolai|abbatuffolerete|abbatuffolassi|abbatuffolerai|abbatuffolerebbe|abbatuffolano|abbatuffolavate|abbatuffolò|abbatuffolerà|abbatuffolerei|abbatuffoli|abbatuffolato|abbatuffolarono|abbatuffolerò|abbatuffoleranno|abbatuffolino|abbatuffola|abbatuffolo|abbatuffolassero|abbatuffolavi|abbatuffoleresti|abbatuffoliate|abbatuffolaste|abbatuffolasse|abbatuffolassimo|abbatuffoliamo|abbatuffolando|abbatuffolasti|abbatuffolammo|abbatuffolavo|abbatuffolate|abbatuffolante|abbatuffolerebbero|abbatuffolereste
abbellire	abbelliate|abbellendo|abbelliresti|abbelliscono|abbellii|abbellissi|abbellivo|abbelliamo|abbellirei|abbellente|abbellirete|abbellimmo|abbellissero|abbellisti|abbellito|abbellisco|abbelliscano|abbelliva|abbellisca|abbellireste|abbellirai|abbellivate|abbellì|abbelliranno|abbellirebbero|abbellirà|abbellisse|abbelliremmo|abbelliremo|abbellite|abbellisci|abbellirebbe|abbellirono|abbellivamo|abbellivano|abbelliste|abbellivi|abbellirò|abbellissimo|abbellisce
abbellirsi	abbelliamoci|abbellito|abbellisciti|abbellendosi|abbellitevi|abbellentesi
abbeverare	abbeverammo|abbeverava|abbevererete|abbeveravi|abbevererebbero|abbeverano|abbeveri|abbeverante|abbeveravo|abbeverando|abbevererai|abbevererebbe|abbevereresti|abbeverasse|abbeverai|abbeverereste|abbevererà|abbeverate|abbeveravano|abbevereremmo|abbeveriate|abbevera|abbeverassero|abbeverarono|abbevereremo|abbeveravamo|abbeveravate|abbeveriamo|abbeverò|abbeverato|abbeverassi|abbevererò|abbevererei|abbeverino|abbeverassimo|abbevero|abbevereranno|abbeverasti|abbeveraste
abbeverarsi	abbeverati|abbeverantesi|abbeveriamoci|abbeveratevi|abbeverandosi|abbeverato
abbicare	abbichiate|abbichi|abbicavo|abbichiamo|abbicherete|abbicante|abbicavi|abbicherà|abbicassimo|abbicato|abbicheremmo|abbico|abbicai|abbicasse|abbicano|abbicò|abbicheremo|abbicheranno|abbicasti|abbicammo|abbicherai|abbicavano|abbicherei|abbichereste|abbicaste|abbicarono|abbicando|abbicate|abbicassi|abbicava|abbicherebbe|abbicherò|abbicavamo|abbicherebbero|abbicheresti|abbicavate|abbichino|abbica|abbicassero
abbigliare	abbigliai|abbigliasse|abbigliate|abbigliò|abbiglieremo|abbigliava|abbigliano|abbiglierete|abbigliavamo|abbiglieresti|abbiglierei|abbigliasti|abbiglieranno|abbiglio|abbigliarono|abbiglierai|abbigliavi|abbigliavo|abbigliando|abbigliante|abbigliaste|abbigliassimo|abbigliato|abbiglieremmo|abbigliavano|abbiglierà|abbiglia|abbiglino|abbigliammo|abbigliereste|abbigliamo|abbigli|abbiglierebbe|abbiglierò|abbigliavate|abbiglierebbero|abbigliassero|abbigliassi
abbigliarsi	abbigliantesi|abbigliatevi|abbigliato|abbigliati|abbigliamoci|abbigliandosi
abbinare	abbineranno|abbinerebbe|abbinino|abbinerebbero|abbino|abbinando|abbineremo|abbinassero|abbinerò|abbiniamo|abbinassi|abbinato|abbinai|abbinante|abbiniate|abbinavamo|abbinano|abbinavi|abbinavate|abbinerai|abbineresti|abbinasse|abbinasti|abbineremmo|abbinarono|abbina|abbini|abbinaste|abbinava|abbinavo|abbinerà|abbinate|abbinereste|abbinassimo|abbinerete|abbinerei|abbinavano|abbinò|abbinammo
abbindolare	abbindolai|abbindolo|abbindoleranno|abbindolasse|abbindolassimo|abbindolerà|abbindolavo|abbindolavano|abbindola|abbindolano|abbindolassi|abbindolaste|abbindolerebbero|abbindolavate|abbindolò|abbindolino|abbindolarono|abbindoleremo|abbindolerete|abbindoli|abbindolassero|abbindolava|abbindolando|abbindoleremmo|abbindoleresti|abbindolereste|abbindolerai|abbindolate|abbindolato|abbindolerò|abbindoliate|abbindoliamo|abbindolavamo|abbindolerei|abbindolerebbe|abbindolante|abbindolavi|abbindolasti|abbindolammo
abbioccarsi	abbioccati|abbioccato|abbiocchiamoci|abbioccantesi|abbioccandosi|abbioccatevi
abbisciare	abbisceresti|abbisciavano|abbisciavi|abbisciaste|abbisceremmo|abbiscerebbe|abbisciavamo|abbisciò|abbiscerete|abbisciavate|abbisciasse|abbisciava|abbisciammo|abbisciante|abbiscio|abbisciano|abbisciai|abbisciamo|abbisceranno|abbisciassi|abbiscerebbero|abbisceremo|abbisciassero|abbisciasti|abbiscereste|abbisciate|abbiscerai|abbisciarono|abbiscerà|abbiscia|abbisciavo|abbisci|abbisciato|abbiscerei|abbisciassimo|abbiscerò|abbiscino|abbisciando
abbisognare	abbisognassimo|abbisogniamo|abbisognerebbero|abbisognarono|abbisognano|abbisogneremo|abbisognavo|abbisognò|abbisognai|abbisognerai|abbisogniate|abbisogna|abbisognassero|abbisognaste|abbisognerei|abbisogneremmo|abbisognammo|abbisognavano|abbisognante|abbisognando|abbisognerà|abbisognerebbe|abbisognereste|abbisognino|abbisognasse|abbisognava|abbisognate|abbisognavamo|abbisogneresti|abbisognerò|abbisogno|abbisognato|abbisognassi|abbisognavate|abbisognasti|abbisognerete|abbisognavi|abbisogni|abbisogneranno
abbittare	abbittaste|abbittasse|abbittassimo|abbittammo|abbittato|abbittassi|abbittiate|abbittò|abbittano|abbittai|abbittava|abbitti|abbittassero|abbitto|abbittate|abbitterei|abbitterai|abbitterebbero|abbittavo|abbittavate|abbittiamo|abbittino|abbitterà|abbitteranno|abbitta|abbittavamo|abbittereste|abbittasti|abbitteremmo|abbitteremo|abbitterebbe|abbitterò|abbittavano|abbitterete|abbittando|abbittante|abbitteresti|abbittarono|abbittavi
abboccare	abboccheranno|abboccavano|abboccheremmo|abboccava|abboccassero|abboccò|abboccavo|abboccherai|abboccassi|abboccante|abboccheremo|abbocchiate|abboccaste|abboccate|abboccavate|abboccasse|abbocchino|abboccammo|abboccherei|abbocchereste|abboccavamo|abboccherò|abbocco|abboccasti|abbocchi|abboccarono|abboccheresti|abboccato|abboccassimo|abbocca|abboccai|abboccano|abboccavi|abboccherebbero|abbocchiamo|abboccherete|abboccherà|abboccherebbe|abboccando
abboffarsi	abboffiamoci|abboffato|abboffantesi|abboffatevi|abboffati|abboffandosi
abbonacciare	abbonacciano|abbonaccerei|abbonacciavi|abbonacciassimo|abbonacciato|abbonacciassero|abbonacciante|abbonacciavano|abbonacciassi|abbonaccerai|abbonaccerà|abbonacciavamo|abbonacciavo|abbonacciammo|abbonacciate|abbonacceremmo|abbonaccerebbe|abbonacciavate|abbonacceremo|abbonaccerete|abbonacciai|abbonaccerò|abbonacceranno|abbonacci|abbonaccino|abbonaccerebbero|abbonacciasti|abbonaccereste|abbonacciasse|abbonaccia|abbonaccio|abbonacciarono|abbonacciando|abbonacciaste|abbonacciamo|abbonacciava|abbonacciò|abbonacceresti
abbonare	abboneremmo|abboneresti|abbono|abbonammo|abbonante|abbonaste|abbonereste|abbonasti|abbonavamo|abbonasse|abbonavi|abbonavate|abbonassero|abbonò|abbonano|abbonarono|abbonando|abbonavo|abbonavano|abbonerà|abbonerei|abbonerai|abboniamo|abbona|abbonate|abboneranno|abbonerebbe|abbonerò|abbonino|abbonava|abbonassi|abbonai|abbonato|abboni|abboneremo|abbonassimo|abboniate|abbonerebbero|abbonerete
abbonarsi	abbonandosi|abbonati|abbonato|abbonantesi|abboniamoci|abbonatevi
abbondare	abbondammo|abbondavamo|abbonderemmo|abbonda|abbondavo|abbonderà|abbondò|abbondi|abbondiamo|abbonderai|abbondate|abbondarono|abbondaste|abbondante|abbondano|abbondassimo|abbondavate|abbondassero|abbonderebbero|abbonderei|abbondavi|abbonderesti|abbondando|abbonderebbe|abbondassi|abbondasti|abbonderò|abbondasse|abbondiate|abbondino|abbondava|abbondavano|abbondereste|abbonderemo|abbondato|abbondai|abbonderanno|abbonderete|abbondo
