abort	aborten|abortane|abortar
abstrakt	abstrakta|abstraktet
adamseple	adamseplet|adamsepla
addisjon	addisjonar|addisjonen|addisjonane
adjektiv	adjektivet|adjektiva
administrasjon	administrasjonen|administrasjonane|administrasjonar
adressat	adressatar|adressatane|adressaten
adresse	adresser|adressa|adressene
advent	adventa|adventer|adventene
adventskalender	adventskalendrar|adventskalendrane|adventskalenderen
adverb	adverba|adverbet
advokat	advokatane|advokaten|advokatar
afrikansk	afrikanske
aggresjon	aggresjonane|aggresjonar|aggresjonen
agurk	agurkar|agurken|agurkane
akkord	akkordar|akkorden|akkordane
akrobat	akrobatar|akrobatane|akrobaten
akse	aksar|aksane|aksen
aksel	akslar|akslane|akselen
aksent	aksentane|aksenten|aksentar
aksjonær	aksjonærar|aksjonærane|aksjonæren
aktiv	aktive|aktivt
aktivitet	aktivitetar|aktivitetane|aktiviteten
aktuell	aktuelt|aktuelle
akupunktur	akupunkturen
alder	aldrar|alderen|aldrane
alfabet	alfabeta|alfabetet
alfabetisk	alfabetiske
alge	algen|algane|algar
alkohol	alkoholar|alkoholane|alkoholen
alkoholfri	alkoholfrie|alkoholfritt
alkoholmisbruk	alkoholmisbruket|alkoholmisbruken
allergi	allergiane|allergiar|allergien
allmenn	allment|allmenne
allé	alléar|alléen|alléane|alleane|alleen|allear
alter	altera|alteret
alternativ	alternativet|alternativt|alternative|alternativa
aluminium	aluminiumen|aluminiumet
ambassade	ambassaden|ambassadane|ambassadar
ambassadør	ambassadørar|ambassadøren|ambassadørane
ambulanse	ambulansar|ambulansen|ambulansane
analyse	analysane|analysen|analysar
anarki	anarkia|anarkiet
anbefaling	anbefalingane|anbefalinga|anbefalingar
and	anda|endene|ender
anekdote	anekdotar|anekdotane|anekdoten
anger	angeren
angre	angra|angrar|angrande|angrast
angrep	angrepet|angrepa
angripe	angripast|angreip|angrip|angripande
ankel	ankelen|anklar|anklane
anonym	anonymt|anonyme
anorakk	anorakkane|anorakkar|anorakken
ansikt	ansiktet|ansikta
ansvar	ansvaret|ansvara
antenne	antenner|antenna|antennene
apekatt	apekatten|apekattane|apekattar
apostel	apostelen|apostlane|apostlar
apparat	apparata|apparatet
appell	appellen|appellane|appellar
appelsin	appelsinar|appelsinen|appelsinane
appetitt	appetitten
aprikos	aprikosane|aprikosen|aprikosar
arabisk	arabisken|arabiske
arbeid	arbeidet|arbeida
argument	argumenta|argumentet
aristokrat	aristokratane|aristokratar|aristokraten
aritmetikk	aritmetikken
arkeolog	arkeologen|arkeologar|arkeologane
arkeologi	arkeologien
arkitekt	arkitektane|arkitektar|arkitekten
arkitektur	arkitekturar|arkitekturane|arkitekturen
arkiv	arkiva|arkivet
arm	armar|armt|armen|armane|arme
art	arten|arter|artene|artar|arta|artane
artikkel	artikkelen|artiklar|artiklane
arv	arven
arving	arvingen|arvingar|arvingane
asiat	asiatane|asiaten|asiatar
asiatisk	asiatiske
asjett	asjettar|asjetten|asjettane
ask	askar|asken|askane
assistent	assistentar|assistenten|assistentane
astma	astmaen
atom	atoma|atomet
atomvåpen	atomvåpenet|atomvåpena
attraksjon	attraksjonar|attraksjonane|attraksjonen
auke	auka|aukane|aukande|auken|aukast|aukar
auksjon	auksjonane|auksjonen|auksjonar
automat	automaten|automatane|automatar
automatisk	automatiske
autoritet	autoriteten|autoritetane|autoritetar
avdød	avdøde|avdødt
avertere	averterte|averterer|avertert|averterande|averterast|averter
avfall	avfallet
avgang	avgangen|avgangane|avgangar
avgrunn	avgrunnen|avgrunnar|avgrunnane
avhengig	avhengige
avis	aviser|avisene|avisa
avl	avlane|avlar|avlen
avslapping	avslappinga
avsnitt	avsnitta|avsnittet
avstand	avstandar|avstandane|avstanden
baby	babyar|babyane|babyen
bad	bada|badet
badebukse	badebuksa|badebukser|badebuksene
badekar	badekara|badekaret
bagasje	bagasjen
bajonett	bajonettar|bajonettane|bajonetten
bakeri	bakeriet|bakeria
bakgrunn	bakgrunnar|bakgrunnane|bakgrunnen
bakke	bakken|bakkane|bakkar
baksete	baksetet|bakseta
bakside	baksidene|baksider|baksida
bakterie	bakteriar|bakteriane|bakterien
balanse	balansen|balansar|balansane
balkong	balkongen|balkongar|balkongane
ball	ballen|balla|ballet|ballar|ballane
ballett	ballettar|ballettane|balletten
ballong	ballongane|ballongen|ballongar
banan	bananane|bananar|bananen
bandasje	bandasjen|bandasjar|bandasjane
bane	banene|bana|banane|banar|banen|baner
bank	bankar|banken|bankane
banke	bankar|banken|bankane
baptist	baptistar|baptisten|baptistane
bark	barken|barkane|barkar
barndom	barndommen|barndomen
barnebarn	barneborn|barnebarna|barnebarnet|barneborna
barnehage	barnehagane|barnehagen|barnehagar
barnevogn	barnevogna|barnevogner|barnevognene
baryton	barytonane|barytonen|barytonar
basar	basarar|basaren|basarane
batteri	batteria|batteriet
baug	baugane|baugen|baugar
be	beder|bedi|bad|bedd|bedt|bedande|ber|bed|bede
befolkning	befolkningar|befolkningane|befolkninga
behandling	behandlingane|behandlinga|behandlingar
behov	behova|behovet
behå	behåen|behåane|behåar
bein	beinet|beina
beite	beitande|beitast|beitar|beita|beitet
bekk	bekken|bekkene|bekker|bekkane|bekkar
belte	belta|beltet
bendelorm	bendelormane|bendelormen|bendelormar
benk	benker|benkar|benkane|benkene|benken
bensin	bensinen
bensinstasjon	bensinstasjonen|bensinstasjonar|bensinstasjonane
berømt	berømte
besetning	besetningen|besetningar|besetningane|besetninga
beskjed	beskjeden|beskjedar|beskjeder|beskjeda|beskjedane|beskjedene
beskjeden	beskjedent|beskjedne
bestefar	bestefedrane|bestefedrar|bestefaren
bestemor	bestemødrene|bestemødrer|bestemora
bestikk	bestikket|bestikka
bestilling	bestillinga|bestillingar|bestillingane
besøk	besøka|besøket
besøke	besøkt|besøkast|besøker|besøkande|besøkte|besøk
