abafar	abafastes|abafando|abafarias|abafaras|abafamos|abafasse|abafavam|abafes|abafarão|abafou|abafaremos|abafarem|abafe|abafeis|abafávamos|abafemos|abafaríamos|abafaria|abafáveis|abafais|abafariam|abafada|abafaríeis|abafares|abafaste|abafássemos|abafassem|abafardes|abafadas|abafámos|abafam|abafáreis|abafas|abafados|abafei|abafa|abafavas|abafarás|abafásseis|abafaram|abafara|abafáramos|abafai|abafasses|abafará|abafava|abafado|abafarmos|abafareis|abafem|abafo|abafarei
abaixar	abaixaria|abaixando|abaixou|abaixáveis|abaixarás|abaixadas|abaixarem|abaixe|abaixares|abaixareis|abaixavam|abaixáramos|abaixavas|abaixardes|abaixemos|abaixas|abaixem|abaixados|abaixais|abaixarão|abaixáreis|abaixaram|abaixásseis|abaixam|abaixaste|abaixaríamos|abaixasse|abaixarias|abaixássemos|abaixávamos|abaixara|abaixava|abaixado|abaixaríeis|abaixarei|abaixaras|abaixasses|abaixassem|abaixai|abaixaremos|abaixariam|abaixámos|abaixará|abaixamos|abaixa|abaixei|abaixo|abaixeis|abaixastes|abaixes|abaixarmos|abaixada
abalar	abalara|abalo|abalava|abalássemos|abalas|abalaria|abalarás|abalaremos|abalai|abalando|abalará|abalastes|abalariam|abalavam|abalado|abaláramos|abaleis|abale|abalam|abaláreis|abaladas|abalaríamos|abales|abalaste|abalassem|abalou|abalados|abalaram|abalarei|abalares|abalamos|abalasse|abalaras|abalem|abalasses|abalais|abalada|abalavas|abalarmos|abalarem|abalemos|abalarias|abala|abalásseis|abalávamos|abalámos|abalarão|abalareis|abalei|abaláveis|abalaríeis|abalardes
abanar	abanaras|abanaríeis|abanámos|abanáreis|abanem|abanasse|abanaria|abanados|abanes|abanareis|abanarias|abanaremos|abane|abanas|abanava|abanastes|abanavam|abanáveis|abanávamos|abanaste|abanarão|abanarmos|abanando|abanarás|abanassem|abanariam|abanássemos|abano|abanarem|abanada|abanadas|abanaram|abanamos|abana|abanei|abanemos|abaneis|abanardes|abanais|abanai|abanara|abanásseis|abanará|abanáramos|abanavas|abanou|abanares|abanarei|abanado|abanasses|abanam|abanaríamos
abandonar	abandonavam|abandonaras|abandonarás|abandonava|abandonado|abandonadas|abandonaríamos|abandonasse|abandones|abandonáveis|abandonarmos|abandonam|abandonarias|abandonávamos|abandonados|abandonada|abandonareis|abandonarei|abandonara|abandonavas|abandonássemos|abandonas|abandonares|abandona|abandonaremos|abandonáreis|abandonaram|abandonarem|abandonaria|abandonasses|abandonastes|abandonem|abandonassem|abandonai|abandonardes|abandonou|abandonemos|abandonei|abandono|abandonámos|abandonais|abandonaríeis|abandoneis|abandonáramos|abandonando|abandonaste|abandonarão|abandone|abandonará|abandonariam|abandonásseis|abandonamos
abarcar	abarcardes|abarcarias|abarcaste|abarcavas|abarcais|abarcareis|abarcares|abarcássemos|abarcasse|abarques|abarcasses|abarque|abarcarão|abarca|abarquei|abarcará|abarcaríamos|abarcas|abarcásseis|abarcávamos|abarcaram|abarqueis|abarcarei|abarcaras|abarcámos|abarcastes|abarcáreis|abarcarás|abarcarem|abarcado|abarcáramos|abarcamos|abarcarmos|abarcou|abarco|abarcavam|abarcadas|abarcava|abarcados|abarcassem|abarcada|abarcai|abarcaria|abarquem|abarcariam|abarcáveis|abarcam|abarcaremos|abarquemos|abarcando|abarcaríeis|abarcara
abastecer	abasteceres|abastecerem|abastece|abasteceras|abastecia|abastecidas|abastecêreis|abasteceria|abastecerias|abastecemos|abastecerei|abasteceu|abastecesses|abastecermos|abastecerá|abastecerás|abastecíeis|abastecestes|abasteço|abasteçam|abastecerão|abastecereis|abasteceram|abasteceriam|abastecera|abastecem|abasteci|abastecendo|abasteceremos|abastecido|abasteças|abasteceríamos|abasteceste|abasteces|abastecíamos|abastecias|abastecêsseis|abastecidos|abasteceis|abasteçais|abasteçamos|abastecesse|abastecêramos|abastecerdes|abasteciam|abasteça|abastecessem|abastecei|abastecêssemos|abasteceríeis|abastecida
abater	abaterem|abaterão|abateis|abates|abaterdes|abateríeis|abatêreis|abatias|abatidos|abato|abateram|abateriam|abati|abaterei|abateríamos|abatíeis|abatendo|abatais|abatamos|abateremos|abatem|abatêramos|abatereis|abatiam|abateste|abatestes|abatíamos|abatera|abatam|abata|abatida|abatessem|abatesses|abatas|abateria|abateu|abatidas|abatido|abateres|abaterá|abatermos|abateras|abaterás|abaterias|abatia|abatei|abatemos|abatesse|abate|abatêsseis|abatêssemos
abdicar	abdicarei|abdicaria|abdicássemos|abdicassem|abdicava|abdicaríamos|abdicará|abdicarão|abdicarias|abdicaríeis|abdicavam|abdica|abdiqueis|abdicastes|abdicado|abdicámos|abdicaram|abdicaste|abdicam|abdicáveis|abdiquei|abdiquem|abdicaremos|abdicariam|abdicou|abdico|abdicando|abdicáreis|abdicasse|abdicais|abdicares|abdique|abdicavas|abdicados|abdicai|abdicáramos|abdicásseis|abdicasses|abdicávamos|abdicamos|abdicardes|abdicaras|abdicas|abdicarem|abdiques|abdicada|abdicadas|abdicara|abdicareis|abdicarás|abdiquemos|abdicarmos
abençoar	abençoámos|abençoas|abençoa|abençoávamos|abençoaras|abençoada|abençoáramos|abençoeis|abençoou|abençoaremos|abençoarem|abençoásseis|abençoaríeis|abençoai|abençoará|abençoes|abençoais|abençoarmos|abençoasse|abençoasses|abençoava|abençoaríamos|abençoaram|abençoardes|abençoemos|abençoem|abençoássemos|abençoarei|abençoaste|abençoarás|abençoam|abençoaria|abençoo|abençoei|abençoado|abençoassem|abençoáveis|abençoáreis|abençoarias|abençoariam|abençoastes|abençoando|abençoavam|abençoe|abençoados|abençoavas|abençoara|abençoamos|abençoares|abençoarão|abençoadas|abençoareis
