不	bu4<br><b>no</b> character<br><b>MEANING </b>No, not; un-; negative prefix<br><b>TÊN </b>không<br><b>HÁN VIỆT </b>bất, phầu, phủ, phi<br><b>COMPONENTS </b>不-no sign<br><b>MENMONIC </b>Khi nhìn thấy một biển báo (不) hiển thị rõ ràng thông điệp Không được, chúng ta ngay lập tức hiểu rằng điều đó là 'không' (不) được phép hoặc không thể thực hiện.<br><b>FOUND IN </b>不大 bùdà not very, 不对 bùduì wrong, 不客气 bùkèqì you're welcome, 不用 bùyòng need not, 对不起 duìbuqǐ sorry<br><b>RANK </b>2<br><b>HSK </b>1
了	le5<br><b>did</b> character<br><b>MEANING </b>Finish, particle of completed action<br><b>TÊN </b>làm<br><b>HÁN VIỆT </b>liễu<br><b>COMPONENTS </b>了-armless child<br><b>MENMONIC </b>Tuy không có cánh tay (了), đứa trẻ vẫn kiên trì hoàn thành (了) mọi việc được giao một cách khéo léo và hiệu quả. Mọi nhiệm vụ đều đã xong xuôi, không còn gì phải lo lắng nữa.<br><b>FOUND IN </b>除了 chúle except, 完了 wánle finished, 罢了 bàle that's all, 算了 suànle forget it, 吹了 chuīle fall through<br><b>RANK </b>3<br><b>HSK </b>1
人	ren2<br><b>person</b> character<br><b>MEANING </b>Man, people, mankind, someone else, rad. 9<br><b>TÊN </b>người<br><b>HÁN VIỆT </b>nhân<br><b>COMPONENTS </b>人-person<br><b>MENMONIC </b>Hình dáng đơn giản của một người (人) đang đứng thẳng, với hai chân vững chãi, là biểu tượng mạnh mẽ và dễ nhận biết nhất cho con người (人), đại diện cho mỗi cá nhân trong xã hội chúng ta.<br><b>FOUND IN </b>别人 biérén other people, 病人 bìngrén patient, 工人 gōngrén worker, 家人 jiārén family members, 老人 lǎorén old person<br><b>RANK </b>4<br><b>HSK </b>1
大	da4<br><b>big</b> character<br><b>MEANING </b>Big, great, vast, large, high,<br><b>TÊN </b>to lớn<br><b>HÁN VIỆT </b>đại, thái<br><b>COMPONENTS </b>大-big<br><b>MENMONIC </b>Một người (大) dang rộng vòng tay và chân, tạo thành một hình ảnh khổng lồ, làm cho bản thân trông thật lớn (大) và hùng vĩ, biểu trưng cho sự vĩ đại của mọi thứ.<br><b>FOUND IN </b>不大 bùdà not very, 大家 dàjiā everyone, 大门 dàmén main entrance, 大人 dàrén adult, 大声 dàshēng loud voice<br><b>RANK </b>5<br><b>HSK </b>1
出	chu1<br><b>exit</b> character<br><b>MEANING </b>Go out, send out, stand, produce<br><b>TÊN </b>ra<br><b>HÁN VIỆT </b>xuất, xúy<br><b>COMPONENTS </b>山-mountain<br><b>MENMONIC </b>Để ra ngoài (出) khỏi thung lũng, bạn phải vượt qua hai ngọn núi (山) cao chót vót. Đó là con đường duy nhất để thoát ly khỏi vùng đất này.<br><b>FOUND IN </b>出来 chūlai come out, 出去 chūqu go out, 出门 chūmén go out, 出生 chūshēng born, 出现 chūxiàn appear<br><b>RANK </b>6<br><b>HSK </b>1
也	ye3<br><b>also</b> character<br><b>MEANING </b>Also, classical final particle of strong affirmation or identity<br><b>TÊN </b>Mà còn<br><b>HÁN VIỆT </b>dã<br><b>COMPONENTS </b>也-alligator<br><b>MENMONIC </b>Con cá sấu (也) ẩn mình dưới nước, nó cũng (也) đang kiên nhẫn đợi để săn mồi như những con cá sấu khác trong đầm lầy này.<br><b>FOUND IN </b>也许 yěxǔ perhaps, 也好 yěhǎo also good<br><b>RANK </b>7<br><b>HSK </b>1
子	zi3<br><b>child</b> character<br><b>MEANING </b>Offspring, child, fruit, seed of, 1st terrestrial branch<br><b>TÊN </b>đứa trẻ<br><b>HÁN VIỆT </b>tử, tý<br><b>COMPONENTS </b>子-child<br><b>MENMONIC </b>Đứa trẻ (子) nhỏ bé đang cười đùa vui vẻ trên sân cỏ. Nụ cười hồn nhiên ấy đúng là biểu tượng của một đứa trẻ (子) đáng yêu và ngây thơ.<br><b>FOUND IN </b>包子 bāozi steamed stuffed bun, 杯子 bēizi cup, 本子 běnzi notebook, 儿子 érzi son, 房子 fángzi house<br><b>RANK </b>8<br><b>HSK </b>1
用	yong4<br><b>utilize</b> character<br><b>MEANING </b>Use, employ, apply, operate, use<br><b>TÊN </b>sử dụng<br><b>HÁN VIỆT </b>dụng<br><b>COMPONENTS </b>用-rack<br><b>MENMONIC </b>Cái giá (用) này được thiết kế để treo và sắp xếp đồ đạc một cách gọn gàng. Chúng ta dùng (用) nó rất tiện lợi trong sinh hoạt hằng ngày.<br><b>FOUND IN </b>不用 bùyòng need not, 有用 yǒuyòng useful, 使用 shǐyòng use, 信用卡 xìnyòngkǎ credit card, 作用 zuòyòng effect<br><b>RANK </b>9<br><b>HSK </b>1
行	xing2<br><b>OK</b> character<br><b>MEANING </b>Go, walk, move, travel, circulate<br><b>TÊN </b>ĐƯỢC RỒI<br><b>HÁN VIỆT </b>hành, hạnh, hàng, hạng<br><b>COMPONENTS </b>行-sandals<br><b>MENMONIC </b>Mang đôi dép xăng đan (行) vào chân, tôi cảm thấy sẵn sàng để đi (行) bất cứ đâu. Mọi việc đều ổn và tôi có thể bắt đầu cuộc hành trình.<br><b>FOUND IN </b>不行 bùxíng can't do, 行人 xíngrén pedestrian, 送行 sòngxíng send off<br><b>RANK </b>10<br><b>HSK </b>1
日	ri4<br><b>day</b> character<br><b>MEANING </b>Sun, day, daytime, japan, rad. 72<br><b>TÊN </b>ngày<br><b>HÁN VIỆT </b>nhật<br><b>COMPONENTS </b>日-sun<br><b>MENMONIC </b>Mặt trời (日) tròn và sáng chói lơ lửng trên bầu trời cao, mang lại ánh sáng ấm áp và sự sống cho một ngày (日) mới, xua tan bóng tối và khởi đầu mọi hoạt động.<br><b>FOUND IN </b>日期 rìqī date, 生日 shēngrì birthday, 日日 rìrì daily, 昨日 zuórì yesterday, 节日 jiérì festival day<br><b>RANK </b>11<br><b>HSK </b>1
十	shi2<br><b>ten</b> character<br><b>MEANING </b>Ten, tenth, complete, perfect<br><b>TÊN </b>mười<br><b>HÁN VIỆT </b>thập<br><b>COMPONENTS </b>十-cross<br><b>MENMONIC </b>Dấu thập (十) này không chỉ là một biểu tượng, nó còn biểu thị số mười (十), một con số tròn trịa, hoàn chỉnh, đại diện cho sự đầy đủ và hoàn thiện.<br><b>FOUND IN </b>二十 èrshí twenty, 十八 shíbā eighteen, 六十 liùshí sixty, 十几 shíjǐ more than ten, 十分 shífēn totally<br><b>RANK </b>12<br><b>HSK </b>1
工	gong1<br><b>work</b> character<br><b>MEANING </b>Labor, work, worker, laborer<br><b>TÊN </b>công việc<br><b>HÁN VIỆT </b>công<br><b>COMPONENTS </b>工-cross beam<br><b>MENMONIC </b>Người công nhân (工) đang cẩn thận đặt một thanh xà ngang (工) vào vị trí chính xác để hoàn thành công việc (工) xây dựng của mình, tạo nên một kết cấu vững chắc.<br><b>FOUND IN </b>工人 gōngrén worker, 工作 gōngzuò job, 打工 dǎgōng to work part time, 工厂 gōngchǎng factory, 工具 gōngjù tool<br><b>RANK </b>13<br><b>HSK </b>1
手	shou3<br><b>hand</b> character<br><b>MEANING </b>Hand, person<br><b>TÊN </b>tay<br><b>HÁN VIỆT </b>thủ<br><b>COMPONENTS </b>手-hand<br><b>MENMONIC </b>Bàn tay (手) là một công cụ tuyệt vời và linh hoạt mà tự nhiên ban tặng. Chúng ta dùng bàn tay (手) để làm mọi việc, từ viết lách đến lao động nặng nhọc.<br><b>FOUND IN </b>手机 shǒujī cell phone, 洗手间 xǐshǒujiān restroom, 能手 néngshǒu expert, 左右手 zuǒyòushǒu capable assistant, 举手 jǔshǒu raise a hand<br><b>RANK </b>14<br><b>HSK </b>1
文	wen2<br><b>literature</b> character<br><b>MEANING </b>Literature, culture, writing, sentence<br><b>TÊN </b>văn học<br><b>HÁN VIỆT </b>văn, vấn<br><b>COMPONENTS </b>文-giant<br><b>MENMONIC </b>Người khổng lồ (文) ấy đã để lại một di sản văn học (文) vĩ đại cho nhân loại. Những tác phẩm của ông mang đậm giá trị văn hóa và tư tưởng sâu sắc.<br><b>FOUND IN </b>课文 kèwén lesson text, 中文 zhōngwén Chinese language, 条文 tiáowén clause, 汉文 hànwén Chinese language, 上下文 shàngxiàwén context<br><b>RANK </b>15<br><b>HSK </b>1
二	er4<br><b>two</b> character<br><b>MEANING </b>Two, twice<br><b>TÊN </b>hai<br><b>HÁN VIỆT </b>nhị<br><b>COMPONENTS </b>二-two<br><b>MENMONIC </b>Hai đường kẻ ngang (二) đơn giản và song song xuất hiện rõ ràng, chúng đại diện cho số hai (二), biểu thị sự đối xứng, sự lặp lại hoặc sự hiện diện của hai thực thể riêng biệt.<br><b>FOUND IN </b>二十 èrshí twenty, 一清二楚 yīqīngèrchǔ perfectly clear, 二手 èrshǒu secondhand, 二氧化碳 èryǎnghuàtàn carbon dioxide<br><b>RANK </b>16<br><b>HSK </b>1
西	xi1<br><b>west</b> character<br><b>MEANING </b>West, western, westward, occident, rad. 146<br><b>TÊN </b>phía tây<br><b>HÁN VIỆT </b>tây, tê<br><b>COMPONENTS </b>覀-cowboy<br><b>MENMONIC </b>Người cao bồi (覀) cưỡi ngựa phi nước đại về phía tây (西), nơi mặt trời lặn mỗi chiều. Anh ấy đang tìm kiếm một cuộc phiêu lưu mới tại vùng đất rộng lớn.<br><b>FOUND IN </b>东西 dōngxi thing, 西边 xībiān west side, 西北 xīběi northwest, 西方 xīfāng the West, 西南 xīnán southwest<br><b>RANK </b>17<br><b>HSK </b>1
月	yue4<br><b>month</b> character<br><b>MEANING </b>Moon, month, rad. 74<br><b>TÊN </b>tháng<br><b>HÁN VIỆT </b>nguyệt<br><b>COMPONENTS </b>月-moon<br><b>MENMONIC </b>Trăng (月) tròn vành vạnh chiếu sáng trên trời mỗi tối. Hình ảnh ấy đánh dấu một tháng (月) lại trôi qua, mang theo những kỷ niệm và khởi đầu mới.<br><b>FOUND IN </b>四月 sìyuè April, 一月 yīyuè January, 七月 qīyuè July, 五月 wǔyuè May, 三月 sānyuè March<br><b>RANK </b>18<br><b>HSK </b>1
门	men2<br><b>entrance</b> character<br><b>MEANING </b>Gate, door, entrance, opening<br><b>TÊN </b>cổng vào<br><b>HÁN VIỆT </b>môn<br><b>COMPONENTS </b>门-saloon doors<br><b>MENMONIC </b>Cánh cửa kiểu quán rượu (门) mở ra đầy bí ẩn, dẫn lối vào một lối vào (门) mới. Đằng sau đó là cả một thế giới chờ khám phá và nhiều điều bất ngờ.<br><b>FOUND IN </b>门口 ménkǒu entrance, 门票 ménpiào entrance ticket, 关门 guānmén close, 出门 chūmén go out, 大门 dàmén main entrance<br><b>RANK </b>19<br><b>HSK </b>1
儿	er2<br><b>son</b> character<br><b>MEANING </b>Son, child, oneself, final part, rad. 10<br><b>TÊN </b>con trai<br><b>HÁN VIỆT </b>nhân<br><b>COMPONENTS </b>儿-legs<br><b>MENMONIC </b>Đứa con (儿) nhỏ đang chạy nhảy nô đùa vui vẻ với đôi chân (儿) bé xíu của mình. Dáng vẻ hồn nhiên ấy mang lại niềm vui cho mọi người trong gia đình.<br><b>FOUND IN </b>儿子 érzi son, 那儿 nàer there, 女儿 nǚér daughter, 儿童 értóng children, 幼儿园 yòuéryuán kindergarten<br><b>RANK </b>20<br><b>HSK </b>1
几	ji3<br><b>several</b> character<br><b>MEANING </b>Small table, rad. 16<br><b>TÊN </b>một số<br><b>HÁN VIỆT </b>kỷ<br><b>COMPONENTS </b>几-table<br><b>MENMONIC </b>Một chiếc bàn nhỏ (几) được đặt gọn gàng trong góc phòng. Nó không quá lớn nhưng đủ chỗ cho vài người sử dụng, tạo nên một không gian tiện lợi và ấm cúng.<br><b>FOUND IN </b>十几 shíjǐ more than ten, 几千 jǐqiān thousands<br><b>RANK </b>21<br><b>HSK </b>1
口	kou3<br><b>mouth</b> character<br><b>MEANING </b>Mouth, open end, entrance, gate, rad. 30<br><b>TÊN </b>miệng<br><b>HÁN VIỆT </b>khẩu<br><b>COMPONENTS </b>口-mouth<br><b>MENMONIC </b>Một cái miệng (口) há to, sẵn sàng để nói lên những lời quan trọng, thưởng thức món ăn ngon, hoặc đơn giản là một lối vào nhỏ dẫn đến điều gì đó bí ẩn.<br><b>FOUND IN </b>路口 lùkǒu intersection, 门口 ménkǒu entrance, 口渴 kǒukě thirsty, 山口 shānkǒu mountain pass, 人口 rénkǒu population<br><b>RANK </b>22<br><b>HSK </b>1
女	nü3<br><b>woman</b> character<br><b>MEANING </b>Woman, girl, feminine, rad. 38<br><b>TÊN </b>đàn bà<br><b>HÁN VIỆT </b>nữ, nứ, nhữ<br><b>COMPONENTS </b>女-woman<br><b>MENMONIC </b>Một người phụ nữ (女) đang cúi mình, biểu trưng cho sự dịu dàng và duyên dáng. Cô ấy mang vẻ đẹp của nữ tính, là nguồn sống và sự ấm áp trong gia đình.<br><b>FOUND IN </b>女儿 nǚér daughter, 女朋友 nǚpéngyou girlfriend, 女人 nǚrén woman, 女生 nǚshēng girl, 子女 zǐnǚ children<br><b>RANK </b>23<br><b>HSK </b>1
山	shan1<br><b>mountain</b> character<br><b>MEANING </b>Mountain, hill, peak<br><b>TÊN </b>núi<br><b>HÁN VIỆT </b>san, sơn<br><b>COMPONENTS </b>山-mountain<br><b>MENMONIC </b>Dãy núi (山) sừng sững, với ba đỉnh cao vút chạm tới mây trời xanh thẳm. Nó biểu tượng cho sự vững chãi, uy nghi và vẻ đẹp hùng vĩ của thiên nhiên.<br><b>FOUND IN </b>山口 shānkǒu mountain pass, 上山 shàngshān to climb a mountain, 爬山 páshān hike, 山脚 shānjiǎo foot of the mountain, 山羊 shānyáng goat<br><b>RANK </b>24<br><b>HSK </b>1
马	ma3<br><b>horse</b> character<br><b>MEANING </b>Horse, surname, rad. 187<br><b>TÊN </b>ngựa<br><b>HÁN VIỆT </b>mã<br><b>COMPONENTS </b>马-horse<br><b>MENMONIC </b>Con ngựa (马) đứng hiên ngang, bờm tung bay, sẵn sàng phi nước đại. Sức mạnh và tốc độ của nó khiến người ta nhớ đến sự tự do trên thảo nguyên rộng lớn, không ngừng tiến về phía trước.<br><b>FOUND IN </b>马路 mǎlù street, 马上 mǎshàng immediately, 骑马 qímǎ ride a horse, 马尾 mǎwěi ponytail, 马车 mǎchē horse drawn carriage<br><b>RANK </b>25<br><b>HSK </b>1
五	wu3<br><b>five</b> character<br><b>MEANING </b>Five<br><b>TÊN </b>năm<br><b>HÁN VIỆT </b>ngũ<br><b>COMPONENTS </b>五-five<br><b>MENMONIC </b>Số năm (五) tượng trưng cho ngũ hành hoặc năm giác quan của con người. Nó thể hiện sự cân bằng và hoàn chỉnh, là một con số quan trọng mang nhiều ý nghĩa trong văn hóa.<br><b>FOUND IN </b>五百 wǔbǎi five hundred, 五月 wǔyuè May<br><b>RANK </b>26<br><b>HSK </b>1
书	shu1<br><b>book</b> character<br><b>MEANING </b>Write, book, letter, document, writings<br><b>TÊN </b>sách<br><b>HÁN VIỆT </b>thư<br><b>COMPONENTS </b>书-book<br><b>MENMONIC </b>Cuốn sách (书) mở ra, chứa đựng bao kiến thức và câu chuyện. Mỗi trang giấy như lời mời gọi, khuyến khích chúng ta đọc, viết và khám phá thế giới tri thức vô tận.<br><b>FOUND IN </b>读书 dúshū read, 书包 shūbāo school bag, 书店 shūdiàn bookstore, 图书馆 túshūguǎn library, 书本 shūběn book<br><b>RANK </b>27<br><b>HSK </b>1
非	fei1<br><b>non-</b> character<br><b>MEANING </b>Not, negative, non-, oppose<br><b>TÊN </b>không-<br><b>HÁN VIỆT </b>phi<br><b>COMPONENTS </b>非-prisoner<br><b>MENMONIC </b>Hình ảnh hai bên song cửa nhà tù (非) thể hiện sự từ chối, không chấp nhận. Nó mang ý nghĩa phủ định, biểu thị sự khác biệt hoặc chống đối một quan điểm.<br><b>FOUND IN </b>非常 fēicháng extremely, 非法 fēifǎ illegal, 是非 shìfēi right and wrong<br><b>RANK </b>28<br><b>HSK </b>1
飞	fei1<br><b>fly</b> character<br><b>MEANING </b>Fly, go quickly, dart, high<br><b>TÊN </b>bay<br><b>HÁN VIỆT </b>phi<br><b>COMPONENTS </b>飞-wings<br><b>MENMONIC </b>Đôi cánh (飞) vút bay trên bầu trời xanh thẳm, mang theo khát vọng tự do. Nó tượng trưng cho sự nhanh nhẹn, vượt qua mọi giới hạn để vươn tới những tầm cao mới.<br><b>FOUND IN </b>飞机 fēijī airplane, 飞越 fēiyuè fly across, 飞弹 fēidàn missile, 飞船 fēichuán spaceship, 飞往 fēiwǎng fly toward<br><b>RANK </b>29<br><b>HSK </b>1
干	gan1<br><b>dry</b> character<br><b>MEANING </b>Oppose, offend, invade, dried, seeds, work<br><b>TÊN </b>khô<br><b>HÁN VIỆT </b>can<br><b>COMPONENTS </b>干-syringe<br><b>MENMONIC </b>Chiếc ống tiêm (干) được dùng để tiêm thuốc, một công việc đòi hỏi sự chính xác và cẩn thận. Nó cũng gợi nhớ đến việc làm khô ráo mọi thứ, loại bỏ độ ẩm.<br><b>FOUND IN </b>干净 gānjìng clean, 干杯 gānbēi toast, 饼干 bǐnggān cookie, 干涉 gānshè interfere, 干旱 gānhàn arid<br><b>RANK </b>30<br><b>HSK </b>1
车	che1<br><b>car</b> character<br><b>MEANING </b>Cart, vehicle, carry in cart, machine<br><b>TÊN </b>xe hơi<br><b>HÁN VIỆT </b>xa<br><b>COMPONENTS </b>车-car<br><b>MENMONIC </b>Chiếc xe (车) với bốn bánh và trục ngang, lăn bánh trên đường, đưa con người đi muôn nơi. Nó là biểu tượng của sự di chuyển, kết nối và tiến bộ của xã hội hiện đại.<br><b>FOUND IN </b>车票 chēpiào transport ticket, 车上 chēshàng in the car, 车站 chēzhàn station, 打车 dǎchē take a taxi, 火车 huǒchē train<br><b>RANK </b>31<br><b>HSK </b>1
火	huo3<br><b>fire</b> character<br><b>MEANING </b>Fire, flame, burn, anger, rage<br><b>TÊN </b>ngọn lửa<br><b>HÁN VIỆT </b>hỏa<br><b>COMPONENTS </b>火-fire<br><b>MENMONIC </b>Ngọn lửa (火) bùng cháy mạnh mẽ, mang hơi ấm và ánh sáng xua tan bóng tối. Nó cũng có thể thiêu rụi mọi thứ, tượng trưng cho sức mạnh hủy diệt và niềm đam mê mãnh liệt.<br><b>FOUND IN </b>火车 huǒchē train, 过火 guòhuǒ go too far, 放火 fànghuǒ set on fire, 起火 qǐhuǒ catch fire, 火把 huǒbǎ torch<br><b>RANK </b>32<br><b>HSK </b>1
九	jiu3<br><b>nine</b> character<br><b>MEANING </b>Nine<br><b>TÊN </b>chín<br><b>HÁN VIỆT </b>cửu, cưu<br><b>COMPONENTS </b>九-nine<br><b>MENMONIC </b>Số chín (九) là con số lớn nhất trong các số đơn, thường mang ý nghĩa vĩnh cửu và viên mãn. Nó kết thúc một chu kỳ, chuẩn bị cho một sự khởi đầu mới đầy hy vọng.<br><b>FOUND IN </b>九月 jiǔyuè September, 九千 jiǔqiān nine thousand<br><b>RANK </b>33<br><b>HSK </b>1
