a hàm	Bốn thứ kinh Tiểu thừa bằng tiếng Pali gọi là Tứ A Hàm. Gồm Trường A Hàm, Trung A Hàm, Tăng Nhất A Hàm và Tạp A Hàm.
a la hán	A La Hán là quả vị của Thanh Văn thừa. Tiểu thừa dứt trừ kiến hoặc và tư hoặc của tam giới thì chứng được Hữu Dư Niết Bàn gọi là A La Hán, dịch là Bất Lai, nghĩa là chẳng đến thọ sanh nơi tam giới nữa.
a lại thức	Là thức thứ tám, cũng gọi là Tạng thức, tức là tất cả chủng tử thiện, ác, vô ký, do thức thứ sáu lãnh đạo năm thức trước (nhãn, nhĩ, tỹ, thiệt, thân) làm ra đều chứa trong đó.
a lan nhã	Dịch là chỗ Tịch tịnh (xa lìa náo nhiệt), cũng là chùa nơi Tỳ kheo cư trú.
a ma la thức	Tiếng Hán dịch là Vô cấu, tức là cái thức thanh tịnh vô cấu, cũng gọi là thức thứ chín.
a nậu đa la tam miệu tam bồ đề	A Nậu Đa La dịch là vô thượng, Tam Miệu dịch là chánh đẳng, Tam Bồ Đề dịch là chánh giác. Giác ngộ cuối cùng dịch là Vô thượng chánh đẳng Chánh giác.
a tăng kỳ kiếp	Là số thời gian lâu vô lượng.
a tỳ	Là địa ngục vô gián, tức không có thời gian gián đoạn. Thế giới này hoại thì sang thế giới khác để chịu khổ.
a xà lê	Dịch là thân giáo sư. Có bổn phận dạy đệ tử các thứ giới luật Tỳ kheo, từ xuất gia thọ giới, học kinh, cho đến y chỉ dạy pháp mông tu hành.
a xà thế	Là tên của quốc vương nước Ma Kiệt Đà (thuộc Ấn Độ). Khi Phật trụ thế, làm Thái tử nghe lời bạn ác Đề Bà Đạt Đa nhốt phụ vương và hại Phật. Sau này ăn năn đến Phật sám hối và quy y làm hộ pháp cho Phật giáo rất đắc lực.
ấn chứng	Cũng gọi là truyền Tâm ấn. Ấn là con dấu, chứng là chứng nhận. Tâm của trò đã ngộ rồi nhờ tâm thầy ấn chứng trò ấy đã ngộ.
ba loại thiền	Những pháp thiền nhằm đáp ứng ba loại căn cơ: 1. Như tu Ngũ đình tâm quán, Tứ niệm xứ quán.v.v… Gọi là Tiểu thừa thiền. 2. Như tu Chỉ quán, Pháp giới quán, Duy Thức quán… Gọi là Đại thừa thiền. 3. Tham công án thoại đầu mà phát khởi nghi tình từ nghi đến ngộ chẳng có năng quán sở quán. Gọi là Tổ Sư Thiền.
ba mươi bảy phẩm trợ đạo	Ba mươi bảy phẩm trợ giúp cho người tu đạo Tiểu thừa. Tức là TỨ NIỆM XỨ (quán thân bất tịnh, quán thọ là khổ, quán tâm vô thường, quán pháp vô ngã), TỨ CHÁNH CẦN (ác đã sanh nên dứt, ác chưa sanh không cho sanh, thiện chưa sanh nên sanh, thiện đã sanh khiến cho tăng trưởng), TỨ THẦN TÚC (dục thần túc là thỏa nguyện, cần thần túc là tinh tấn, tâm thần túc là chánh niệm, quán thần túc là bất loạn), NGŨ CĂN (tín căn, tấn căn, niệm căn, định căn và huệ căn). Do năm pháp căn bản này sanh ra Thánh đạo, nên gọi là ngũ căn, NGŨ LỰC (là lực phát xuất từ ngũ căn trên), THẤT BỒ ĐỀ PHẦN (1. chọn pháp, 2. tinh tấn, 3. hỷ, 4. khinh an, 5. niệm, 6. tịnh, 7. xả), BÁT CHÁNH ĐẠO (1. chánh kiến, 2. chánh tư duy, 3. chánh ngữ, 4. chánh nghiệp, 5. chánh mạng, 6. chánh tinh tấn, 7. chánh niệm, 8. chánh định).
bắc câu lư châu	Con người ở châu này, sanh ra liền tự lớn lên, thọ đủ ngàn năm, ăn mặc tự nhiên, phước thọ bình đẳng.
bạch nghiệp	Dù làm thiện mà chẳng cho là thiện, dù không làm ác cũng chẳng cho là không làm ác, thiện ác đều chẳng suy nghĩ, tâm chẳng phân biệt hay dở, tốt xấu… như tờ giấy trắng nên gọi là bạch nghiệp.
bất cộng pháp	Pháp chẳng chung với Tam thừa (như ý thức chẳng thể suy lường, ngôn ngữ chẳng thể diễn tả, là bất cộng pháp).
bát đảo	Tám thứ chấp điên đảo. Chấp có “thường, lạc, ngã, tịnh” là thật có, ấy là bốn thứ điên đảo của phàm phu; chấp không có “thường, lạc, ngã, tịnh” là thật không, ấy là bốn thứ điên đảo của nhị thừa, nói chung là bát đảo.
bất khả tư nghì	Tự tánh vô hình vô thanh, lục căn chẳng thể tiếp xúc, ý thức chẳng thể suy lường, mà diệu dụng vô biên, nên gọi bất khả tư nghì.
bát kỉnh pháp	1. Ni dù trăm hạ cũng phải lễ Tỳ kheo sơ hạ; 2. Không được mắng, báng Tỳ kheo; 3. Không được cử tội Tỳ kheo; 4. NI thọ giới Cụ túc phải thọ với hai bộ Tăng (nam, nữ); 5. Ni phạm tội Tăng tàn phải sám trừ với hai bộ Tăng; 6. Mỗi nửa tháng phải thỉnh cầu Tỳ kheo dạy bảo; 7. Kiết hạ an cư chẳng được cùng chung một chỗ với Tỳ kheo, cũng chẳng được quá xa chỗ ở của Tỳ kheo (đại khái cách 50m); 8. Giải hạ nên cầu Tỳ kheo chứng kiến ba thứ: Kiến, Văn, Nghi, để kiểm thảo. Đây là điều kiện của Phật cho người nữ xuất gia.
bát nhã	Trí huệ của tự tánh (khác với trí huệ của bộ óc) sẵn đầy đủ khắp không gian thời gian, chẳng có thiếu sót, chẳng có chướng ngại, cái dụng tự động chẳng cần tác ý, tùy cơ ứng hiện chẳng sai mảy may.
bất nhị	Cũng là nghĩa vô trụ, chẳng có cái nhị của tương đối mà cũng chẳng phải là một.
bát phong	Là được, mất, khen, chê, vinh, nhục, khổ,vui.
bát xúc	Là tám thứ cảm giác của thân: động, ngứa, nặng, nhẹ, lạnh, ấm, trơn, rít. Thực ra còn nhiều cảm giác như: mềm, cứng, kiến bò, điện giựt, quên thân, bay bổng… đều là quá trình lúc tĩnh tọa thường có.
bế quan bảo nhậm	Bảo nhậm là dứt trừ tập khí thế gian và xuất thế gian dần dần. Ví như nằm mơ khóc chảy nước mắt, khi tĩnh dậy vẫn cần phải lau nước mắt mới sạch được. (Nằm mơ dụ cho mê, tĩnh dậy dụ cho ngộ). Thiền tông nói: “Bất phá trùng quan bất bế quan”, là sau khi ngộ rồi muốn bảo nhậm bổn lai diện mục của tự tánh nên mới cần phải bế quan.
biên kiến	Chấp vào một bên của tương đối, như chấp có, chấp không, chấp thường, chấp đoạn… đều gọi là biên kiến.
bình thường tâm	Bản thể của tự tánh bình thường cùng khắp không gian thời gian, nơi phàm chẳng bớt, nơi Thánh chẳng thêm. Tâm này bình đẳng như thường, chẳng sanh chẳng diệt, chúng sanh y theo tâm này ứng dụng trong cuộc sống hằng ngày, nên gọi bình thường tâm là đạo vậy.
bồ đề	Bản thể tự tâm đầy khắp thời gian không gian, tất cả đều thuộc về chính mình, ngoài tâm chẳng có pháp để đắc, nên giác ngộ cái tâm vô sở đắc, tức là Bồ Đề.
bố tát	Là dịch âm từ tiếng Phạn, nghĩa là một hình thức hội họp. Theo giới luật nhà Phật, mỗi tháng có hai kỳ Bố tát để cử hành việc tụng giới (xưa kia, việc truyền giới cũng trong ngày Bố tát). Trước khi tụng giới phải qua việc tự kiểm thảo, vị Chủ tịch lâm thời hỏi Tăng chúng: “Trong nửa tháng qua, ai có phạm giới phải đứng ra tự bạch và sám hối với chúng?” Hỏi như vậy ba lần, nếu cả chúng im lặng thì tuyên bố: “Tất cả giữ giới trong sạch”, rồi mới bắt đầu tụng giới.
bồ tát	Âm tiếng Phạn là Bồ Đề Tát Đỏa, dịch là Giác hữu tình, có bổn phận khiến cho hữu tình chúng sanh đạt đến giác ngộ.
cảnh giới	Hiện tượng sở thấy và cảm giác trong quá trình tu hành khi chưa ngộ, khi tiểu ngộ, khi đại ngộ.
chân đế	Chân đế của tự tánh siêu việt không gian thời gian và số lượng, chẳng thể diễn tả gọi là Chân đế.
chân như	Chân thật đúng như bản thể Tự tánh.
chánh biến tri	Cái biết cùng khắp không gian thời gian chẳng có năng sở đối đãi, tức là cái biết bản thể Phật tánh, khắp thời gian thì chẳng sanh diệt, gọi là Niết Bàn; khắp không gian thì chẳng khứ lai, gọi là Như Lai.
chánh pháp nhãn tạng	Tạng dụ cho kho tàng, kho này tự tánh sẵn có. Khi hiện cái dụng của chánh pháp nhãn, thì theo căn cơ mà tùy duyên hóa độ mọi chúng sanh, gọi là chánh pháp nhãn tạng.
chứng ngộ	Không cần qua bộ óc suy tư, chỉ giữ nghi tình mà bổng nhiên phát hiện Tự tánh cùng khắp không gian thời gian, gốc nghi chợt dứt, đạt đến tự do tự tại, cũng gọi là kiến tánh.
chủng trí	Chủng tử trí huệ sẵn có trong Tự tánh, nếu được hiện hành thì diệu dụng vô biên, cũng gọi là Nhất thiết chủng trí.
chuyển ngữ	Là lời nói chẳng có sở trụ, chỉ có người kiến tánh mới nói được. Cũng như nói CÓ, ý chẳng phải cho là CÓ, nói KHÔNG, ý chẳng phải cho là KHÔNG, cho đến nói ĐÚNG, ý chẳng phải cho là ĐÚNG, nói SAI, ý chẳng phải cho là SAI…
