A-ba-đà-na	phiên âm từ Phạn ngữ Avadna, một trong Mười hai bộ kinh (Thập nhị bộ kinh), dịch nghĩa là ‘thí dụ’, là những kinh Phật dùng các thí dụ để làm rõ ý nghĩa giáo pháp. Xem thêm Mười hai bộ kinh.
A-ca-ni-trá	phiên âm từ Phạn ngữ Akaniṣṭha, dịch nghĩa là Sắc cứu cánh thiên, cũng gọi là Hữu đỉnh thiên, là cõi trời hữu hình cao nhất trong Tam giới. Cõi trời này cũng gọi là Phi tưởng phi phi tưởng xứ (Naiva-saṃjđnsaṃjđ-yatana) vì những người tu thiền đạt đến mức định Phi tưởng phi phi tưởng thì thần thức có thể đến được cảnh giới này. Chư thiên cư trú ở cõi trời này có tâm thức không phải tưởng cũng chẳng phải không tưởng.
A-chi-la-bà-đề	xem A-lỵ-la-bạt-đề.
A-dật-đa	phiên âm từ Phạn ngữ Ajita, dịch nghĩa là ‘vô năng thắng’, tức là Bồ Tát Di-lặc. Xem Bồ Tát Di-lặc.
A-di-la-bà-để	xem A-lỵ-la-bạt-đề.
A-di-la-bạt-đề	xem A-lỵ-la-bạt-đề.
a-già-đà	phiên âm từ Phạn ngữ agada, cũng đọc là a-kiệt-đà, dịch nghĩa là vô bệnh, bất tử dược hay phổ khử, một loại thần dược có thể phòng ngừa và chữa khỏi nhiều thứ bệnh tật, giải trừ được các loại thuốc độc.
A-hàm	phiên âm từ Phạn ngữ gama, là tên gọi chung các kinh điển thuộc hệ Nguyên thủy, cũng gọi là hệ kinh điển Tiểu thừa, dịch nghĩa là pháp quy (muôn pháp đều theo về), cũng dịch là vô tỷ pháp (pháp không gì sánh bằng). Cả thảy có bốn bộ A-hàm là: 1. Trường A-hàm, 2. Trung A-hàm, 3. Tạp A-hàm, 4. Tăng nhất A-hàm.
a-kiệt-đà	xem a-già-đà.
A-kỳ-đa Sí-xá Khâm-bà-la	phiên âm từ tên Phạn ngữ là Ajita-keśa-kambara, là một trong sáu vị thầy ngoại đạo thời đức Phật. Ngài Huyền Trang dịch nghĩa tên ông này là “Vô Thắng Phát Hạt”.
A-la-hán	xem Bốn quả thánh.
A-la-la	phiên âm từ Phạn ngữ là rḍa-klma, cũng đọc là A-lam, A-lam-ca-lam hay Ca-la-ma, Hán dịch nghĩa là Tự đản hay Giải đãi, là vị tiên nhân mà thái tử Tất-đạt-đa tìm đến tham học trước tiên. Thái tử Tất-đạt-đa đã ở lại chỗ vị này nhiều tháng, sau đó không hài lòng với giáo pháp do ông truyền dạy nên mới từ giã tìm đến chỗ ông Uất-đà-già. Sau khi thành Phật, ngài có ý muốn hóa độ các vị này trước hết, nhưng khi ấy thì các ông đều đã qua đời.
A-lam	xem A-la-la.
A-lam-ca-lam	xem A-la-la.
a-lan-nhã	phiên âm từ Phạn ngữ là Araya, cũng đọc là a-luyện-nhã, dịch nghĩa là không nhàn, nhàn cư, chỉ những nơi trống vắng như mồ mã, đồng hoang, rừng vắng, núi cao... là nơi những bậc xuất gia tu hành quyết chí đi đến để tập trung tu tập thiền định tịch tĩnh, tránh xa mọi sự tranh chấp. Ngoài cách dùng a-lan-nhã xứ để chỉ những nơi như thế, trong kinh luận còn dùng a-lan-nhã pháp và a-lan-nhã hạnh để chỉ pháp tu và công hạnh của những vị này.
A-lợi-bạt-đề	tên một con sông, các kinh sách khác gọi đây là sông Ni-liên hay Ni-liên-thiền, phiên âm từ Phạn ngữ là Nairađjana, cũng đọc là Ni-liên-thiền-na. Đức Phật sau khi từ bỏ pháp tu khổ hạnh đã xuống tắm ở sông này. Kinh Quá khứ hiện tại nhân quả (過去現在因果經), quyển 3 và quyển 4 kể rằng khi ngài xuống sông tắm rửa xong thì do thân thể quá suy nhược nên không thể lên được, liền có chư thiên xuất hiện nâng đỡ ngài lên, sau đó ngài mới thọ nhận bát sữa cúng dường của cô Nan-đà-ba-la (難陀波羅).
a-luyện-nhã	xem a-lan-nhã
A-lỵ-la-bạt-đề	phiên âm từ Phạn ngữ là Ajirvati, cũng đọc là Ê-lan-nhã,  A-di-la-bạt-đề, A-thị-đa-phạt-để, A-di-la-bà-để, A-chi-la-bà-đề, Thi-lạt-noa-phạt-để, dịch nghĩa là “vô thắng”, “hữu kim”, là tên một con sông ở Ấn Độ, gần thành Câu-thi-na, gần bờ sông có mọc rất nhiều cây sa-la. Trong các bản dịch của ngài Pháp Hiển gọi sông này là sông Hy-liên, phiên âm từ Phạn ngữ là Hiraṇyavatỵ.
a-ma-lặc	phiên âm từ Phạn ngữ là mra, cũng đọc là a-mạt-la (阿末羅), am-la, yểm-ma-la, là tên một loại trái cây giống như trái hồ đào, vị chua và ngọt, có thể dùng làm thuốc.
a-mật-lý-đa	xem cam lộ.
A-na-bà-đạp-đa	tên suối và tên một hồ lớn thường được nhắc đến trong nhiều kinh luận, nằm trên đỉnh núi Hy-mã-lạp. A-na-bà-đạp-đa được phiên âm từ tiếng Phạn là Anavatapta, cũng đọc là A-nậu-đạt, dịch nghĩa là Vô nhiệt hay Vô não nhiệt.
A-na-bân-để	(阿那邠坻), phiên âm từ Phạn ngữ Antapindika, tên một tinh xá lớn thời đức Phật, thường gọi là tinh xá Kỳ Viên, cũng gọi là Kỳ thọ Cấp Cô Độc viên, một trong các trú xứ lớn của chư tăng vào thời đức Phật, tên Phạn ngữ đầy đủ là Jetavana-anthapiṇḍasyrma. Xem Tinh xá Kỳ-hoàn.
