Tứ xứ	四處 [ja] シショ shisho ||| (1) The four great locations of Śākyamuni's religious career: his birthplace at Lumbini;Magadha, the place of his enlightenment; the Deer Park at Bārāṇasī, where he preached his first sermon and Hiranyavati in Kuśinagara, where he entered nirvāna. (2) The four practices of wisdom, truth, detachment and equanimity. => Có 2 nghĩa: 1. Bốn vị trí lớn trong đời sống tu hành của Đức Phật Thích Ca Mâu Ni: nơi sinh ại vườn Lâm-tì-ni; Ma-kiệt-đà, nơi thành đạo; Lộc Uyển ở Ba-la-nại, nơi Ngài thuyết pháp lần đầu tiên và Hiranyavati ở thành Câu-thi-na, nơi ngài nhập niết-bàn. 2. Bốn pháp tu tập: trí huệ, chân thật, xả ly và an tĩnh.
Ác đạo 惡道	[ja] アクドウ akudō ||| Same as 惡趣.   - => Đồng nghĩa với Ác thú惡趣. -
Ác kiến 惡見	[ja] アッケン akken ||| (dṛṣṭi) 'wrong view.' One of the six primary defilements in the doctrine of the Yogācāra school 瑜伽行派. This primary defilement is a stored knowledge that arises from a misconception of the real characteristic of existence, that is, that it possesses an inherent self-nature. Also a reference to the "five evil views" 五惡見.  - => (s: dṛṣṭi) 'quan niệm sai lầm'. Một trong sáu phiền não căn bản thuộc giáo lý Du-già hành tông. Phiền não căn bản này là tri thức phân biệt tích tập khiến khởi phát nhận thức sai lầm về thực tính của hiện hữu, đó là, thấy vạn vật có tự tính. Còn có thể xem mục từ Ngũ ác kiến 五惡見.
Ác nghiệp 惡業	- [ja] アクゴウ akugō ||| Evil karma. Evil deeds, as opposed to good deeds . Evil conduct of word, thought and deed, which leads to evil retribution. There are ten of these--see 十惡.  - => Việc xấu, hành vi xấu ác, ngược với việc thiện. Hành vi ác gây ra bởi lời nói, ý nghĩ, và hành động, đưa đến kết quả xấu. Có tất cả 10 loại ác nghiệp. Xem Thập ác十惡.
Ác tác 惡作	- [ja] アクサ、オサ akusa, osa ||| The feeling of remorse or repentance that arises in one's mind subsequent to the realization of having committed an evil act. (duṣkṛta) (2) In Consciousness-only, this is a technical term for a specific mental function, one of the indeterminate ground dharmas (不定地法), the awareness that one has committed a misdeed and a concomitant feeling of repentance (kaukṛtya)  - => 1. Tâm trạng ăn năn hay hối lỗi sinh khởi trong tâm mình sau khi nhận ra mình đã phạm phải việc xấu (s: duṣkṛta) .  - 2. Theo giáo lý Duy thức, đây là một thuật ngữ chuyên môn về một tâm sở pháp đặc biệt, là một trong các Bất định địa pháp, là ý thức của người khi phạm lỗi lầm liền có tâm trạng ăn năn (s: kaukṛtya).
Ác thú 惡趣	- [ja] アクシュ akushu ||| Evil destiny; evil rebirth (durgati, apāya). The existence a living being experiences as a result of evil activity in the present lifetime, which is characterized by delusion and suffering. Refers to the three evil destinies 三惡道 of
Ác 惡	- [ja] アク aku, o ||| (1) [e, o, ak, aku] Evil, bad, wrong, vice, wickedness (pāpa). Immoral, malicious, injurious, detrimental. (2) [wu, o] To dislike, hate, detest. (3) Where? How? In what? Interjection.  - => 1. Xấu, tội lỗi, sai trái, nhược điểm,
Ái bất ái 愛不愛	[ja] アイフアイ ai fuai ||| That which is liked and that which is disliked; the agreeable and the disagreeable. 〔瑜伽論 T 1579.30.305b5〕  - => Thích và không thích, thương và ghét.
Ái biệt ly khổ 愛別離苦	[ja] アイベツリク aibetsuriku ||| The suffering experienced when we are separated from the persons and things which we love. This is one of the "four and eight kinds of suffering" (四苦八苦) taught by Śākyamuni in his first exposition of the Four Noble Truths 四諦. (priya viprayoga duḥkha) 〔瑜伽論T 1579.30.289b〕  - => Sự đau khổ khi bị cách biệt người hay điều mình thích. Là một trong Tứ khổ và Bát khổ 四苦八苦được Đức Phật Thích-ca Mâu-ni giảng trong thời pháp đầu tiên là Tứ diệu đế (s: priya viprayoga duḥkha).
Ái biệt ly 愛別離	[ja] アイベツリ aibetsuri ||| To be separated from the things that one loves. (priya-viyoga)  - => Phải xa rời điều mình ưa thích (s: priya-viyoga).
Ái dục 愛欲	[ja] アイヨク aiyoku ||| "Attachment and desire." The strong attachment and craving that people experience in life, such as for spouse and chīdren, etc. kāma, icchā. The entrapment of the five sense organs by external objects. (3) Delusion, deluded activity. tṛṣṇā (4) To be addicted to sex. maithuna (5) Defilement, affliction. kleśa  - => 1. Sự tham muốn và đắm chấp mạnh nhất trong đời sống mà con người trải qua, như vợ chồng, con cái v.v... (s: kāma, icchā).  - 2. Sự đánh bẫy của năm giác quan do cảnh trần.  - 3. Đam mê hư vọng (s: tṛṣṇā).  - 4. Đam mê tình dục, phạm sắc giới. (s: maithuna).  - 5. Phiền não, nhiễm ô (s: kleśa).  -
Ái khuể 愛恚	[ja] アイイ aii ||| The two afflictions of attachment and aversion, or craving and anger. 〔二障義 HPC 1.791b13〕  - => Hai món phiền não chấp trước và sân hận, hoặc tham và giận.
Ái kiến	愛見  - [ja] アイケン aiken ||| Attachment (or desire) and views. The former is an emotive affliction, while the later is a perceptual affliction. The Mahāprajñāpāramitā-śāstra explains these two categories in depth. Also called 愛著二法 and 愛見二行.  - => Ái và Kiến. Ái là phiền não thuộc về tình cảm, Kiến là phiền não thuộc về tri giác. Đại Trí độ luận giải thích hai mục này rất sâu. Còn gọi là Ái trước nhị pháp 愛著二法và Ái kiến nhị hành愛見二行.
Ai mẫn 哀愍	- [ja] アイミン aimin ||| Pity, compassion, sympathy, sorrow (Skt. karṇāyamāna). 〔法華經 T 262.9.21a3〕  - => Lòng thương xót, lòng trắc ẩn, niềm thông cảm, mối thương cảm (Skt. karṇāyamāna).  -
Ái ngữ 愛語	[ja] アイゴ aigo ||| Kind words; loving words (Skt. priya-ākhyāna; Tib. sñan par smra ba). One of four methods that bodhisattvas employ to approach and save people 四攝法.  - => Lời nói từ hoà, lời nói yêu thương (s: priya-ākhyāna; Tib. sñan par smra ba). Là một trong bốn phương pháp mà hàng Bồ-tát áp dụng để thân cận và cứu độ chúng sinh (Một trong Tứ nhiếp pháp四攝法).
Ái nhiễm 愛染	[ja]アイゼン aizen ||| To be caught by desire/attachment (āmiṣa, saṃrakta; Tib. kun tu chags pa, zang zing dang bcas pa).  - => Bị lôi cuốn vào sự tham muốn, chấp giữ.  -
Ái phi ái 愛非愛	[ja] アイヒアイ ai hiai ||| Likes and dislikes; the agreeable and the disagreeable (s: iṣṭa-aniṣṭa). 〔瑜伽論 T 1579.30.324a22〕  - => Thương và ghét, dễ chịu và gay gắt.
Ái tâm 愛心	[ja] アイシン aishin ||| The mind of desire and attachment.  - => Tâm tham muốn và chấp trước.  -
Ai thán 哀歎	[ja] アイタン aitan ||| Sadness, mournfulness.  - => Buồn đau, sự thê lương.  -
Ái thủ 愛取	[ja] アイシュ aishu ||| Grasping; love and attachment.〔瑜伽論T 1579.30.612b07. "當知有支即此所攝復次十二支中二業所攝 謂行及有三煩惱攝 謂無明愛取。當知所餘皆事所攝。"〕  - => Đắm chấp. Yêu thích và chấp giữ. “Đương tri hữu chi tức thử sở nhiếp, phục thứ thập nhị chi trung nhị nghiệp sở nhiếp vị hành cập hữu tam phiền não nhiếp vị vô minh ái thủ. Đương tri sở dư giai sự sở nhiếp”. "當知有支即此所攝復次十二支中二業所攝 謂行及有三煩惱攝 謂無明愛取。當知所餘皆事所攝". (Du-già sư địa luận 瑜伽論).
Ái tích 愛惜	[ja] アイシャク、アイセキ aishaku, aiseki ||| (1) Sorrow of parting; to be reluctant to separate. (2) Jealousy, envy.  - => 1. Tiếc vì phải xa lìa; bất đắc dĩ phải tách rời.  -  2. Tính đố kỵ, lòng ghen tức.
