1250 đệ tử	1250 disciples Gồm: - 4 nhóm chánh: 500 người là thầy trò Ưu lâu tần loa Ca Diếp, 250 người thầy trò Na đề Ca Diếp, 250 người thầy trò Già Da Ca Diếp và 250 người nữa là thầy trò Xá lợi Phất và Mục kiền Liên. Khi Phật ngự tới đâu thường có 1250 đệ tử nay theo hầu. - Ngoài ra Phật con có nhiều đệ tử khác nữa như: 500 đệ tử ở thành Ba la nại, những người trong dòng họ Thích, những Tỳ kheo ni,...
a bà bà địa ngục	Xem A la la địa ngục.
a bà đa na	Xem Thí dụ.
a bà dựng ca la	Abhayaṃkara (S)Ly bố uý địa.Tên một vị Như Lai hay một cõi giới.
a ba hội	Xem Cực quang tịnh thiên.
a bà lư cát dế xá bà la	Xem Quán Thế Âm Bồ tát.
a ba tất ma la	Apasmāra (S)Một trong Thập ngũ quỷ thần thường não loạn trẻ em.
a ba thoại	Xem Cực quang tịnh thiên.
a ban thủ ý	Ānāpanasati (P), Ānāprānasmṛti (S)Quán niệm hơi thở.
a bệ bạt trí	Xem Bất thoái.
a bệ bạt trí bồ tát	Xem Bất Thối Bồ tát.
a cá ni trá	Xem Sắc cứu cánh thiên.
a ca ni trá thiên	Xem Sắc cứu cánh thiên.
a chất	Xem A xà Thế.
a chất mục đa	Atimuktaka (S)Một loại hoa cõi trời.
a da cát lị bà	Xem Mã đầu quan âm Bồ tát.
a da luận	Ayur-śāstra (S)Vệ đà.A da yết lị bà Xem Mã đầu quan âm Bồ tát.
a đà na thức	Ādāna-vijāna (S), Ādāna-viāna (P)Chấp trì thức, A lại da thức= A lại da thức.
a dật đa	Ajeyya (P), Ajita (S), Ajeyya (P), Ajjeyya (P)Vô năng Thắng, A thị đa, Di Lặc1- Tên tự của Di Lặc Bồ tát. 2- Một trong 16 vị A la hán vâng lời Phật dạy trụ ở thế gian giữ gìn chánh pháp.
a dật đa bồ tát	Ajita Bodhisattva (S)Tên một vị Phật hay Như Lai.
a đề bạt trí	Xem Bất thoái chuyển.
a đề phật	Xem Tối thắng Phật.
a đề phật đà	Xem Tối thắng Phật.
a di đà cổ âm thanh vương đà la ni kinh	Amita-dundubhi-svararāja-dhāraṇī sūtra (S)Cổ âm thanh vương kinhTên một bộ kinh.
a di đà kinh	Aparinitayus sūtra (S), , Amitakyo (J), Amitabha SutraA di đà Tam-da-tam Phật-tát-lâu-Phật-đàn quá độ nhân đạo KinhTên một bộ kinh. Đại Chánh Tạng, tập 12, Bộ A di đà Kinh, 2 quyền.
a di đà phật	Amitābha (S), Buddha of boundless light and life, Amida (J), Amita, Amitabutsu (J), Amida butsu (J), Amitayus (S) , Amida Buddha Vô lượng quang Phật, Tây Phật.- A di đà Phật có 3 tên gọi: Vô lượng quang Phật, Vô lượng Thọ Phật, Cam lộ Vương Như Lai. - Ngoài ra còn có 13 danh hiệu khác: Bất đoạn quang Phật, Diệm quang Phật, Hoan Hỷ Quang Phật, Nan Tư Quang Phật, Siêu Nhật Nguyệt Quang Phật, Diêm vương quang Phật, Vô lượng thọ Phật, Vô ngại quang Phật, Vô Xưng Quang Phật, Vô biên Quang Phật, Vô Đối Quang Phật, Thanh Tịnh Quang Phật, Trí Huệ Quang Phật đều là những hoá thân khác của Phật A di đà. - A di đà Phật ngự phương tây Mạn đà la, tượng trưng Diệu quan sát trí. Da màu đỏ. Quan thế âm Bồ tát và Đại thế chí Bồ tát là hai vị Bồ tát thường được nêu lên chung với Phật A di đà. Theo Tịnh độ tông Trung quốc và Nhật bản, Phật A di đà là trung gian giữa chân lý tuyệt đối và con người, tin tưởng theo A di đà chắc chắn sẽ được vãng sanh vào thiên đường. Theo giáo lý, Phật A di đà chính là tự tính tâm, vãng sanh vào nước tịnh độ chính là sự tỉnh thức bồ đề tâm trong bản thân. Vào thế kỷ thứ 7, ở Trung quốchình ảnh Phật A di đà đã thay thế hẳn Phật Thích ca và Phật Di lặc.
a di đà tam-da-tam phật-tát-lâu-phật-đàn quá độ nhân đạo kinh	Xem A di đà Kinh.
a di đà tam muội	Amida-samādhi (J), Amitābha-samādhi (S).
a điên ca	Xem Nhứt điên ca.
a du ca	Xem Vô Ưu.
a du già thụ	Xem cây vô ưu.
a dục vương	Aśoka (S), Asoka (P)1- Theo sử ghi trên đá trong xứ của ngài, lên ngôi năm 273BC, thì ngài được tôn vương năm 268 BC, qui y Phật năm 261 BC, thọ Tỳ kheo năm 259BC. Ngài mở đại hội kết tập thứ nhất, ở ngôi 37 năm, tịch năm 256 BC. 2- Hoa Vô Ưu: Hoa A du ca, A thúc ca. Hoa được người Ấn độ ăn hay dâng cúng thần Siva. 3- Vị thị giả Phật Tỳ bà Thi, dịch là: A thúc Ca, Vô Ưu tử Phương Ưng.
a dục vương sơn	Aikuōzan (J), Ayuwang-shan (C).
a dục vương truyện	Aśokāvadāna-mālā (S), Legends of King Asoka.
a duy việt trí	Xem Bất thoái chuyển, Xem Bất thoái chuyển chính đạo
a già đàm ma văn đồ	Xem Thánh pháp ấn kinh.
a già la	Xem Bất động Tôn Bồ tát.
a hàm	Nikāya (P)Thánh điển Ngũ bộ, Kinh bộ Pali, Bộ tập, Bộ pháiChỉ kinh điển Phật giáo bằng tiếng Pali.
a hàm kinh	Āgama sūtra (P).
a kì ni	Xem hỏa thần.
a kỳ đa kê sa khâm bà lị	Xem A kỳ đa Sí xá khâm bà la.
a kỳ đa kỳ xá khâm bà la	, Ajita Kesa-kambaṃli (P).
a kỳ đa sí xá khâm bà la	Ajita Keśakambalī (S), Ajita Kesakambala (P)A kỳ đa Kê Sa Khâm Bà Lị.
a la hán a la hán	Arhat (S), Arhat (S), Arahant (P), dgra com pa (T)Đấng Ứng cúngLà quả vị của người chứng đắc đã thoát ly khỏi vòng luân hồi sanh tử. Quả vị này là mục tiêu của Phật giáo nguyên thuỷ.
a la hán đạo	Arahat-magga (P), Path of Holiness.
a la hán quả	Arhatship, Sainthood.
a la la	Xem Uất đà ca la la.
a la lá	Arata-Kalama (S).
a la la địa ngục	Alala (S), Apapa (S)A bà bà địa ngục.
a la ra ca lam	Xem Uất đà ca la la.
a la thuyết bộ	Xem Tây sơn trụ bộ.
a lại da thức	Ālaya viāṇa (P), kūn shi nam she (T), Ālaya vijāna (S), Ālaya (S), Alaya consciousnessHàm tàng thức, Tàng thức, Bản thức, Chấp trì thức, Chủng tử thức, dị thục thức, đệ bát thức, đệ nhất thức, hiện thức, sở tri y, trạch thức, Vô cấu thức, Vô một thức, A lị da thức, Tạng, TàngThức thứ tám của con người nơi tàng trữ nghiệp báo. Con người có 8 thức: nhãn, nhĩ, tỷ, thiệt, thân, ý, mạt na thức, a lại da thức. Nơi tàng chứa tất cả chủng tử thiện, ác, vô ký, do thức thứ sáu lãnh đạo, năm thức trước (nhãn, nhĩ, tỷ, thiệt, thân) tạo tác. Xem Dị thục thức. Xem A đà na thức
a lam	Xem Uất đà ca la la.
a lan nhã	Araa (P), Forest, Āraṇya (S), Āranya (S), Arinya (S), Araakanga (P), Araa (P), Remote place Không nhàn xứ, Nhàn cư xứ, A lan nhã xứ, Nhàn xứ, Lan nhã, Sâm lâm thư, Nơi hoang dã.
a lan nhã xứ	Xem A luyện nhã, A lan nhã
a lê da	Xem Tôn giả.
a lê thọ	Xem Hương cúc.
a lị da thức	Xem A lại da thức.
a lị sa kệ	Xem Tự nhiên thành tựu chơn ngôn.
a ly bạt đề	Airavati (P).
a lỵ la bạt đề	Xem Ê lan nhã.
a ma đề bồ tát	Abhetti (S), Abhetri A ma lai Quán tự tại Bồ tát, Khoan Quảng Bồ tát, Vô Uý Bồ tátTên gọi khác của Bồ tát Quán Âm.
a ma la	Xem Vô cấu.
a ma la quốc	Xem La Ma quốc.
a ma lai quán tự tại bồ tát	Xem A ma đề Bồ tát.
a ma yết đà	Xem Vô hại độc.
a mạt la thức	Xem Vô cấu thức.
a mật rị đa	Xem Cam lộ.
a một la lâm	Xem Am một la.
