躄	[tích] ① Khoèo cả hai chân gọi là tích 躄, khoèo một chân gọi là bả 跛 (có chỗ đọc là bí).
躃	[tích] ① Cùng nghĩa với chữ tích 躄.
躁	[táo] ① Vội tiến, xao động, tính nóng nảy gọi là táo. Như phù táo 浮躁, táo bạo 躁暴, giới kiêu giới táo 戒驕戒躁 chớ kiêu căng nóng nảy.
蹰	[trù] ① Tục dùng như chữ 躕.
贏	[doanh] ① Thừa thãi, kiếm được lời nhiều gọi là doanh. ② Được, đánh bạc được gọi là doanh 贏, thua gọi là thâu 輸. Doanh đắc quỷ đầu mãn nang khẩu 贏得鬼頭滿囊口 (Nguyễn Du 阮攸) kiếm được tiền nhét đầy túi. ③ Chậm trễ. ④ Quá. ⑤ Sáng tỏ.
贍	[thiệm] ① Cấp giúp. ② Phong phú, văn từ có vẻ dồi dào, điển lệ gọi là thiệm phú 贍富 hay phú cai 富該. ③ Đủ.
譱	[thiện] ① Nguyên là chữ thiện 善.
議	[nghị] ① Bàn, bàn về sự lí để phân biệt phải trái gọi là luận 論, bàn về sự lí để định việc nên hay không gọi là nghị 議. Như hội nghị 會議 họp bàn, quyết nghị 決議 bàn cho quyết xong để thi hành. ② Một lối văn, như tấu nghị 奏議 sớ tâu vua và bàn các chánh sách hay dở thế nào. ③ Chê. Như thiên hạ hữu đạo, tắc thứ nhân bất nghị 天下有道則庶人不議 thiên hạ có đạo thì kẻ thứ nhân không chê. ④ Kén chọn.
譬	[thí] ① Ví dụ. ② Hiểu rõ. ③ Ví như.
譫	[chiêm, thiềm] ① Nói mê, nói sảng. Ta quen đọc là thiềm.
警	[cảnh] ① Răn bảo, lấy lời nói ghê gớm khiến cho người phải chú ý nghe gọi là cảnh. Như cảnh chúng 警眾 răn bảo mọi người. Vì thế nên báo cáo những tin nguy biến ngoài biên thùy gọi là cảnh. ② Phòng bị trước. Ngày xưa vua đi ra đều cấm không cho ai đi lại để phòng sự phi thường gọi là cảnh tất 警蹕. Nay các nơi đặt tuần phu hay đội xếp để phòng bị sự xảy ra cũng gọi là cảnh cả. Như tuần cảnh 巡警, cảnh sát 警察, v.v. ③ Đánh thức. ④ Nhanh nhẹn. ⑤ Kinh hãi.
譟	[táo] ① Reo rầm rầm, nhiều tiếng reo hò gọi là táo. ② Chê trách.
