episome	episomes
nasal	nasals
deciliter	deciliters
recrudesce	recrudesced|recrudesces|recrudescing
kitty	kitties
sorrow	sorrowed|sorrows|sorrowing
retool	retooling|retooled|retools
mature	matured|matures|maturing
bombard	bombarded|bombarding|bombards
copse	copses|copsing
stowaway	stowaways
diaper	diapering|diapered|diapers
chickweed	chickweeds
neighbouring	neighboured|neighbour|neighbours
alga	algas|algae
highlight	highlighted|highlights|highlighting
borage	borages
invert	inverting|inverts|inverted
overspread	overspreading|overspreads
polymerize	polymerizing|polymerizes|polymerized
stable	stables|stabled|stabling
enchondroma	enchondromas
cuddle	cuddled|cuddling|cuddles
meanderings	meandering
underclothed	underclothing|underclothes|underclothe
nighty	nighties
ensphere	enspheres|ensphered|ensphering
overfeeding	overfeeds|overfeed|overfed
bags	bagged|bagging|bag
jonah	jonahs
preamble	preambles|preambled|preambling
laundromat	laundromats
prepackaged	prepackaging|prepackage|prepackages
redemption	redemptions
nauseate	nauseates|nauseating|nauseated
outland	outlands
inflowing	inflow|inflows
rock	rocking|rocks|rocked
allocation	allocations
dismember	dismembered|dismembers|dismembering
outflank	outflanking|outflanked|outflanks
deformation	deformations
whacker	whackers
enfeoff	enfeoffed|enfeoffing|enfeoffs
stiletto	stilettos|stilettoing|stilettoed|stilettoes
hydrometer	hydrometers
godmother	godmothers
waterer	waterers
dementia	dementias
frank	franked|franking|franks
braider	braiders
matri	matris
joust	jousts|jousting|jousted
porcupine	porcupines
litany	litanies
dilate	dilating|dilated|dilates
tutoress	tutoresses
cope	copes|coped|coping
reprise	reprises|reprising|reprised
anticipation	anticipations
transporter	transporters
scunner	scunnered|scunners|scunnering
crunode	crunodes
unforbid	unforbidding|unforbidded
gush	gushing|gushed|gushes
rose	risen|rise|rising|roses|rises
ungird	ungirded|ungirding|ungirds
adenoids	adenoid
profaner	profaners
unfasten	unfastens|unfastened|unfastening
cusk	cusks
megadeath	megadeaths
lauan	lauans
unstuck	unsticking|unsticks|unstick
spotlight	spotlights
skua	skuas
catling	catlings
economies	economy
assorter	assorters
chancellor	chancellors
formalism	formalisms
aerodrome	aerodromes
timber	timbered|timbering|timbers
vetch	vetches
outbar	outbarred|outbarring
powder	powdering|powdered|powders
pinkie	pinkies
fraying	frayings|frayed|frays|fray
scrapper	scrappers
museum	museums
ruby	rubies|rubying|rubied
hellene	hellenes
verbify	verbifying|verbified|verbifies
