一	nhất
丁	đinh|chênh
七	thất
万	vạn|mặc
丈	trượng
三	tam|tám
上	thượng|thướng
下	hạ|há
不	bất|phầu|phủ|phi
与	dữ
丐	cái
丑	sửu
且	thả|thư
丕	phi
世	thế
丘	khâu|khiêu
丙	bính
业	nghiệp
丛	tùng
东	đông
丝	ti
丞	thừa|chưng
丟	đâu
両	lạng
丢	đâu
丣	dậu
两	lạng
严	nghiêm
並	tịnh
丧	tang|táng
丨	cổn
个	cá
丫	nha
中	trung|trúng
丯	phong
丰	phong
丱	quán
串	xuyến
临	lâm|lấm
丶	chủ
丸	hoàn
丹	đan
为	vi
主	chủ
丽	lệ|ly
举	cử
丿	phiệt|triệt
乀	phật
乂	nghệ
乃	nãi|ái
久	cửu
乆	cửu
义	nghĩa
之	chi
乌	ô
乍	sạ
乎	hồ|hô
乏	phạp
乐	nhạc|lạc|nhạo
乔	kiều
乖	quai
乘	thừa|thặng
乙	ất
九	cửu|cưu
乞	khất|khí
也	dã
习	tập
乡	hương
书	thư
乩	kê
买	mãi
乱	loạn
乳	nhũ
乾	kiền|can
亂	loạn
亅	quyết
了	liễu
予	dư|dữ
争	tranh|tránh
事	sự
二	nhị
亍	xúc
于	vu|hu
亏	khuy
云	vân
互	hỗ
五	ngũ
井	tỉnh
亘	tuyên|hoàn
亙	cắng
亚	á
些	ta|tá
亞	á
亟	cức|khí
亠	đầu
亡	vong|vô
亢	kháng|cang|cương
交	giao
亥	hợi
亦	diệc
产	sản
亨	hanh|hưởng|phanh
亩	mẫu
享	hưởng
京	kinh
亭	đình
亮	lượng
亯	hanh</h4> anh [heng1] Cũng như chữ hanh 亨. 
亲	thân|thấn
亳	bạc
亵	tiết
亶	đản
亹	vỉ|mên|môn
人	nhân
亿	ức
什	thập
仁	nhân
仃	đinh
仄	trắc
仅	cận
仆	phó
仇	cừu
今	kim
介	giới
仌	băng
仍	nhưng
从	tòng
仑	lôn
仓	thương|thảng
仔	tử|tể
仕	sĩ
他	tha
仗	trượng
付	phó
仙	tiên
仝	đồng
仞	nhận
仟	thiên
仡	ngật
代	đại (5 n)
令	lệnh|linh
以	dĩ
仪	nghi
们	môn
仰	ngưỡng|nhạng
仲	trọng
仳	tỷ
仵	ngỗ
件	kiện
价	giới
任	nhâm|nhậm
份	phân
仿	phảng|phỏng
企	xí
伃	dư
伉	kháng
伊	y
伋	cấp
伍	ngũ
伎	kỹ
伏	phục
伐	phạt
休	hưu
伕	phu
众	chúng
优	ưu
伙	hỏa
会	hội|cối
伛	ủ
伞	tản
伟	vĩ
传	truyện|truyền|truyến
伤	thương
伥	trành
伦	luân
伧	sanh
伫	trữ
伯	bá
估	cổ
伱	nễ
伴	bạn
伶	linh
伸	thân
伺	tý|tứ
伻	bình
似	tự
伽	già
佃	điền
但	đãn
佇	trữ
佈	bố
佋	thiệu
位	vị
低	đê
住	trụ
佐	tá
佑	hữu
体	thể
佔	chiêm|chiếm
何	hà
佗	đà|tha
佘	xà
余	dư
佚	dật
佛	phật
作	tác
佞	nịnh
佟	đông
佥	thiêm
佩	bội
佯	dương
佰	bách
佳	giai
佻	điêu|điệu|diêu
佽	thứ
佾	dật
使	sử|sứ
侃	khản
侄	chất
來	lai|lãi
侈	xỉ
例	lệ
侌	âm
侍	thị
侏	chu
侑	hựu
侔	mâu
侖	lôn
侗	đồng|thống
侘	sá
侚	tuẫn
供	cung
依	y|ỷ
侠	hiệp
侣	lữ
侥	nghiêu
侦	trinh
侧	trắc
侨	kiều
侩	quái
侪	sài
侬	nông
侮	vũ
侯	hầu
侵	xâm
侶	lữ
侷	cục
便	tiện
係	hệ
促	xúc
俄	nga
俊	tuấn
俎	trở
俏	tiếu
俐	lị
俑	dũng
俗	tục
俘	phu
俚	lý
俛	phủ|miễn
保	bảo
俞	du
俟	sĩ
俠	hiệp
信	tín
俦	trù
俨	nghiễm
俩	lưỡng
俪	lệ
俭	kiệm
修	tu
俯	phủ
俱	câu
俳	bài
俵	biểu
俶	thục|thích
俸	bổng
俺	yêm
俾	tỉ
倀	trành
倂	tính
倅	thối|tốt
倆	lưỡng
倉	thương|thảng
個	cá
倌	quan
倍	bội
倏	thúc
們	môn
倒	đảo
倔	quật
倖	hãnh
倘	thảng
候	hậu
倚	ỷ
倜	thích
借	tá
倡	xướng|xương
倢	tiệp (10 n)
倣	phỏng
値	trị
倥	không
倦	quyện
倨	cứ
倩	thiến|sai
倪	nghê
倫	luân
倬	trác
倭	uy|oa|nụy
倮	khỏa
债	trái
倾	khuynh
偃	yển
假	giả|giá
偈	kệ
偉	vĩ
偋	bình
偌	nhạ
偎	ôi
偏	thiên
偕	giai (11 n)
做	tố
停	đình
健	kiện
偪	bức
偭	mạn
偲	ti|tai
側	trắc
偵	trinh
偶	ngẫu
偷	thâu
偹	bị
偻	lũ
偾	phẫn
偿	thường
傀	khôi
傅	phó|phụ
傍	bàng|bạng
傎	điên
傑	kiệt
傒	hề
傔	khiểm
傖	sanh
傘	tản
備	bị
傚	hiệu
傢	gia
傥	thảng
傧	tấn
傩	na
催	thôi
傭	dong
傲	ngạo
傳	truyện|truyền|truyến
傴	ủ
