// Radical name dictionary (v0.9)
偏旁	piānpáng	RADICALS HOMEPAGE①⼀ · ⼁ · ⼂ · ⼃ · ⼄ · ⼅②⼆ · ⼇ · ⼈ · ⼉ · ⼊ · ⼋ · ⼌ · ⼍ · ⼎ · ⼏ · ⼐ · ⼑ · ⼒ · ⼓ · ⼔ · ⼕ · ⼖ · ⼗ · ⼘ · ⼙ · ⼚ · ⼛ · ⼜③⼝ · ⼞ · ⼟ · ⼠ · ⼡ · ⼢ · ⼣ · ⼤ · ⼥ · ⼦ · ⼧ · ⼨ · ⼩ · ⼪ · ⼫ · ⼬ · ⼭ · ⼮ · ⼯ · ⼰ · ⼱ · ⼲ · ⼳ · ⼴ · ⼵ · ⼶ · ⼷ · ⼸ · ⼹ · ⼺ · ⼻④⼼ · ⼽ · ⼾ · ⼿ · ⽀ · ⽁ · ⽂ · ⽃ · ⽄ · ⽅ · ⽆ · ⽇ · ⽈ · ⽉ · ⽊ · ⽋ · ⽌ · ⽍ · ⽎ · ⽏ · ⽐ · ⽑ · ⽒ · ⽓ · ⽔ · ⽕ · ⽖ · ⽗ · ⽘ · ⽙ · ⽚ · ⽛ · ⽜ · ⽝⑤⽞ · ⽟ · ⽠ · ⽡ · ⽢ · ⽣ · ⽤ · ⽥ · ⽦ · ⽧ · ⽨ · ⽩ · ⽪ · ⽫ · ⽬ · ⽭ · ⽮ · ⽯ · ⽰ · ⽱ · ⽲ · ⽳ · ⽴⑥⽵ · ⽶ · ⽷ · ⽸ · ⽹ · ⽺ · ⽻ · ⽼ · ⽽ · ⽾ · ⽿ · ⾀ · ⾁ · ⾂ · ⾃ · ⾄ · ⾅ · ⾆ · ⾇ · ⾈ · ⾉ · ⾊ · ⾋ · ⾌ · ⾍ · ⾎ · ⾏ · ⾐ · ⾑⑦⾒ · ⾓ · ⾔ · ⾕ · ⾖ · ⾗ · ⾘ · ⾙ · ⾚ · ⾛ · ⾜ · ⾝ · ⾞ · ⾟ · ⾠ · ⾡ · ⾢ · ⾣ · ⾤ · ⾥⑧⾦ · ⾧ · ⾨ · ⾩ · ⾪ · ⾫ · ⾬ · ⾭ · ⾮⑨⾯ · ⾰ · ⾱ · ⾲ · ⾳ · ⾴ · ⾵ · ⾶ · ⾷ · ⾸ · ⾹⑩⾺ · ⾻ · ⾼ · ⾽ · ⾾ · ⾿ · ⿀ · ⿁⑪⿂ · ⿃ · ⿄ · ⿅ · ⿆ · ⿇⑫⿈ · ⿉ · ⿊ · ⿋⑬⿌ · ⿍ · ⿎ · ⿏⑭⿐ · ⿑⑮⿒⑯⿓ · ⿔⑰⿕WITH NAMES 有名字⼀ · ⼂ · ⼇ · ⼈ · ⼉ · ⼊ · ⼋ · ⼌ · ⼍ · ⼎ · ⼏ · ⼐ · ⼑ · ⼒ · ⼓ · ⼔ · ⼕ · ⼗ · ⼙ · ⼚ · ⼛ · ⼜ · ⼝ · ⼞ · ⼟ · ⼠ · ⼡ · ⼣ · ⼤ · ⼥ · ⼦ · ⼧ · ⼨ · ⼩ · ⼫ · ⼭ · ⼯ · ⼱ · ⼲ · ⼴ · ⼵ · ⼶ · ⼸ · ⼺ · ⼻ · ⼼ · ⼽ · ⼾ · ⼿ · ⽁ · ⽄ · ⽅ · ⽇ · ⽉ · ⽊ · ⽋ · ⽌ · ⽎ · ⽔ · ⽕ · ⽖ · ⽙ · ⽜ · ⽝ · ⽟ · ⽥ · ⽦ · ⽧ · ⽨ · ⽩ · ⽪ · ⽫ · ⽬ · ⽯ · ⽰ · ⽲ · ⽳ · ⽴ · ⽵ · ⽶ · ⽷ · ⽹ · ⽺ · ⽻ · ⽼ · ⽿ · ⾆ · ⾈ · ⾉ · ⾋ · ⾍ · ⾐ · ⾒ · ⾔ · ⾙ · ⾛ · ⾜ · ⾞ · ⾟ · ⾡ · ⾢ · ⾣ · ⾥ · ⾦ · ⾨ · ⾩ · ⾫ · ⾬ · ⾭ · ⾴ · ⾷ · ⾺ · ⿃
一	yī	Variant of radical ⼀ (one)EXAMPLES 王·丁·七·三HOMEPAGE ► 偏旁
一字旁	yīzìpáng	Name of radical number 1 ⼀MEANING oneEXAMPLES 王·丁·七·三HOMEPAGE ► 偏旁
⼀	yī	Kangxi radical number 1NAME 一字旁 yīzìpángVARIANTS 一STANDALONE 一MEANING oneEXAMPLES 王·丁·七·三RANK 88.5%DISTINGHUISH FROM 乛·亠·冖·宀NOTES  Characters are classified here when they have a horizontal stroke and don't fit under any other radicalsHOMEPAGE ► 偏旁
丨	gǔn	Variant of radical ⼁ (line)EXAMPLES 十·中·串·丰HOMEPAGE ► 偏旁
⼁	gǔn	Kangxi radical number 2NAME  VARIANTS 丨MEANING lineEXAMPLES 十·中·串·丰RANK 66.3%DISTINGHUISH FROM 亅NOTES  Now simply called shu4 - 竖, which means vertical stroke, see gun3HOMEPAGE ► 偏旁
⺀	zhǔ	Variant of radical ⼂ (dot)EXAMPLES 丸·凡·丹·户HOMEPAGE ► 偏旁
丶	zhǔ	Variant of radical ⼂ (dot)EXAMPLES 丸·凡·丹·户HOMEPAGE ► 偏旁
丶字旁	zhǔzìpáng	Name of radical number 3 ⼂MEANING dotEXAMPLES 丸·凡·丹·户HOMEPAGE ► 偏旁
⼂	zhǔ	Kangxi radical number 3NAME 丶字旁 zhǔzìpángVARIANTS ⺀·丶MEANING dotEXAMPLES 丸·凡·丹·户RANK 63.1%HOMEPAGE ► 偏旁
丿	piě	Variant of radical ⼃ (slash)EXAMPLES 乂·乃·久·八HOMEPAGE ► 偏旁
乀	piě	Variant of radical ⼃ (slash)EXAMPLES 乂·乃·久·八HOMEPAGE ► 偏旁
乁	piě	Variant of radical ⼃ (slash)EXAMPLES 乂·乃·久·八HOMEPAGE ► 偏旁
⼃	piě	Kangxi radical number 4NAME  VARIANTS 丿·乀·乁MEANING slashEXAMPLES 乂·乃·久·八RANK 76.3%NOTES  general stroke, sometimes means fallingHOMEPAGE ► 偏旁
⺂	yǐ	Variant of radical ⼄ (second)EXAMPLES 九·乞·也HOMEPAGE ► 偏旁
⺃	yǐ	Variant of radical ⼄ (second)EXAMPLES 九·乞·也HOMEPAGE ► 偏旁
⺄	yǐ	Variant of radical ⼄ (second)EXAMPLES 九·乞·也HOMEPAGE ► 偏旁
乙	yǐ	Variant of radical ⼄ (second)EXAMPLES 九·乞·也HOMEPAGE ► 偏旁
乚	yǐ	Variant of radical ⼄ (second)EXAMPLES 九·乞·也HOMEPAGE ► 偏旁
乛	yǐ	Variant of radical ⼄ (second)EXAMPLES 九·乞·也HOMEPAGE ► 偏旁
⼄	yǐ	Kangxi radical number 5NAME  VARIANTS ⺂·⺃·⺄·乙·乚·乛STANDALONE 乙MEANING secondEXAMPLES 九·乞·也MNEMONIC  possibly represents a sproutRANK 52.7%HOMEPAGE ► 偏旁
亅	jué	Variant of radical ⼅ (hook)EXAMPLES 了·矛·事HOMEPAGE ► 偏旁
𠄌	jué	Variant of radical ⼅ (hook)EXAMPLES 了·矛·事HOMEPAGE ► 偏旁
⼅	jué	Kangxi radical number 6NAME  VARIANTS 亅·𠄌MEANING hookEXAMPLES 了·矛·事RANK 44.4%DISTINGHUISH FROM 丨HOMEPAGE ► 偏旁
二	èr	Variant of radical ⼆ (two)EXAMPLES 貳·于·云·些HOMEPAGE ► 偏旁
⼆	èr	Kangxi radical number 7NAME  VARIANTS 二STANDALONE 二MEANING twoEXAMPLES 貳·于·云·些RANK 74.6%HOMEPAGE ► 偏旁
亠	tóu	Variant of radical ⼇ (lid)EXAMPLES 方·亡·亢·交HOMEPAGE ► 偏旁
六字头	lìuzìtóu	Name of radical number 8 ⼇MEANING lidEXAMPLES 方·亡·亢·交HOMEPAGE ► 偏旁
