a	-{O}알파벳 15번째의 문자 -{oh (exclamation of surprise} -{regret}유감, 섭섭함, 서운함, 후회, 회한, (죽음.불행에 대한)슬픔, 비탄, 낙담, 애도, 애석, 유감의 뜻, 후회의 말, (초대장에 대한)정중한 거절, 사절(장), 후회하다, 뉘우치다, 분해하다, 섭섭하게(유감으로)생각하다, 불쌍하게 여기다, 슬퍼하다, 한탄하다, 애석하게 여기다, 아까워하다, 서운해하다 -{ect.)} -{By the way} -{Acre (100 square meters)}
a di đà phật	*명사 <불교> -아미타불 =nam mô a di đà phật+:나무아미타불
a dua	*danh từ,động từ -아첨(하다) =nó rất giỏi a dua+:그는 아첨을 잘 한다 -맹종하다 =nó luôn hùa theo lời cha mẹ+:그는 부모님의 말에 무조건 맹종하였다
a giao	-아교(阿膠).젤라틴(gelatin).갖풀 . =hộp gỗ được dán chắc chắn bằng keo(a giao)+:나무 상자를 아교로 단단히 붙였다.
a ha	-{Aha}int, 아하, 기쁨, 만족, 승리등을 나타냄 -{ha}int,  하아!, 허어!, 어머!(놀람, 기쁨, 의심, 불만, 주저 등의 발성), 하하!(웃음소리), 하아! 라고 말하다, 아하하 웃다 -{hurrah}int,    만세, 만세하고 외치다, 환호하여 맞이하다 -{hurray}
a hoàn	*danh từ -하녀 =đứa con gái chủ nhà đem theo đứa hạ nữ trẻ tuổi đi lấy chồng+:주인집 딸은 제 또래의 어린 하녀를 데리고 시집을 갔다
a phiến	*명사 -아편.(=á phiện)
A Phú Hãn	-아프가니스탄(Afghanistan).아프간.
a tòng	*명사 -아종.아첨. =nó rất giỏi a tòng với người trên nên thăng tiến rất nhanh+:그는 윗사람에게 아첨을 잘하여 승진을 빨리했다. *동사 -아종하다.아첨하다.맹종하다. =nó không thích a tòng với bất kỳ ai+:그는 누구에게도 아첨하기를 싫어하였다.
ai	*대명사 -누구.누구든지.누구를. =người kia là ai?+:저 사람이 누구입니까? =ai cũng làm được+:누구든지 할 수 있다. =gặp ai đó nên muộn một chút+:누구를 만나느라고 좀 늦었어.
ai ai	*대명사 -누구나. 누구든지 .각자 모두. =ai ai cũng có mỗi việc phải làm+: 누구든지 저마다 할 일이 있다. =không phải ai ai cũng có thể trở thành anh hùng+:누구나 다 영웅이 될 수 있는 것은 아니다.
ai ca	*명사 -애가(哀歌).비가(悲歌).슬프고 애잔한 노래.
Ai Cập	*명사 <지명> -이집트(Egypt). =người dân Ai Cập chủ yếu là người gốc Ả rập+:이집트의주민은 대부분 아랍 인이다.
ai hoài	*명사 -애회(哀懷).슬픈 생각을 품음.
Ai lao	*명사 <지명> -라오스(Laos). =thủ đô của Ai lao là Viên Chăn+:라오스의수도는 비엔티안 이다.
ai nấy	- Xem ai ai
ai oán	*명사 -애원(哀怨).슬프게 원망함. =ánh mắt ai oán+:애원의 눈빛. *형용사 -애원하다 .구슬프다. =tiếng khóc ai oán+:구슬프게 울다. =khúc ca ai oán+:구슬픈 노래.
ai thống	*명사 -애통(哀痛).슬퍼하고 가슴 아파함 . =vướng vào nỗi ai thống+:애통에 빠지다. *형용사 -애통하다.슬퍼하다.
ai tử	*대명사 -어머니의 상중에 있는 사람이 자기를 가리키는 일인칭 대명사.
ai điếu	*명사 -애조(哀弔).슬피 조상함.
ai đời	-{Fancy}공상력, 공상, 변덕, 취미, 도락, 애호가들, 공상의, 터무니 없는, 공상하다, 좋아하다
am	-{Small temple} -{small pagoda} -{hermitage}은자의 집 -{secluded hut}
