a dua	-faire chorus avec; suivre par snobisme = A_dua với bọn nịnh_hót +faire chorus avec les flagorneurs = A_dua theo mốt +suivre la mode par snobisme
a ha	-hourra!; hurrah! = A ha! máy_bay địch cháy rồi! +hourra! l'avion ennemi est incendié!
a hoàn	-(lit., arch.) servante
a la hán	-(rel.) arhant; arahant; lo-hant
a phiến	-(arch.) (cũng nói a_phiện) opium
a tòng	-agir en complice =kẻ a_tòng +complice
a-lô	-allô! = A-lô ! ai gọi đấy ?+allô! qui est à l'appareil?
a-men	-amen; ainsi soit-il
a-míp	-(biol., anat.) amibe
a-pác-thai	-apartheid
a-rập học	= Nhà A-rập_học +arabisant
a-xit	-acide
ai	-qui = Ai đấy ?+qui est là? = Bất cứ ai +n'importe qui = Dù anh là ai +qui que vous soyez -quiconque = Ai có thành_kiến thì không thể công_bằng +quiconque a des préjugés ne peut être juste -quel; lequel = Ai là tác_giả quyển truyện ấy ?+quel est l'auteur de ce roman? = Trong hai học_sinh này , anh chọn ai ?+lequel de ces deux élèves choisissez-vous? -personne (en tournure négative) = Nó không tin ai +il ne croit personne -quelqu'un = Ai chơi dương_cầm đâu đấy +quelqu'un joue du piano quelque part -(nói tắt của ai_ai) = Ai cũng biết +tout le monde le sait =ai làm nấy chịu +qui casse les verres les paie =hơn ai hết +plus que personne =không ai ; không có ai +personne = Không có ai ở đấy +personne n'est là
ai ai	-tout le monde; tout un chacun = Ai_ai cũng biết thế +tout le monde le sait
ai cập học	-égyptologie =nhà Ai_Cập_học +égyptologue
ai nấy	-tous sans exception; tout le monde = Ai_nấy đều phấn_khởi +tout le monde est enthousiaste
ai oán	-plaintif; lamentable = Giọng ai_oán +ton plaintif = Lời rên_rỉ ai_oán +gémissements lamentables
ai đời	-(kng) c'est étrange! = Ai_đời chuyện vô_lí thế mà nó cũng tin +c'est étrange! il croit à une telle absurdité!
am	-petite pagode, pagodon -(lit., arch.) retraite (d'un philosophe), asile (retiré) = Am Bạch Vân +asile Bạch Vân (de Nguyễn Bỉnh Khiêm) =am thanh cảnh vắng +site solitaire
am hiểu	-comprendre à fond; posséder à fond; se connaître à; s'entendre; être ferré = Am_hiểu về âm_nhạc +s'entendre en musique
am tường	-connaître à fond; être au courant = Anh ấy chưa am_tường công_việc +il n'est pas encore au courant des affaires
an	-(rare) en paix; paisible; tranquille; calme; en sûreté; en quiétude = An bần lạc đạo +se contenter de vivre dans la pauvreté et pratiquer la vertu dans la joie = An cư lạc nghiệp +vivre en paix et travailler dans la joie
an bài	-(arch.) disposer; prédestiner = Chúa đã an_bài như vậy +Dieu a ainsi disposé
an dưỡng	-se reposer; être en convalescence =nhà an_dưỡng +như an_dưỡng_đường
an dưỡng đường	-maison de repos; maison de convalescence; sanatorium; maison de santé
an giấc	-(cũng nói yên giấc) dormir d'un sommeil tranquille = an_giấc ngàn thu +dormir du sommeil éternel
an hưởng	-jouir en paix = An_hưởng tuổi già +jouir en paix de ses vieux jours
an hảo	-(arch.) en parfait état = Mọi việc đều an_hảo +tout est en parfait état
an khang	-(fig., arch.) en paix et en bonne santé = Cả gia_đình được an_khang +toute la famille est en paix et en bonne santé
an nghỉ	-reposer en paix =nơi an_nghỉ cuối_cùng +dernière demeure
an nhiên	-(rare) calme; impassible = an_nhiên tự tại +(ít dùng) calme et satisfait
an nhàn	-un paisible loisir = Sống cuộc_đời an_nhàn +vivre dans un paisible loisir
an ninh	-en sécurité; en sûreté -sécurité = An_ninh xã_hội +sécurité sociale = Cơ_quan an_ninh +service de la sécurité = Nhân_viên an_ninh +agents de la sécurité
an phận	-être content de son sort; se contenter de sa situation = an_phận thủ thường +se contenter de son sort et ne pas s'écarter de la norme
an thai	-(med.) qui conserve bien le foetus
an thân	-tranquille; exempt de tout tracas = Tìm chốn an_thân +chercher un coin où l'on soit exempt de tout tracas
an thần	-(pharm.) sédatif du système nerveux; tranquillisant =thuốc an_thần +tranquillisant
an toàn	-de sécurité; de sûreté = Đai an_toàn +ceinture de sécurité = Khóa an_toàn +serrure de sûreté
an toàn khu	-(arch.) zone de sécurité
an toạ	-(fml.) prendre place; s'asseoir à sa place = Xin mời các vị an_toạ +je vous prie de vous asseoir à vos places
an trí	-exiler; bannir; proscrire =đưa đi an_trí +envoyer en exil =nơi an_trí +lieu d'exil; terre d'exil
an táng	-(fml.) inhumer; enterrer =lễ an_táng +obsèques; funérailles; inhumation; enterrement
an tâm	-tranquille; sans inquiétude; en toute quiétude
an tức hương	-(pharm.) benjoin
an vị	-être en place; prendre place = Mời an_vị +prière de prendre place
an ủi	-consoler; soulager (quelqu'un) dans son chagrin = giải_thưởng an_ủi +prix de consolation
an-bom	-album
ang	-jarre (en terre cuite) = Ang nước +jarre d'eau -boîte à bétel (en cuivre)
ang áng	-xem áng
anh	-grand frère -cousin (fils d'un grand frère ou d'une grande soeur du père ou de la mère) -(nom générique désignant un homme encore jeune) = Một anh thanh_niên +un jeune homme = Một anh bộ_đội +un jeune soldat = Một anh cán_bộ +un jeune cadre -vous; tu; toi (appelant son grand frère, son mari, le mari de sa grande soeur, les fils du grand frère ou de la grande soeur de son père ou de sa mère) -vous (appelant un jeune homme, un ami) -je; moi (quand on s'adresse à sa femme, à son petit frère, à un garçon ou à un homme plus jeune que soi) -(rare) il; lui (nói tắt của anh_ấy , anh_ta) = Vợ anh Mão ốm nặng , anh rất buồn +la femme de Mao est gravement malade, il est très triste
anh chàng	-(infml., jovial, iron.) cet homme; ce jeune homme; celui-là = Anh_chàng xấu hổ quá +ce jeune homme est tout confus
anh chị	-chef de gang; chef de bande; chef de la canaille = Ra vẻ anh_chị +se donner l'air d'un chef de bande -terme de politesse pour appeler un couple d' époux
anh danh	-(arch.) bonne réputation; bonne renommée; bon renom = Anh_danh của ông_cha +le bon renom de ses aïeux
anh dũng	-très courageux; très brave; vaillant; plein de bravoure = Cuộc chiến_đấu anh_dũng +lutte vaillante
anh em	-frères et soeurs = Anh_em như thể chân tay (ca dao)+les frères et les soeurs sont comme les membres d'un même corps = anh_em bạn +amis; camarades =người anh_em +(đùa cợt, hài hước) le bonhomme; le compère
anh hoa	-(lit.) beauté de l'âme = Anh_hoa phát_tiết ra ngoài (Nguyễn Du)+toute la beauté de l'âme se manifeste à l'extérieur
anh hào	-(arch.) homme valeureux; vaillant homme = Đường_đường một đấng anh_hào (Nguyễn Du)+c'était un homme valeureux plein de majesté
anh hùng	-héros = Các anh_hùng lịch_sử +les héros = Anh_hùng rơm +faux brave; bravache; matamore; va-t-en-guerre -héroïque = Hành_vi anh_hùng +acte héroïque = chủ_nghĩa anh_hùng +héroïsme = chủ_nghĩa anh_hùng cách_mạng +héroïsme révolutionnaire
anh hùng ca	-épopée; poème épique
anh hùng chủ nghĩa	-aventureux
anh kim	-(rare) livre sterling
anh kiệt	-(arch.) héros hors de pair
anh linh	-(arch.) âme; mânes = Anh_linh tổ tiên +mânes des ancêtres -(arch.) doué d'une puissance surnaturelle
anh minh	-clairvoyant; lucide et perspicace = Lãnh_tụ anh_minh +leader clairvoyant
anh ngữ	-anglais
anh nhi	-(arch., fml.) enfant; poupon
anh nuôi	-(infml.) cuistot
anh quân	-(arch.) roi éclairé; éminent roi
anh thư	-héroïne
anh tuấn	-d'une intelligence extraordinaire
anh tài	-homme de grand talent; génie
anh tú	-très distingué = Một thanh_niên anh_tú +un jeune homme très distingué
anh văn	-anglais
anh vũ	-(zool., từ cũ nghĩa cũ) perroquet -(zool.) nautile -(zool.) pseudogyrinochelus (espèce de poisson)
anh yến	-(loriot en hirondelle) les amoureux = Xôn_xao anh_yến (Nguyễn Du)+les amoureux s'y empressent
anh ách	-xem ách
anh ánh	-xem ánh
anh đào	-(bot.) cerisier; cerise
ao	-mesurer approximativement; évaluer = Ao thùng dầu +mesurer approximativement la touque de pétrole -étang; mare = Ao tù +étang à eau stagnante =ta về ta tắm ao ta , dù trong dù đục ao nhà vẫn hơn (ca dao)+on n'est nulle part aussi bien que chez soi; à chaque oiseau son nid est beau
ao chuôm	-étangs; mares
ao hồ	-étangs et lacs; nappes d'eau intérieure
ao ước	-(cũng nói ước_ao) espérer; souhaiter; désirer
ao-xơ	-(tech.) ounce
au	-xem đỏ au
ba	-Papa = Ba tôi đi vắng +papa est absent = Xin phép ba cho con đi xem chiếu_bóng +papa, permettez-moi d'aller au cinéma -trois -troisième = Canh ba +troisième veille -un petit nombre; quelques = Ba thằng ranh mà làm ầm thế +ils ne sont que quelques marmots et pourtant ils font un tel tapage =ba bà bốn chuyện +quand les femmes sont ensemble, elles colportent des cancans =ba bè bảy bối +en discorde; en dissension =ba bề bốn bên +de toutes parts =ba cây chụm lại nên hòn núi cao +l'union fait la force =ba chân bốn cẳng +à toutes jambes; prendre ses jambes à son cou =ba chớp bảy nhoáng +à la hâte; avec précipitation et sans soin =ba cọc ba đồng +tout juste son salaire; sans aucun gain d'appoint; sans à-côté =ba dòng thác cách_mạng +les trois courants révolutionnaires =ba đầu sáu tay +(en lançant un défi malgré toute puissance) =ba hồn bảy vía +les trois âmes et les sept supports vitaux (pour les hommes) =ba hồn chín vía +les trois âmes et les neuf supports vitaux (pour les femmes) =ba khoán +les trois forfaits =ba là +troisièmement; tertio =ba lợi ích +les trois intérêts; l'intérêt des trois parties =ba mặt một lời +en présence d'un témoin avec les deux parties =ba mũi giáp_công +attaque sur trois fronts (militaire, politique et de propagande dans les rangs des troupes ennemies) =ba mươi sáu cái nõn_nường +(đùa cợt, hài hước) (en parlant des femmes) toutes les cajoleries et les câlineries =ba mươi sáu chước +des trente-six façons de se libérer, déguerpir est la meilleure =ba năm một lần +triennal; trisannuel =ba tấc lưỡi +la langue, si petite soit-elle, peut avoir un grand effet =ba tháng trồng cây một ngày trông quả +on peine pendant trois mois (dans les travaux des champs), mais on craint de perdre le fruit de son travail en un jour (à cause des intempéries) =ba thưng cũng vào một đấu +c'est pareil; c'est kif-kif; c'est la même chose =ba vuông bảy tròn +parfaitement; à la perfection; sans reproche
ba ba	-(zool.) trionyx =giả ba_ba +mets qui imite le plat de trionyx
ba bảy	-plusieurs = Ba_bảy cách làm +plusieurs façons de faire (quelque chose) =ba chìm bảy nổi +très mouvementé; très tourmenté; en proie à de grandes vicissitudes
ba bị	-croque-mitaine -(vulg.) abominable; épouvantable; lamentable = Cái tủ ba_bị ấy mua làm gì ?+pourquoi acheter cette épouvantable armoire?
ba chỉ	=thịt ba_chỉ +viande du ventre du porc (qui a trois filets de chair au milieu de la graisse)
ba cùng	-loger, manger et travailler ensemble avec les pauvres paysans (pendant la réforme agraire)
ba gai	-(infml.) querelleur; hargneux; chamailleur = Thằng bé ba_gai +un gamin querelleur
ba giăng	-riz de trois mois
ba gác	-charrette à bras ; tombereau
ba gạc	-(bot.) rauwolfia; arbre aux serpents
ba hoa	-bavard; cancanier; qui papote, qui a la langue bien pendue = ba_hoa chích_chòe +qui parle à tort et à travers de tout = ba_hoa thiên_địa +hâbleur = ba_hoa xích đế +(tiếng địa phương) như ba_hoa thiên địa
ba kích	-(bot.) morinda officinal
ba lá	-à trois lames =kẹp ba_lá +épingle à cheveux à trois lames
ba láp	-blagueur; fumiste = Nó ba_láp đấy , đừng nên tin nó +il est blagueur, ne le croyez pas
ba lăng nhăng	-(infml.) qui n'est pas sérieux; frivole = Tính_nết ba lăng nhăng +caractère frivole -à tort et à travers = Nói ba lăng nhăng +parler à tort et à travers
ba lơn	-plaisanter
ba má	-(dialecte) le père et la mère; les parents
ba mươi	-trente -le dernier jour du mois lunaire =ông ba_mươi +(khẩu ngữ) le tigre
ba ngay	-(dialecte) như ba_ngày
ba ngày	-le troisième jour après l'enterrement (de quelqu'un) = Cúng ba_ngày +célébrer la cérémonie du troisième jour après l'enterrement
ba ngôi	-(rel.) trinité
ba phải	-sans personnalité; qui dit toujours oui; qui n'a pas d'opinion personnelle; nègre blanc = Kiến_nghị ba_phải +motion nègre blanc
ba que	-voyou; canaille; crapule
ba quân	-(arch.) l'armée; la garnison
ba rọi	-(dialecte) như ba chỉ = Thịt ba_rọi +viande du ventre de porc -(infml.) coquin; fripon; gredin
ba sinh	-(lit., arch.) les trois existences de l'homme (suivant les conceptions bouddhiques) = Duyên_nợ ba_sinh +dette originelle des trois existences
ba tháng	-(dialecte) như ba giăng
ba tiêu	-(lit., arch.) bananier
ba toác	-(vulg.) impertinent; insolent; impudent
ba trợn	-(vulg.) cynique; impudent
ba vạ	-(infml.) en pagaïe, en désordre; délaissé; à l'abandon = Nhà ba_vạ +maison en pagaïe -en très mauvais état = Đồ_đạc ba_vạ +meubles en très mauvais état
ba xuân	-(lit., arch.) les parents (dont les bienfaits sont comparables à ceux des trois mois du printemps) = Đền_ơn ba_xuân +payer sa dette de reconnaissance envers ses parents
ba đào	-(lit., arch.) orageux; tourmenté; bouleversé, agité; torrentueux; troublé = Cuộc_sống ba_đào +une vie orageuse
ba đậu	-(bot.) croton
ba đậu nam	-(bot.) médicinier; curcas
ba đậu tây	-(bot.) sablier
ba-dô-ca	-bazooka
ba-dơ	-(chem.) base
ba-lê	-ballet =nữ nghệ_sĩ ba-lê +ballerine
ba-lô	-havresac
ba-lông	-(arch.) ballon
ba-toong	-bâton, canne
ba-tui	-(arch.) patrouille
ban	-(bot.) bauhinie blanche -balle; ballon = Quả ban quần_vợt +balle de tennis = Đá ban +jouer au ballon
ban bố	-promulguer; édicter; décréter = Ban_bố một đạo_luật +promulguer une loi = Ban_bố một lệnh +édicter un ordre = Ban_bố lệnh động_viên +décréter la mobilisation
ban chiều	-après-midi
ban cua	-(med.; từ cũ nghĩa cũ) fièvre typhoïde
ban cấp	-(arch.) octroyer; accorder
ban hành	-promulguer; édicter = Ban_hành một đạo_luật +promulguer une loi
ban khen	-féliciter = Được chủ_tịch nước ban_khen +être félicité par le Président de la République
ban lao	-(med.) tuberculide
ban long	=cao ban_long +gélatine de bois de cerf
ban mai	-matinée
ban ngày	-jour = Giữa ban_ngày / ban_ngày ban mặt +en plein jour
ban nãy	-il y a un moment ; tout à l'heure
ban phát	-distribuer (aux inférieurs); dispenser
ban sáng	-matin; matinée
ban sơ	-commencement ; début
ban sớm	-matinée
ban thưởng	-récompenser; gratifier d'une récompense
ban thứ	-(arch.) rang hiérarchique
ban trưa	-midi
ban tặng	-accorder; décerner (aux inférieurs)
ban tối	-soirée
ban xuất huyết	-(med.) purpura
ban đào	-(med.) roséole
ban đêm	-la nuit
ban đầu	-au commencement; d'abord = Ban_đầu nó còn bỡ ngỡ +d'abord, il était dépaysé -initial = Vận_tốc ban_đầu +vitesse initiale
ban đỏ	-(med.) érythème
ban ơn	-accorder une faveur; octroyer une grâce; combler de bienfaits
ban-công	-balcon
