a	* excl - O; oh (exclamation of surprise, regret, ect.) =a, đồ chơi đẹp quá!+ Oh! What a nice toy! =a, tội nghiệp quá+Oh!What a pity! - By the way =a, còn một vấn đề này nữa +By the way, there's this one other question * noun - Acre (100 square meters)
A Di Đà Phật	- Buddha of Immeasurable/Infinite Light;  Buddha Amitabha
a du	- xem a dua
a dua	* verb - To ape, to chime in, to join in, to take a leaf out of sb's book =a dua theo lối ăn mặc lố lăng+to ape other's eccentric style of dress =người hay a dua bắt chước+a copy-cat
a ha	* excl - Aha, ha; hurrah, hurray =a ha! tên trộm bị cảnh sát tóm rồi!+Ha! the thief is caught by the police! =a ha! cô gái xinh quá!+hurrah! What a pretty girl!
a hoàn	* noun - Abigail ; maidservant
a phiến	* noun - Opium =cuộc chiến tranh a phiến+The opium war =a phiến thường là mầm mống của tội phạm+in most cases, opium is the germ of the crime
a tòng	* verb - To act as (be) an accomplice to someone, to act as (be) an accessory to someone, to make common cause with someone =hắn a tòng với một người bạn cũ để lừa gạt bà cụ này+he was an accomplice to one of his old friends, so as to swindle this old woman
a tùng	- xem a tòng
a đảng	- xem hùa
a đẩu	- xem a hoàn
a-ba-giua	- (từ gốc tiếng Pháp là Abat-jour) xem chụp đèn ; chao đèn
a-ba-toa	- (từ gốc tiếng Pháp là Abattoir) abattoir;  slaughter-house
a-dong	- (tôn giáo) xem A-đam
a-dốt	- (hoá học)  xem a-zốt
a-ga	- (sinh học)  agar
a-giăng-đa	- (từ gốc tiếng Pháp là Agenda)  diary;  (tin học)  organizer, planner
a-la-mốt	- (từ gốc tiếng Pháp là A la mode) xem hợp thời trang
a-léc	- (tiếng Pháp gọi là Alerte) xem báo động
a-lê	- (từ gốc tiếng Pháp là Allez!)  go ahead! - (từ gốc tiếng Pháp là Allez!)  come on! - (từ gốc tiếng Pháp là Aller)  outward journey/trip
a-lô	- (tiếng Pháp gọi là Allo) hallo;  hello;  hullo - attention, please ! - xem gọi điện thoại
a-ma-tơ	- (tiếng Pháp gọi là Amateur) amateur
a-men	- (Thiên chúa giáo) (tiếng Pháp gọi là Amen) amen
a-mi	- (từ gốc tiếng Pháp là Ami;  Amie)  close/intimate friend
a-mi-ăng	- (hoá học)  (từ gốc tiếng Pháp là Amiante) asbestos (used for fireproofing, electrical insulation, building materials, brake linings, and chemical filters)
a-mi-đan	- (từ gốc tiếng Pháp là Amygdale) tonsil
a-min	- (hoá học) (tiếng Pháp gọi là Amine)  amine (any of a group of organic compounds of nitrogen, such as ethylamine, that may be considered ammonia derivatives in which one or more hydrogen atoms have been replaced by a hydrocarbon radical)
a-míp	- (từ gốc tiếng Pháp là Amibe) amoeba;  ameba
a-mô-ni-ắc	- (hoá học) (tiếng Pháp gọi là Ammoniac) ammonia (extensively used in refrigeration and in the chemical industries, especially in the manufacture of fertilizer, nitric acid, and explosives)
a-măng	- (từ gốc tiếng Pháp là Amant;  Amante) lover;  sweetheart;  leman;  mistress;  paramour;  fancy man;  fancy woman
