a hoàn	- [Abigail] Zofe - [maidservant] Dienstmädchen
a phiến	- [Opium] Opium
a tòng	- [to make common cause with someone] mit jemandem gemeinsame Sache machen
ai	- [Who] das, der, die, welche, welcher, welches, wer, wer? - [whom] wen - [someone] irgend jemand, irgendeiner, jemand - [somebody] irgend jemand, jemand - [anyone] irgend jemand, irgendeiner, irgendjemand, jeder, jeder beliebige, jemand - [anybody] irgend jemand, irgendeiner, irgendjemand, jeder, jeder beliebige, jemand
ai ai	- [Everyone] jedermann - [everybody] allemann, jeder
ai oán	- [Plaintive] traurig
ai điếu	- [eulogy] Lobpreisung, Lobrede, Lobschrift - [condolence] Beileid
ai đời	- [Fancy] Einbildungskraft, Laune
am	- [hermitage] Klause
am hiểu	- [To realize] (Gewinn) erzielen, ausführen, begreifen, durchführen, erfassen, erkennen, realisieren, sich klarmachen, sich vergegenwärtigen, sich vorstellen, verwerten, verwirklichen, zu Geld machen - [to know inside out] in- und auswendig kennen
an	- [Safe] Geldschrank, geschützt, Safe, sicher, sichere, Tresor - [secure] sicher
an bài	- [To preordain] vorherbestimmen - [to foreordain] vorherbestimmen
an nhàn	- [Leisured] unbeschäftigt - [leisurely] gemächlich
an ninh	- [Security] Bürgschaft, Kaution Sicherheitspfand, Sicherung
an toàn	- [Safe] Geldschrank, geschützt, Safe, sicher, sichere, Tresor
an trí	- [To banish] verbannen, vertreiben
an táng	- [To bury] begraben, verbergen, vergraben
an ủi	- [To comfort] ermutigen, trösten
ang	- [crock] Klepper
ang áng	- [about] benachrichtigen, etwa, gegen, Sorge (wegen, um), um..., ungefähr, Unruhe, unterrichten (von, über, über) - [approximately] annähernd, annäherungsweise, etwa, ungefähr, zunächst
anh chị	- [Ringleader] Rädelsführer - [chieftain] Häuptling
anh em	- [Brothers] Brüder - [siblings] Halbgeschwister - [Mates] Klassenkameraden, Partner - [comrades] Kameraden
anh hùng	- [Hero] Held - [Heroic] heldenhaft
anh hùng ca	- [Epic] episch - [saga] Saga
anh hùng chủ nghĩa	- [adventurous] abenteuerlich - [reckless] unbekümmert, waghalsig
anh thư	- [Heroine] Heldin
anh tài	- [Luminary] Himmelskörper, Leuchtkörper, Lichtkörper
anh ánh	- [Gleaming] durchschimmernd, glänzend, schimmernd
anh đào	- [Cherry] Kirsche
ao	- [Pond] Stau, Teich
ao ước	- [to long for] ersehnen, verlangen nach - [to crave for] sich sehnen (nach)
ba	- [daddy] Papa, Vati - [Three] drei - [third] dritte, Dritte, dritte, Drittel, dritter, Terz - [Several] besonders, einzelne, mehrere, verschiedene - [a few] ein paar, einige
ba bảy	- [several] besonders, einzelne, mehrere, verschiedene
