a	- а III; - ах; - ахать
a dua	- поддакивать; - обезьянничать; - вторить; - подголосок; - подпевала
a lô	- алло; - тулуп; - пушнина; - минировать
a míp	- амёба
a phiến	- опиум
a vào	- устремляться; - лезть; - влетать; - рассудочный; - приставлять; - прислонять; - прислонять; - приставлять; - гопитализация; - дисциплинировать; - дисциплинировать; - налаживать; - госпитализировать; - вхожий; - сливаться; - приобщать; - подсовывать; - тамбур; - пилить; - опираться; - приобщаться
a đến	- штермовать; - кидаться; - нахлынуть; - дошкольник; - ограничиваться; - дошкольный; - несовершеннолетний; - учитывать; - учёт; - расквартировать; - дотащить; - вытекать; - поселять; - поселение; - заселение; - заселять; - водворять; - вселение; - вселять; - перенаселять; - уплотнение; - наталкивать; - недорабатывать; - разносчик
A-déc-bai-gian	- азербайджанский; - азербайджанец- азербайджанский; - азербайджанец
A-la-khơ	- аллах
a-mô-nan	- аммонал
a-mô-ni	- аммоний
a-mô-ni-ac	- аммиак
A-rập	- арабский; - араб
a-xê-ti-len	- ацетилен
a-xê-tôn	- ацетон
a-xít	- кислота; - кислотность; - кислотный
acsen	- мышьяк; - мышьяковый
actêzi	- артезианский
agôn	- аргон
ai	- кто-то; - кто-нибудь; - кто-либо; - кто
ai ai	- весь
ai ca	- причитание; - причитать; - поселенец
ai cũng	- всякий; - общеизвестный; - азбучный; - общепризнанный; - общедоступный; - общедоступный; - общепонятный; - общедоступный; - общепринятый; - зад
ai cả	- никто; - сын; - ничейный
ai khúc	- причитание; - ноктюрн
ai nấy	- весь; - всякий
ai oán	- похоронный; - жалостливый; - жалостный; - жалобный; - меланхолический
Ai-cập	- египетский
Ai-lao	- лаосский
Ai-len	- ирландский; - ирландец
Ai-xlen	- исландский; - исландец
alcali	- щёлочь
alcol	- спирт; - алкоголь; - алкогольный
alibi	- алиби
am hiểu	- твёрдый; - сведущий; - разбираться; - понимать; - компетентный; - компетентность; - соображать; - смыслить; - осведомлённый; - осведомлённость; - знание; - знающий; - владеть; - грамотный; - грамотно; - пытливый; - любознательность; - любознательный; - неосведомлённый; - некомпетентность; - несведущий; - некомпетентный; - ценитель; - знаток
am pe	- ампер; - амперметр
amip	- амёба
amiăng	- асбест; - асбестовый
amiđan	- миндалина
ampe	- ампер
ampe kế	- амперметр
amônan	- аммонал
amôni	- аммоний
amôni clorua	- нашатырь
amôniac	- аммиак
amôtphe	- атмосфера
an bom	- альбом; - фотоальбом
an bum	- альбом
an cư	- уживаться; - оседать; - фата
an dưỡng	- курортный; - отдыхать; - санаторный; - санаторий; - здравница; - курорт; - вода; - курортник; - санаторий; - здравница; - санаторный; - здравница
an giấc	- почивать
an nghỉ	- почивать
an ninh	- спокойствие; - охранный; - безопасно; - обезопаситься; - безопасность
an phận	- смиряться; - безропотный
an thần	- успокаивающий; - транквилизатор
an toàn	- предохранитель; - охранный; - неопасный; - неопасно; - благополучный; - безопасный; - безопасно; - безопасность; - безаварийный; - обезопаситься
an táng	- хоронить I; - погребение; - погребать
an tâm	- успокаиваться; - успокоение; - спокойный; - спокойствие; - облегчение; - отличать; - нестоящий; - незаинтересованный; - невнимательный; - облегчение; - интересовать; - заинтересовать; - поинтересоваться; - прислушиваться; - взглядывать; - семейственный; - носиться; - канителиться
an tô	- альт
an ủi	- тешить; - утешать; - утешение; - утешительный; - согревать; - отрада; - обнадёживать; - утешаться; - неутешный; - безутешный; - бальзам; - отдушина; - тешиться
An-ba-ni	- албанский; - албанец
An-giê-ri	- алжирский; - алжирец
an-ti-mon	- сурьма
anbumin	- белковый; - белок; - альбумин
ang	- сосуд
Anh	- британский- английский; - англичанин
anh	- гражданин- ты; - твой; - я; - мой; - наш; - брат- братец
anh bạn rể	- свояк
anh chàng	- парень; - он; - детина
anh chị	- заправила; - ваш; - вы; - наш
anh chồng	- деверь
anh dũng	- героика; - геройство; - геройский; - георический
anh em	- братский; - брат; - братство; - братоубийство; - побратимство; - братание; - брататься; - побратим; - братоубийственный
anh hàng	- продавец; - мясник
anh hùng	- героика; - геройство; - георический; - геройский; - герой; - эпопея; - эпос; - слово; - бравада; - георизм; - бравировать; - героиня; - город-герой; - георизм
anh minh	- премудрый; - премудрость; - мудрость; - мудрый; - иллюстрированный; - картинка
Anh ngữ	- по-английский
anh nuôi	- повар; - кашевар
anh quả	- черешня; - круп II; - круп II; - ларингоскоп; - околоземной; - околоземный; - ларингит
anh rể	- свояк; - зять
anh ta	- он; - свой
anh thảo	- примула; - первоцвет; - цикламен
anh tài	- гений
anh túc	- маковый; - мак; - мак; - маковка
Anh văn	- по-английский
anh vợ	- шурин; - свояк
anh đào	- черешня; - вишня; - вишнёвый; - черёмуха; - черёмуховый
anh đó	- он
anh đội viên	- боец
anh ấy	- он; - его; - они
Anh-Mỹ	- англо-американский
anhyđric	- ангидрид
anhyđrit	- ангидрид
anilin	- анилиновый; - анилин
anpha	- альфа
anten	- антенна
anten khung	- рамка
antimon	- сурьма
antimôni	- сурьма
anôt	- анодный; - анод
ao	- пруд
ao bùn	- трясина
ao ước	- стремиться; - соцдоговор
apatit	- апатит
aptơ	- ящур
aria	- ария
asen	- мышьяк; - мышьяковый
atbet	- асбестовый; - асбест
atlat	- атлас
atphan	- асфальт; - асфальтовый
avalăng	- лавина
axit	- кислый; - кислота; - кислотность
axpirin	- аспирин
axêtilen	- ацетилен
axêtôn	- ацетон
axít	- кислотный
AІ châu	- азиатский; - азиат; - трансазиатский
AІ-phi	- афро-азиатский
AІc-giăng-tin	- аргентинский
AІc-hen-ti-na	- аргентинский; - аргентинец
AІc-mê-ni-a	- армянский; - армянин
AІo	- австрийский; - австриец
AІp-ga-ni-xtan	- афганский; - афганец
AІp-ga-ni-xtăng	- афганский
ba	- три; - третий; - ты; - трое; - твой; - тройка; - я; - отеческий; - папаша; - отцовский; - папа I; - отец; - он; - мой; - бар
ba ba	- черепаховый; - черепаха; - черепаший
ba bánh	- трёхколёсный
ba bên	- тройственный; - трёхсторонний; - трёхсторонний
ba bận	- трёхразовый
ba ca	- трёхсменный
ba chiều	- трёхмерный
ba chấm	- многоточие
ba chỗ	- трёхместный
ba chớp bảy nhoáng	- тяп-л. яп; - кое-как
ba chục	- тридцать
ba cuốn	- трёхтомный; - трилогия; - трёхтомник
ba giờ	- трёхчасовой
ba góc	- треугольный
ba hoa	- трепаться; - тарахтеть; - тары-бары; - болтливый; - болтать II; - болтливость; - разболтаться II; - пустословие; - пустословить; - тары-бары; - тарахтеть; - трепаться; - трескотня; - болтовня; - пустозвон; - пустослов; - фраза; - пустозвонство; - заболтаться; - трещотка; - крикун; - болтунья; - болтун I; - разглагольствовать; - проболтать; - наболтать I; - говорильня
ba kíp	- трёхсменный
ba là	- в-третьих; - в-третьих; - в-третьих
ba láp	- пустой; - несуразный; - пустозвон; - пустослов; - пустословие; - нести
ba lô	- рюкзак
ba lượt	- трёхразовый
ba lần	- трёхразовый; - троекратный; - тройной; - троекратно; - трижды; - трёхкратный; - втрое; - втройне
ba màu	- трёхцветный
ba má	- родимый; - родители; - родительский; - они; - мы; - наш; - ваш; - вы
ba mươi	- тридцать; - тридцатый; - тридцатилетие; - тридцатилетний; - тридцатилетний; - тридцатилетие; - тридцатилетие; - тигр
ba mặt	- троякий; - трёхгранный; - трёхсторонний
ba ngày	- трёхдневный
Ba Ngôi	- троица; - троица
ba người	- трое; - втроём; - трио; - трио
ba ngựa	- тройка; - тройка
ba nóc	- треглавый
ba năm	- трёхгодичный; - трёхгодовалый; - трёхлетний; - тринадцатилетний
ba nước	- тройственный
ba phần	- тройной; - тройственный; - трёхпроцентный
ba quyển	- трёхтомный; - трёхтомник
ba sắc	- трёхцветный
ba tháng	- трёхмесячный; - квартал; - квартальный
ba thứ	- тройной
ba tiếng	- трёхчасовой; - трёхчасовой
ba trăm	- триста; - трёхсотый; - трёхсотлетие; - трёхсотлетний; - трёхсотлетний; - трёхсотлетие; - трёхсотлетие
ba tuổi	- трёхгодовалый; - трёхлетний; - тринадцатилетний
ba tầng	- трёхступенчатый; - трёхэтажный
ba tập	- трёхтомный; - трилогия
ba điểm	- тройка
ba đào	- превратный; - бурный
ba đầu	- треглавый
ba động	- волнение
ba-dờ	- основание
Ba-lan	- польский; - поляк
Ba-lê	- парижский
ba-lô	- рюкзак; - ранец
ba-lô con cóc	- рюкзак
ba-ri-e	- шлагбаум
ba-toong	- тросточка; - палка
ba-tê	- паштет
ba-tít	- батист; - батистовый
Ba-tư	- персидский; - перс
babit	- баббитовый; - баббит
balalaica	- балалайка
balat	- баллада
balô	- ранец
balông	- баллон
balăng	- балансир
ban	- труппа; - сыпь; - часть; - пора; - предоставление; - предоставлять; - краснота; - комитет; - сектор; - секция; - секционный; - служба; - отдел; - отделение; - зверобой II; - мяч; - одарять
ban bố	- издание; - издавать I; - опубликование; - опубликовывать; - обнародование
ban cho	- удостаивать; - предоставление; - наделять; - награждать; - одарять; - удостаивать; - удостаиваться; - отказывать
ban công	- балкон; - фабком; - фабзавком
ban cấp	- жаловать
ban hành	- издавать I; - издание; - опубликование; - опубликовывать; - обнародование; - горисполком
ban hát	- хор; - хоры; - клирос; - певчий
ban mai	- утренний; - утро; - утром; - утренник; - заморозки; - поутру
ban ngày	- дневной; - утренник
ban nhạc tám người	- октет
ban phát	- отваливать
ban sáng	- утро; - утром; - утренний; - утренник
ban thường vụ	- бюро I
ban thưởng	- удостаивать; - отличать; - жаловать; - награждать; - награждение; - вознаграждение; - вознаграждать; - даровать
ban trưa	- полуденный; - полдневный; - полдень
ban tuyên huấn đảng	- парткабинет
ban tặng	- даровать
ban đêm	- ночью; - ночной; - ночной
ban đầu	- исходный; - сперва; - первоначальный; - начало; - начальный; - вначале
ban ơn	- покровительственный; - милость
ban-công	- бельэтаж
Ban-căng	- балканский
Ban-tích	- балтийский
bang	- штат I
banh	- мяч
banjô	- банджо
banzam	- бальзам
bao	- тюк; - сумка; - чехол; - футляр; - чехлить; - кипа; - пачка; - пакет; - завёртывать; - мешок; - обёртка
bao biện	- разбросанный; - перегружаться; - перегрузка
bao bì	- тара; - упаковка; - навалом; - тара
bao bọc	- окружать; - омывать; - омываться; - охватывать; - окутывать; - обшивать; - обшитый; - облекать; - обматываться; - облеплять; - окутываться
bao bố	- мешок
bao che	- вступаться; - выгораживать; - кумовство
bao chặt	- закутывать
bao da	- мех I; - бурдюк
bao dung	- снисходительность; - снисхождение; - снисходительно; - снисходительный
bao dực	- обходной; - обходить
bao giờ	- когда I; - вообще; - всегда; - обязательный; - никогда; - никогда; - вовек; - неиссякаемый; - неистощимый; - неисчерпаемый; - неисчерпаемый; - неиссякаемый; - безысходный; - непогрешимый; - непогрешимость; - неугасимый; - безвозвратный; - невозвратный
bao gói	- упаковывать; - упаковка
bao gồm	- состоять; - заключать; - включать; - включительно; - включая; - всеобъемлющий
bao hàm	- таить; - совмещать; - совмещаться; - скрывать; - содержаться; - содержать; - заключать; - обнимать; - включать; - всеобъемлющий
bao khắp	- обнимать
bao kính	- очечник
bao la	- широкий; - раздольный; - привольный; - просторный; - пространный; - необозримый; - огромный; - обширный; - необъятный; - беспредельный; - бескрайний; - раздолье; - простор; - приволье
bao lơn	- балкон
bao lại	- запаковывать
bao mua	- скупать; - скупщик; - скупщик
bao nhiêu	- что I; - который; - сколько; - много; - сколько-нибудь; - столь; - сто; - насколько; - почём; - столько
bao phấn	- пыльник I
