a	- {oh (exclamation of surprise} - {regret} リグレット, 哀悼, 悔い, 悔いる, 悔恨, 慨嘆, 残念, 残念である, 思い残す, 心残り, 惜しむ, 側む, 悲しむ, 無念, 名残惜しい - {ect.)} - {By the way} 因みに, 実は, 所で - {Acre (100 square meters)}
a dua	- {to chime in} - {to join in} 加わる
a ha	- {ha} ホームオートメーション - {hurrah} - {hurray} フレー
a hoàn	- {maidservant} 姐, 仕え女
a phiến	- {Opium} 阿片, 麻薬, 鴉片
a tòng	- {to act as (be) an accessory to someone} - {to make common cause with someone}
ai	- {whom} - {someone} 一角の人物, 何者か, 誰か, (pronoun) 誰某, 某 - {somebody} 一角の人物, 誰か - {anyone} どなたでも, 何人, 誰でも, 誰も - {anybody} 誰でも
ai ai	- {everybody} 皆, 人々, 万人
ai nấy	- {one and all}
ai oán	- {Plaintive} 哀れっぽい, 哀調
ai đời	- {Fancy} ファンシー, 空想, 好尚
am	- {small pagoda} - {hermitage} 庵, 幽居 - {secluded hut}
am hiểu	- {to know inside out} - {to have a good command of} - {to have a thorough knowledge of} - {to be expert in (at} - {on)} - {to be well-informed about} - {to be familiar with} 見慣れる
an	- {secure} 確保, 厳に, 厳重, 手堅い, 勝ちとる
an bài	- {to foreordain} - {to predestine}
an dưỡng	- {To convalesce}
an giấc	- {To sleep soundly} 春眠
an hưởng	- {to spend peacefully}
an khang	- {xem khang an}
An Nam	- {Vietnam was named An Nam under the Chinese and French dominations}
an nghỉ	- {To rest in peace and quiet}
an nhàn	- {leisurely} 気長, 優長, 悠々, 悠悠
an ninh	- {Security} セキュリティ, セキュリティー, 安全, 安全保障, 安泰, 安保, 引き当て, 機密保護, 強固, 警備, 担保, 抵当, 保安, 保証, 保障, 無難, 裏付, 裏付け, 證券
an phận	- {To feel smug}
an thần	- {To act as a tranquillizer}
an toàn	- {Safe} セーフ, 金庫, 事無し
an toạ	- {to be seated}
an trí	- {to exile} 追放, 島流し, 亡命, 亡命者, 流刑
an táng	- {To bury} 葬る, 埋める, 埋め込む
an tâm	- {xem yên tâm}
an vị	- {To be seated}
an ủi	- {to console} (computer) コンソール, 慰める, 労る
ang	- {container for areca-nuts and betel}
anh	- {First cousin}
anh chị	- {chieftain}
anh dũng	- {Of great fortitude}
anh em	- {siblings} - {Mates} - {comrades} 仲間同士
anh hùng	- {Heroic} ヒロイック, 英雄的, 健気, 甲斐甲斐しい, 豪快, 壮絶 - {hero-like}
anh hùng ca	- {saga}
anh hùng chủ nghĩa	- {adventurous} - {reckless} 猪突猛進, 暢気, 滅多, 乱暴
anh linh	- {Hallowed memory (of a deceased person)}
anh minh	- {Clear-sighted and able}
anh nuôi	- {Male cook}
anh quân	- {Clear-sighted and able monarch}
anh thư	- {Heroine} ヒロイン, 勇婦, 烈女
anh tài	- {outstanding talent} 逸材
anh ách	- {xem ách}
anh ánh	- {glimmerring}
anh đào	- {Cherry} チェリー, 桜んぼ
ao	- {To measure roughly} - {to measure approximately}
ao ước	- {to long for} 待ち焦がれる, 憧れる - {to crave for}
au	- {Bright and cheerful}
ba	- {daddy} - {Three} 三, 三つ - {third} サード, 三番 - {Several} 幾, 区々たる, 区区たる - {a few} - {a handful of} - {a number of}
ba ba	- {Trionychid turtle}
ba bó một giạ	- {A sure thing}
ba bảy	- {several} 幾, 区々たる, 区区たる - {a variety of}
ba bị	- {bogy} - {bugbear} 変化 - {bugaboo} - {seedy} 見すぼらしい - {shabby} ボロー, 見すぼらしい, 卑しい, 侘しい - {battered} - {unprincipled} 無節操 - {knavish} - {good for nothing}
ba chỉ	- {side} サイド, 横, 横っ腹, 横合い, 横腹, 際, 側, 側ら, 側面, 偏, 方, 傍, 傍ら, 脇
ba cùng	- {eat with and work with)}
ba gai	- {unruly}
ba giăng	- {Three-month growth rice}
ba gác	- {trike}
ba hoa	- {to boast} 自慢, 力む - {to prate} ほざく - {to blabber}
ba lá	- {three-blade}
ba láp	- {senseless} 意識不明
ba lăng nhăng	- {worthless} 下らない, 甲斐無し, 不甲斐無い - {meaningless} - {trashy}
ba lơn	- {(khẩu ngữ) như bông lơn}
ba mươi	- {the thirtieth day of the lunar month}
ba ngày	- {Three days (after burial)}
ba ngôi	- {(tôn giáo) The trinity}
ba phải	- {Agreeing with everyone}
ba que	- {cheating} 不正行為 - {dishonest} 非良心的, 不正直 - {tricky} トリッキー
ba rọi	- {Half-serious half-facetious} - {serio-comic}
ba sinh	- {eternal love}
ba tháng	- {(địa phương) như ba giăng}
ba tiêu	- {Banana-tree}
ba trợn	- {Unruly}
ba vạ	- {uncared-for}
ba xuân	- {(cũ) Parents (whose merits are comparable with the three Spring months)}
ba đào	- {ups and downs} 波乱, 波瀾, (full of) 波瀾万丈, 紆余曲折
ba đầu sáu tay	- {Superhuman strength (abilitỵ..)}
ba đờ xuy	- {overcoat} オーバー, オーバコート
bai	- {Spade} スコップ, スペード, 鋤 - {To loose} ずるずる, だぶだぶ, だらしない, ばらばら, ふしだら, ルーズ, 寛げる, 緩い, 散漫 - {to stretch} ストレッチ, 引っぱる, 引っ張る, 延ばす, 延べる, 拡がる, 広がる, 差し伸べる, 伸す, 伸ばす, 伸び上がる, 張り, 張り詰める
ban	- {(y học) Rash} - {Ball} コウ丸, ボール, 鞠, 球, 玉, 舞踏会 - {(thực vật) Bauhinia} - {Shift} シフト, 移り行く, 交替, 交代, 転じる, 転ずる, 転向, 動かす, 動く, 入れ換える, 入れ替える, 入れ代える, 平行移動
ban bố	- {To promulgate}
ban chiều	- {in the afternoon}
ban công	- {Balcony} バルコニー, ベランダ, 縁側
ban hành	- {to enforce}
ban khen	- {to commend} - {to congratulate} 寿く, 寿ぐ, 祝う - {to praise} 三嘆, 賛歌, 賛嘆, 賛美, 称賛, 賞賛, 上げる, 推奨, 褒めそやす, 褒めちぎる, 褒める, 褒め称える, 褒め奉る, 褒め立てる, 褒辞, 誉める, 礼讃, 毀誉
ban long	- {Jelly (glue) made from antlers}
ban mai	- {Early morning} 早朝
ban nãy	- {just now} 今, 今が今, 唯今
ban phát	- {to dispense} 別れる
ban sáng	- {in the morning}
ban sơ	- {outset} 為初め, 最初, 手始め, 出鼻, 振り出し, (io) 振出し, 冒頭, 劈頭
ban thưởng	- {to grant a reward to} - {to bestow a reward on}
ban thứ	- {(cũ) Hierarhy}
ban trưa	- {noon} 午刻, 十二時, 正午, 昼, 昼時, 昼日中, 亭午 - {at noon}
ban tặng	- {to grant} 下げる, 給う, 給与, 交付金, 賜う, 賜る, 授ける, 聞き届ける
ban ân	- {Như ban ơn}
ban đầu	- {Initial} イニシャル, (computer) 初期
ban ơn	- {to grant a boon (a favour)}
bang	- {Chinese colony}
bang giao	- {To entertain international relations}
bang trợ	- {to help} 一助, 手助け
bang tá	- {Assistant district chief}
banh	- {Ball} コウ丸, ボール, 鞠, 球, 玉, 舞踏会 - {To open wide} - {to force open} 押し開ける
bao	- {sack} サック, 袋, 俵 - {Box} ボックス, 桟敷, 箱, 匣 - {packet} パケット - {Waist bag} - {support} サポート, 引き立てる, 引立てる, 援助, 応援, 押し立てる, 加担, 荷担, 堪える, 協賛, 肩を持つ, 護持, 貢ぐ, 賛成, 支え, 支える, 助力, 推す, 声援, 台, 突っ張り, 突張り, 扶助, 扶養, 保つ, 補助, 厄介, 与する, 擁立, 来援, 裏付, 裏付け, 裏付ける, 力
bao biện	- {To act as a Pooh-Bah}
bao bì	- {packing} パッキング, 荷造り, 缶詰, 詰め, 梱包, 風袋
bao bọc	- {To enclose} 囲う, 取り巻く
bao che	- {to shield} シールド, 盾, 匿, 匿う
bao chiếm	- {To appropriate} 応分, 似つかわしい, 然るべき, 相応しい, 妥当, 適切
bao cấp	- {chế độ bao cấp System of budget subsidies}
bao dung	- {magnanimous} 気宇広大, 太っ腹, 大らか
bao giờ	- {Ever} エバー, 常, 曾, 曾て
bao gồm	- {to embrace} 含む, 包容, 抱きよせる, 抱き寄せる, 抱く, 抱擁 - {to comprise} 含む, 占める
bao hàm	- {to imply}
bao la	- {infinite} 無限 - {limitless} 無制限
bao lăm	- {Not much} 余り
bao lơn	- {Balcony} バルコニー, ベランダ, 縁側
bao nhiêu	- {how many} - {Any} 何なり, 何ら, 任意 - {any number} - {any amount} - {So much} 此れ程 - {so many}
bao phủ	- {to cover} 蓋, 掛ける, 上表紙, 上覆, 上包み, 被う, 伏せる, 覆う - {to envelop}
bao quanh	- {to encompass}
bao quát	- {To see the whole of} - {to grasp the whole}
bao tay	- {Glove} グラブ, グローブ, グローヴ, 手袋
bao thơ	- {Envelope} エンベロープ, 上包み, 封筒
bao thầu	- {to bid on}
bao trùm	- {To cover the whole of}
bao tải	- {jute bag} 麻袋
bao tử	- {Foetus} - {embryo} 胎児, 胚子
bao vây	- {to encircle} 囲む - {to blockade} 封鎖 - {to besiege} - {to lay a siege to}
bay	- {To fade} フェード, 移ろう, 萎びる, 惚ける, 剥, 剥げる, 白ける, 白茶ける, 薄らぐ, 薄れる, 褪せる, 褪める - {to go} いらっしゃる, らっしゃる, 行く, 動く, 赴く - {To fail (in an examination)}
bay biến	- {like hell}
bay bướm	- {flowery} - {refined} 奥床しい, 凝った, 高尚, 床しい, 上品, 典雅, 瀟洒
bay bổng	- {High-faluting}
bay chuyền	- {Fly from... tọ.}
bay hơi	- {to evaporate}
bay la	- {Fly very low}
bay lượn	- {glide (of an aeroplane)}
bay màu	- {Fade} フェード, 移ろう, 萎びる, 惚ける, 剥, 剥げる, 白ける, 白茶ける, 薄らぐ, 薄れる, 褪せる, 褪める
bay mùi	- {Lose perfume}
bay nhảy	- {To fly high} 舞い上がる
be	- {Beige} ベージュ - {To build mud embankments on} - {To surround with hands top of heaped vessel (to secure the fullest measure)}
be be	- {Bleat (of a goat)}
be bé	- {Smallish}
be bét	- {In a complete mess}
bem	- {Secret} 内証事
beng	- {to cut off} 刈除, 句切る, 区切る, 切り去る, 切り取る, 切り除ける, 切り放す, 切り放つ, 切り裂く, 絶つ, 断つ, 截ち切る, 鋏む - {Topsy-turvy} - {pell-mell}
beo	- {Scraggy} - {To pinch} ピンチ
beo béo	- {Fattish}
bi	- {Ball} コウ丸, ボール, 鞠, 球, 玉, 舞踏会 - {Tragic} トラジック, 惨憺
bi ai	- {Woeful}
bi ba bi bô	- {xem bi bô (láy)}
bi bô	- {To lisp} リスプ
bi ca	- {Elegy} エレジー, 哀歌, 哀詩, 弔歌, 挽歌
bi chí	- {Epitaph} エピタフ, 碑文, 碑銘, 墓誌, 墓碑銘
bi cảm	- {touching} 悲壮, 涙ぐましい
bi hài kịch	- {Tragi-comedy}- {Tragi-comedy}
bi hùng	- {như bi tráng}
bi khúc	- {Elegy} エレジー, 哀歌, 哀詩, 弔歌, 挽歌
bi kịch	- {Tragedy} トラジディー, 惨劇, 悲劇
bi quan	- {pessimistic} ペシミスティック, 厭世的, 根暗, 悲観的
bi thiết	- {Doleful} 哀れっぽい, 黯然たる
bi thương	- {Sorrowful} 哀れ気, 悲しい
bi thảm	- {Tragic} トラジック, 惨憺
bi tráng	- {Woeful and majestic at the same time}
bi đát	- {Lamentable}
bi đông	- {canteen} 水筒
bia miệng	- {Posthumous ill fame}
binh	- {army} アーミー, 軍, 軍隊, 軍旅, 方面隊, 陸軍 - {như bênh}
binh biến	- {Mutiny} 反逆, 反乱, 叛逆
binh bị	- {Armament} 備砲, 武装
binh bộ	- {nghĩa cũ) Ministy of war}
binh chủng	- {Arm} アーム, 腕
binh công xưởng	- {Arms workshop}- {Arms workshop}
binh cơ	- {nghĩa cũ) Strategy}
binh dịch	- {nghĩa cũ) Military service}
binh gia	- {Military} 軍事的
binh họa	- {nghĩa cũ) Scourge of war}
binh hỏa	- {nghĩa cũ} - {văn chương) như binh lửa}
binh khí	- {Weapons} 剣戟, 兵器
binh khố	- {nghĩa cũ) Arms depot} - {military depot}
binh lính	- {troops (nói khái quát)}
binh lực	- {combat troops}
binh mã	- {military force} 軍事力, 兵力
binh ngũ	- {nghĩa cũ) Diffrent arms (of an army)}
binh nhu	- {military supplies}
binh nhì	- {Private} プライベート, 一己, 個人, 私製, 私設, 私的, 私立, 非公開
binh nhất	- {First class private}
