a	- {oh (exclamation of surprise} - {regret} lamentar (to -),sentir (to -) - {ect.)} - {By the way} - {Acre (100 square meters)}
a dua	- {to chime in} - {to join in}
a ha	- {ha} - {hurrah} viva - {hurray}
a hoàn	- {maidservant} criada
a phiến	- {Opium} opio
a tòng	- {to act as (be) an accessory to someone} - {to make common cause with someone}
ai	- {whom} a quien,quien,quién - {someone} alguien - {somebody} alguien - {anyone} alguien - {anybody} alguien
ai ai	- {everybody} todos
ai nấy	- {one and all}
ai oán	- {Plaintive} lastimero
ai đời	- {Fancy} de fantasía,elegante
am	- {small pagoda} - {hermitage} ermita - {secluded hut}
am hiểu	- {to know inside out} - {to have a good command of} - {to have a thorough knowledge of} - {to be expert in (at} - {on)} - {to be well-informed about} - {to be familiar with}
an	- {secure} afianzar (to -)
an bài	- {to foreordain} preordenar (to -) - {to predestine}
an dưỡng	- {To convalesce} convalecer (to -)
an giấc	- {To sleep soundly}
an hưởng	- {to spend peacefully}
an khang	- {xem khang an}
An Nam	- {Vietnam was named An Nam under the Chinese and French dominations}
an nghỉ	- {To rest in peace and quiet}
an nhàn	- {leisurely} pausadamente
an ninh	- {Security} garantía,seguridad
an phận	- {To feel smug}
an thần	- {To act as a tranquillizer}
an toàn	- {Safe} seguro
an toạ	- {to be seated}
an trí	- {to exile} destierro,exilio
an táng	- {To bury} enterrar
an tâm	- {xem yên tâm}
an vị	- {To be seated}
an ủi	- {to console}
ang	- {container for areca-nuts and betel}
anh	- {First cousin}
anh chị	- {chieftain} cabecilla
anh dũng	- {Of great fortitude}
anh em	- {siblings} - {Mates} - {comrades}
anh hùng	- {Heroic} heroico - {hero-like}
anh hùng ca	- {saga}
anh hùng chủ nghĩa	- {adventurous} aventurado - {reckless} temerario
anh linh	- {Hallowed memory (of a deceased person)}
anh minh	- {Clear-sighted and able}
anh nuôi	- {Male cook}
anh quân	- {Clear-sighted and able monarch}
anh thư	- {Heroine} heroína
anh tài	- {outstanding talent}
anh ách	- {xem ách}
anh ánh	- {glimmerring}
anh đào	- {Cherry} cereza
ao	- {To measure roughly} - {to measure approximately}
ao ước	- {to long for} - {to crave for}
au	- {Bright and cheerful}
ba	- {daddy} papá - {Three} tres - {third} tercero - {Several} varios - {a few} - {a handful of} - {a number of}
ba ba	- {Trionychid turtle}
ba bó một giạ	- {A sure thing}
ba bảy	- {several} varios - {a variety of}
ba bị	- {bogy} - {bugbear} - {bugaboo} - {seedy} granado - {shabby} gastado - {battered} abollado - {unprincipled} inmoral - {knavish} - {good for nothing}
ba chỉ	- {side} lado
ba cùng	- {eat with and work with)}
ba gai	- {unruly} indócil
ba giăng	- {Three-month growth rice}
ba gác	- {trike}
ba hoa	- {to boast} jactarse (to -) - {to prate} - {to blabber}
ba lá	- {three-blade}
ba láp	- {senseless} insensato
ba lăng nhăng	- {worthless} sin valor - {meaningless} sin sentido - {trashy} de mala calidad
ba lơn	- {(khẩu ngữ) như bông lơn}
ba mươi	- {the thirtieth day of the lunar month}
ba ngày	- {Three days (after burial)}
ba ngôi	- {(tôn giáo) The trinity}
ba phải	- {Agreeing with everyone}
ba que	- {cheating} - {dishonest} ímprobo - {tricky}
ba rọi	- {Half-serious half-facetious} - {serio-comic}
ba sinh	- {eternal love}
ba tháng	- {(địa phương) như ba giăng}
ba tiêu	- {Banana-tree}
ba trợn	- {Unruly} indócil
ba vạ	- {uncared-for}
ba xuân	- {(cũ) Parents (whose merits are comparable with the three Spring months)}
ba đào	- {ups and downs}
ba đầu sáu tay	- {Superhuman strength (abilitỵ..)}
ba đờ xuy	- {overcoat} abrigo
bai	- {Spade} azada - {To loose} flojo,suelto - {to stretch} estirar (to -),estiramiento
ban	- {(y học) Rash} - {Ball} pelota - {(thực vật) Bauhinia} - {Shift} cambiar (de marcha) (to -),desplazar (to -),turno
ban bố	- {To promulgate}
ban chiều	- {in the afternoon}
ban công	- {Balcony} balcón
ban hành	- {to enforce} dar fuerza (to -),imponer (to -),obligar (to -)
ban khen	- {to commend} encomendar (to -) - {to congratulate} felicitar (to -) - {to praise} alabanza
ban long	- {Jelly (glue) made from antlers}
ban mai	- {Early morning}
ban nãy	- {just now}
ban phát	- {to dispense} distribuir (to -)
ban sáng	- {in the morning}
ban sơ	- {outset} salida
ban thưởng	- {to grant a reward to} - {to bestow a reward on}
ban thứ	- {(cũ) Hierarhy}
ban trưa	- {noon} mediodía - {at noon}
ban tặng	- {to grant} concesión
ban ân	- {Như ban ơn}
ban đầu	- {Initial} inicial
ban ơn	- {to grant a boon (a favour)}
bang	- {Chinese colony}
bang giao	- {To entertain international relations}
bang trợ	- {to help} ayudar (to -),ayuda,socorro
bang tá	- {Assistant district chief}
banh	- {Ball} pelota - {To open wide} - {to force open}
bao	- {sack} saco - {Box} caja - {packet} paquete (de datos) - {Waist bag} - {support} apoyar (to -),mantener (to -),apoyo
bao biện	- {To act as a Pooh-Bah}
bao bì	- {packing} embalaje,envase
bao bọc	- {To enclose} contener (to -),encerrar (to -)
bao che	- {to shield} blindaje,escudo
bao chiếm	- {To appropriate} apropiado
bao cấp	- {chế độ bao cấp System of budget subsidies}
bao dung	- {magnanimous} magnánimo
bao giờ	- {Ever} alguna vez
bao gồm	- {to embrace} abrazar (to -) - {to comprise} comprender (to -)
bao hàm	- {to imply} implicar (to -)
bao la	- {infinite} infinito - {limitless} ilimitado
bao lăm	- {Not much}
bao lơn	- {Balcony} balcón
bao nhiêu	- {how many} - {Any} cualquier - {any number} - {any amount} - {So much} - {so many}
bao phủ	- {to cover} cubrir (to -),recubrir (to -),revestir (to -) - {to envelop} envolver (to -)
bao quanh	- {to encompass} rodear
bao quát	- {To see the whole of} - {to grasp the whole}
bao tay	- {Glove} guante
bao thơ	- {Envelope}
bao thầu	- {to bid on}
bao trùm	- {To cover the whole of}
bao tải	- {jute bag}
bao tử	- {Foetus} - {embryo} embrión
bao vây	- {to encircle} cercar (to -) - {to blockade} bloqueo - {to besiege} sitiar - {to lay a siege to}
bay	- {To fade} marchitarse (to -) - {to go} ir (to -),marchar (to -) - {To fail (in an examination)}
bay biến	- {like hell}
bay bướm	- {flowery} - {refined} refinado
bay bổng	- {High-faluting}
bay chuyền	- {Fly from... tọ.}
bay hơi	- {to evaporate} evaporar (to -)
bay la	- {Fly very low}
bay lượn	- {glide (of an aeroplane)}
bay màu	- {Fade} marchitarse (to -)
bay mùi	- {Lose perfume}
bay nhảy	- {To fly high}
be	- {Beige} crema - {To build mud embankments on} - {To surround with hands top of heaped vessel (to secure the fullest measure)}
be be	- {Bleat (of a goat)}
be bé	- {Smallish}
be bét	- {In a complete mess}
bem	- {Secret} secreto
beng	- {to cut off} - {Topsy-turvy} - {pell-mell}
beo	- {Scraggy} - {To pinch} apuro
beo béo	- {Fattish}
bi	- {Ball} pelota - {Tragic} trágico
bi ai	- {Woeful}
bi ba bi bô	- {xem bi bô (láy)}
bi bô	- {To lisp} ceceo
bi ca	- {Elegy}
bi chí	- {Epitaph} epitafio
bi cảm	- {touching} palpación
bi hài kịch	- {Tragi-comedy}- {Tragi-comedy}
bi hùng	- {như bi tráng}
bi khúc	- {Elegy}
bi kịch	- {Tragedy} tragedia
bi quan	- {pessimistic} pesimista
bi thiết	- {Doleful} triste
bi thương	- {Sorrowful} afligido
bi thảm	- {Tragic} trágico
bi tráng	- {Woeful and majestic at the same time}
bi đát	- {Lamentable} lamentable
bi đông	- {canteen} cantimplora
bia miệng	- {Posthumous ill fame}
binh	- {army} ejército - {như bênh}
binh biến	- {Mutiny} motín
binh bị	- {Armament} armamento
binh bộ	- {nghĩa cũ) Ministy of war}
binh chủng	- {Arm} brazo
binh công xưởng	- {Arms workshop}- {Arms workshop}
binh cơ	- {nghĩa cũ) Strategy}
binh dịch	- {nghĩa cũ) Military service}
binh gia	- {Military} ejército
binh họa	- {nghĩa cũ) Scourge of war}
binh hỏa	- {nghĩa cũ} - {văn chương) như binh lửa}
binh khí	- {Weapons}
binh khố	- {nghĩa cũ) Arms depot} - {military depot}
binh lính	- {troops (nói khái quát)}
binh lực	- {combat troops}
binh mã	- {military force}
binh ngũ	- {nghĩa cũ) Diffrent arms (of an army)}
binh nhu	- {military supplies}
binh nhì	- {Private} privado
binh nhất	- {First class private}
binh pháp	- {Art of warfare}
binh phí	- {Military spending}
binh phục	- {Uniform} uniforme
binh quyền	- {Military power}
binh sĩ	- {men} hombres - {troops}
binh thuyền	- {nghĩa cũ) Warship}
binh thư	- {Book on warfare}
binh tình	- {army condition} - {Situation} situación
binh vận	- {To carry out agitation and propaganda among enemy troops}
binh vụ	- {nghĩa cũ) Military affairs}
binh đao	- {Fire and sword}
binh đoàn	- {multi-division} - {multi-army)} - {corps (unit)} - {binh đội} - {từ cũ} - {nghĩa cũ) Troops}
biên	- {To write} escribir (to -) - {Edge} borde,orilla - {selvedge} - {list} listar (to -),lista - {line} cordel,fila,hilo,lino,línea
biên bản	- {minutes} acta - {proces-verbal}
biên chép	- {to keep (nói khái quát)}
biên chế	- {Personnel} personal - {staff} empleados
biên cương	- {Border area}
biên cảnh	- {(cũ) như biên giới}
biên dịch	- {To translate} traducir (to -)
biên giới	- {Frontier} frontera
Biên Hoà	- {Xem Đồng Nai}
biên khu	- {Border area}
biên lai	- {Receipt} recepción,recibo
biên nhận	- {Receipt} recepción,recibo
biên niên	- {Annalistic}
biên soạn	- {to write} escribir (to -)
biên thùy	- {văn chương) như biên cương}
biên tập	- {To edit} revisar (to -)
biên đạo	- {Choreographer} coreógrafo
biên độ	- {Amplitude} amplitud
biên đội	- {Flight (of fighting planes)}
biên ải	- {Border gate}
biên ủy	- {Editorial staff}
biêng biếc	- {xem biếc (láy)}
biếc	- {Bluish green}
biếm họa	- {Cartoon} caricatura
biến	- {to turn into} - {To vanish} desaparecer (to -) - {to vanish without leaving a trace}
biến báo	- {(cũ) Retort}
biến chuyển	- {Change} cambiar (to -),cambio,variación
biến chất	- {Degenerate} degenerar (to -)
biến chứng	- {side-effect} efecto colateral - {To produce a complication} - {to produce a side-effect}
biến cách	- {Declension} declinación
biến cảm	- {(điện) Variometer}
biến cố	- {major change}
biến diễn	- {Develop} desarrollar (to -),revelar (una película) (to -, film)
biến dạng	- {Variant} - {variation} variación - {Deformation}
biến dị	- {Variability (ở sinh vật)}
biến hoá	- {to evolve} desenvolverse (to -) - {Versatile} universal - {multiform}
biến hình	- {Transformation} transformación
biến hóa	- {evolve} desenvolverse (to -) - {Versatile} universal - {multiform}
biến loạn	- {turmoil} tumulto
biến ngôi	- {(ngôn ngữ) Conjugate}
biến nhiệt	- {(sinh học) Poikilothermic}
biến phân	- {(toán) Variation}
biến sắc	- {To change colour}
biến thiên	- {Upheaval} - {major change}
biến thái	- {Metamorphosis (của sâu bọ)}
biến thế	- {Transformer} transformador
biến thể	- {Variant}
biến trở	- {Rheostat}
biến tính	- {Denatured}
biến tướng	- {Disguised}
biến tấu	- {Variation} variación
biến tố	- {(ngôn ngữ) Flexion}
biến áp	- {như biến thế}
biến âm	- {Phonetic variant}
biến đổi	- {to alter} alterar (to -)
biến động	- {to evolve} desenvolverse (to -) - {to change} cambiar (to -),cambio,variación
biếng	- {losing interest in}
biếng chơi	- {Be slightly ill (said of children)}
biếng nhác	- {idle} en reposo,ocioso
biếng ăn	- {(Chứng biến ăn) (y) Anorexia}
biết	- {to realize} comprender (to -),darse cuenta (to -)
biết bao	- {hoặc sau tính từ) How much} - {how many} - {how} cómo
biết chừng	- {(biết chừng nào (dùng sau tt} - {thường trong câu cảm xúc)) How very}
biết chừng nào	- {trong câu cảm xúc) How very}- {trong câu cảm xúc) How very}
